CHILDID	LOANID	GAVCRDR3	TKEOUTR3	AMTCRDR3	LOANMTR3	LOANYRR3	LNOLSTR3	PYBACKR3	AMTPAYR3	MTLASTR3	YRLASTR3	NOBACKR3	WHORCVR3
ET091018	5	10	2	100	5	2001	10	0	100	3	2002	88	16
ET091018	6	9	2	40	10	2001	6	1	0	88	 	8	16
ET091019	1	6	1	2000	4	2000	12	0	2210	6	2001	88	2
ET091019	2	6	1	700	11	2001	88	1	0	88	 	2	2
ET091019	3	7	1	700	5	2000	12	0	735	5	2001	88	5
ET091020	1	8	2	1000	1	2002	2	0	1000	3	2002	88	1
ET091020	2	4	1	200	10	2002	6	0	300	3	2002	88	1
ET091020	3	4	1	800	10	2001	77	0	1600	4	2002	88	1
ET091021	1	7	1	408	10	1997	6	0	408	4	1998	88	1
ET091021	2	9	1	30	11	2000	7	0	35	6	2001	88	1
ET091021	3	9	1	25	12	2001	6	1	0	88	 	2	1
ET091021	4	8	1	100	10	2001	1	0	100	11	2001	88	1
ET091022	1	2	1	840	11	2000	6	0	840	4	2001	88	1
ET091022	2	8	7	750	1	2000	4	0	750	4	2000	88	1
ET091023	1	5	1	800	10	1999	77	1	217	10	2000	88	2
ET091026	1	7	1	2000	5	2000	12	0	2200	5	2001	88	2
ET091026	2	7	1	200	8	2001	12	1	-88	88	 	8	2
ET091027	1	4	1	100	12	1998	4	0	200	3	1999	88	1
ET091027	2	8	1	300	1	1999	3	0	300	4	1999	88	2
ET091029	1	10	1	500	11	2001	88	0	500	3	2002	88	1
ET091029	2	7	1	500	11	1997	88	0	500	4	1998	88	2
ET091030	1	7	1	700	7	2001	12	0	750	4	2002	88	1
ET091030	2	10	16	100	12	2001	2	0	100	2	2002	88	1
ET091031	1	7	1	400	6	1997	12	0	400	6	1998	88	2
ET091031	2	7	1	600	7	1998	12	0	600	6	1999	88	2
ET091031	3	7	1	1500	7	1999	12	0	1500	6	2000	88	2
ET091031	4	7	1	600	11	2001	12	1	0	88	 	8	2
ET091032	1	7	19	5000	3	2000	12	0	5500	3	2001	88	2
ET091032	2	7	19	9000	3	2001	12	0	9900	3	2002	88	2
ET091034	1	7	1	2500	8	2000	8	1	0	88	 	2	2
ET091035	1	7	1	900	12	2001	6	1	0	88	 	8	2
ET091035	2	2	1	600	10	2000	6	0	770	6	2001	11	1
ET091035	3	2	1	560	10	1999	6	0	640	4	2000	88	1
ET091036	1	1	1	450	6	1997	10	0	450	3	1998	88	1
ET091036	2	9	7	400	8	2001	1	0	400	9	2001	88	1
ET091038	1	7	19	1300	10	2000	12	0	1960	7	2001	88	2
ET091038	2	7	19	1700	10	2001	12	1	0	88	 	11	2
ET091039	1	10	1	300	11	2001	2	0	300	3	2002	11	1
ET091040	1	2	1	240	11	2001	6	0	247	8	2001	2	2
ET091040	2	2	1	535	11	2000	10	0	605	8	2001	88	2
ET091043	1	2	1	800	10	1999	6	0	800	4	2000	88	1
ET091043	2	2	1	800	10	1998	6	0	800	4	1999	88	1
ET091044	1	6	1	1500	12	1998	6	0	1500	4	1999	88	1
ET091044	2	6	1	2000	9	1999	6	0	2000	2	2000	88	1
ET091044	3	6	1	2500	9	2000	9	0	2500	5	2001	88	1
ET091044	4	6	1	2500	10	2001	9	1	0	88	 	8	1
ET091044	5	8	2	100	10	2001	1	0	100	11	2001	88	1
ET091045	1	7	1	2500	7	1998	88	1	500	7	2001	2	1
ET091045	2	2	1	360	11	1999	12	1	0	88	 	2	1
ET091045	3	7	1	400	11	2001	6	1	0	88	 	88	2
ET091046	1	6	7	250	8	1998	2	0	250	10	1998	88	1
ET091046	2	8	7	500	8	1998	1	0	500	9	1998	88	1
ET091048	1	4	2	200	11	1998	4	0	400	3	1999	88	2
ET091049	1	5	1	360	9	1999	88	1	0	88	 	8	1
ET091049	2	10	8	1100	11	2001	3	1	600	2	2002	2	1
ET101001	1	7	8	500	9	1998	12	0	532	9	1999	88	2
ET101001	2	7	8	700	4	2000	12	0	741.15	4	2001	88	2
ET101001	3	7	19	1500	1	2001	12	0	1545	1	2002	88	1
ET101002	1	8	7	15000	5	2001	77	1	0	88	 	11	1
ET101002	2	7	4	4000	5	2001	24	1	1500	2	2002	88	2
ET101002	3	10	4	6000	4	2001	77	0	6000	10	2001	88	2
ET101003	1	7	8	1700	5	2001	12	1	1600	3	2002	88	2
ET101004	1	10	8	4000	4	1999	12	0	4000	4	2000	88	1
ET101005	1	7	4	2500	5	2001	12	1	2511	2	2002	88	2
ET101005	2	4	4	3000	4	2001	6	1	4800	9	2001	88	2
ET101006	1	10	2	100	3	2002	77	1	0	88	 	88	2
ET101008	1	8	4	100	12	2001	77	0	100	2	2002	88	2
ET101009	1	10	19	5000	3	2000	2	0	5000	5	2000	88	1
ET101009	2	10	19	4000	7	2000	2	0	4000	4	2000	88	1
ET101009	3	10	19	4000	3	2001	1	0	4000	4	2001	88	1
ET101009	4	10	19	5000	7	2001	3	0	5000	10	2001	88	1
ET101010	1	8	13	130	2	2001	77	1	130	88	 	9	10
ET101010	2	10	3	500	2	2001	9	1	500	88	 	9	10
ET101011	1	6	8	3000	3	1998	24	0	3200	2	2000	88	1
ET101011	2	6	1	4000	6	2001	24	1	3100	3	2002	88	2
ET101011	3	6	7	3450	1	2002	24	1	0	3	2002	88	1
ET101011	4	10	7	3000	2	2002	24	1	0	88	 	88	2
ET101012	1	7	8	10000	2	1999	24	1	5000	2	2002	12	2
ET101012	2	8	19	2700	10	2001	12	1	1140	2	2002	88	2
ET101015	1	7	3	1000	4	2000	12	1	1030	3	2001	88	2
ET101015	2	10	2	200	12	2001	77	1	200	1	2002	88	2
ET101015	3	10	2	50	1	2002	77	1	0	88	 	12	2
ET101017	1	10	19	100	1	2002	1	0	100	2	2002	88	2
ET101017	2	7	13	2000	4	1999	12	0	2000	3	2000	88	2
ET101018	1	7	19	900	4	1998	12	0	1000	2	1999	88	2
ET101018	2	7	19	1800	4	1999	12	0	2000	3	2000	88	2
ET101018	3	7	19	2700	4	2000	12	0	3000	3	2001	88	2
ET101018	4	7	19	2700	9	2001	8	1	2000	2	2002	88	2
ET101019	1	7	8	900	8	1996	8	0	1000	3	1997	88	5
ET101019	2	7	8	1700	8	1997	8	0	1870	3	1998	88	5
ET101019	3	7	2	1900	8	1998	8	0	2090	3	1999	88	5
ET101019	4	7	2	900	8	1999	8	0	1000	3	2000	88	5
ET101019	5	7	2	1400	8	2000	8	0	1540	3	2001	88	5
ET101019	6	7	2	4400	8	2001	8	0	3340	2	2002	88	5
ET101020	1	7	8	1500	1	1998	10	0	1500	10	1998	88	1
ET101020	2	10	8	2555	10	2001	6	1	0	88	 	8	1
ET101021	1	7	13	1000	3	1999	10	0	1000	1	2000	88	2
ET101022	1	7	19	1800	7	2000	12	0	2000	9	2000	88	2
ET101022	2	7	19	3000	7	2001	12	1	2600	2	2002	88	2
ET101022	3	6	19	2500	12	2002	8	1	2000	3	2002	88	2
ET101023	1	7	19	500	10	1988	12	0	500	9	1999	88	2
ET101023	2	7	19	700	11	1999	12	0	700	10	2000	88	2
ET101024	1	10	15	250	2	2001	6	1	0	88	 	11	1
ET101024	2	10	2	300	12	2000	4	0	300	6	2001	88	1
ET101025	1	4	10	15000	9	1999	2	1	16500	9	2002	8	3
ET101025	2	4	2	5000	12	2001	5	1	750	3	2002	88	3
ET101027	1	4	19	3000	1	1999	3	0	3675	4	1999	88	1
ET101028	1	7	8	900	8	1996	8	0	1000	3	1997	88	3
ET101028	2	7	10	1700	8	1997	8	0	1870	3	1998	88	3
ET101028	3	7	2	1900	8	1998	8	0	2090	3	1999	88	3
ET101028	4	7	2	900	8	1999	8	0	1000	3	2000	88	3
ET101028	5	7	2	1400	8	2000	8	0	1540	3	2001	88	3
ET101028	6	7	2	4400	8	2001	8	1	3340	2	2002	88	3
ET101029	1	7	1	700	3	1997	12	0	980	3	1998	88	2
ET101031	1	7	1	1800	10	2001	10	1	1200	2	2002	88	1
ET101032	1	10	7	500	1	1997	77	1	2400	2	2002	88	1
ET101032	2	6	2	1701	2	2001	24	1	1200	2	2002	88	1
ET101033	1	7	2	1000	5	1999	12	0	1030	5	2000	88	2
ET101033	2	4	8	10000	9	1999	77	1	2000	88	 	8	2
ET101033	3	4	8	4000	4	1998	77	1	0	88	 	8	2
ET101034	1	6	10	990.94	6	1999	24	0	990.94	10	2001	88	1
ET101035	1	10	13	100	9	2001	1	0	100	88	 	88	2
ET101035	2	10	13	500	10	2000	1	0	500	88	 	88	1
ET101036	1	6	10	1176	2	1997	60	1	1176	2	2002	88	1
ET101037	1	8	8	3000	4	1999	6	0	3000	3	2000	12	5
ET101038	1	10	2	3000	11	2000	5	1	2000	1	2002	6	1
ET101038	2	6	10	1385.87	7	1996	60	0	1385.87	8	2001	88	1
ET101040	1	6	2	6000	1	2002	10	1	1800	3	2002	88	3
ET101040	2	10	16	500	8	2001	1	1	500	9	2001	88	3
ET101042	1	7	8	3000	2	1999	24	0	3000	2	2001	88	1
ET101042	2	7	15	2000	3	2001	24	1	1000	2	2002	88	1
ET101044	1	6	8	3000	9	1998	24	0	3300	9	2000	88	2
ET101044	2	6	2	1500	1	2001	24	0	1515	2	2002	88	2
ET101045	1	7	13	500	3	1999	12	0	500	3	2000	88	2
ET101045	2	7	3	2000	3	2002	12	1	104	3	2002	88	2
ET101047	1	5	6	1800	11	1998	36	0	1000	10	2001	8	1
ET101049	1	4	8	1500	3	1998	1	0	1500	3	1998	88	1
ET101049	2	4	8	2000	4	2000	36	1	0	88	 	88	1
ET111001	1	7	1	750	11	2000	8	0	800	4	2002	88	2
ET111001	2	7	1	1000	10	2001	12	0	1260	3	2002	88	2
ET111001	3	5	10	2768	3	2000	24	0	2768	2	2002	88	1
ET111002	1	7	4	1000	5	1997	12	0	1300	5	1998	88	1
ET111002	2	7	17	1270	5	1998	12	0	1745	5	1999	88	1
ET111002	3	7	2	1270	5	1999	12	0	1745	5	2000	88	1
ET111002	4	7	17	1270	5	2000	12	0	1745	5	2001	88	1
ET111002	5	7	17	1270	5	2001	12	1	1745	4	2002	88	1
ET111002	6	5	10	2762.62	4	2000	24	1	224	3	2002	88	1
ET111003	1	10	1	1000	11	2001	6	1	0	88	 	8	1
ET111003	2	5	10	2765	4	1999	36	1	1800	6	2001	8	1
ET111004	1	1	1	400	9	2000	6	0	500	4	2001	88	1
ET111004	2	7	1	750	6	2001	12	0	802	4	2002	88	1
ET111004	3	5	10	276.8	2	2001	24	0	276.8	3	2002	88	1
ET111004	4	1	1	1550	10	1998	6	0	1575	4	1999	88	1
ET111005	1	7	1	1000	5	2001	12	1	500	4	2002	88	2
ET111005	2	5	10	2780	7	1999	24	1	1780	4	2002	88	1
ET111005	3	10	11	200	12	2001	12	1	0	88	 	88	1
ET111006	1	7	2	875	6	2001	12	1	576	4	2002	88	2
ET111006	2	7	2	750	10	2000	12	0	808	10	2001	88	2
ET111007	1	7	12	1200	8	2001	12	1	126	11	2001	88	16
ET111007	2	7	12	1100	8	2000	12	0	1230	8	2001	88	16
ET111007	3	1	1	231	10	2000	6	0	345	4	2001	88	16
ET111007	4	5	10	2780	4	2000	24	1	2740	4	2002	88	16
ET111008	1	5	10	2700	7	2000	12	1	1300	7	2001	88	1
ET111008	2	7	10	2000	8	1999	12	0	2400	8	2000	88	1
ET111008	3	5	10	6700	2	2002	8	1	2200	4	2002	88	1
ET111009	1	5	10	2065	4	2001	24	1	200	4	2002	88	1
ET111010	1	1	1	700	11	2000	6	0	700	4	2001	88	1
ET111010	2	5	10	2600	5	2000	24	1	2435	5	2002	8	1
ET111011	1	10	1	2000	10	2001	8	1	0	88	 	8	1
ET111011	2	5	10	2800	5	2000	24	1	2000	3	2002	8	1
ET111012	1	7	8	1000	9	2000	12	0	1300	5	2001	88	2
ET111012	2	5	10	2200	4	2000	24	1	2000	4	2002	88	1
ET111013	1	5	10	2700	4	1999	24	1	2000	4	2002	11	1
ET111013	2	7	1	5000	7	2001	12	1	0	88	 	88	2
ET111013	3	1	1	1000	10	2000	12	0	1000	5	2001	88	1
ET111015	1	7	1	4000	7	2001	12	1	0	7	2002	8	2
ET111015	2	7	1	3000	7	2000	12	0	4440	7	2001	88	2
ET111015	3	5	10	2600	5	2001	24	1	1274	5	2002	8	2
ET111016	1	1	1	756.55	11	2000	6	0	756.55	4	2001	88	1
ET111016	2	5	10	2066	5	2000	24	1	1366	5	2002	88	1
ET111016	3	7	14	1200	5	1998	12	0	1632	5	1999	88	1
ET111017	1	7	4	500	6	1999	12	0	650	5	2000	88	1
ET111017	2	7	4	1000	6	2000	12	0	1300	5	2001	88	1
ET111017	3	7	4	1000	6	2001	12	1	600	4	2002	88	1
ET111018	1	5	10	2300	3	2001	24	1	2200	4	2002	11	1
ET111019	1	6	10	2265.07	3	2000	24	1	2093.07	4	2002	11	1
ET111019	2	7	1	1300	8	2002	12	0	1300	4	2002	88	1
ET111020	1	5	1	1740	6	2000	12	0	2240	4	2001	88	2
ET111020	2	5	1	2400	6	2001	12	1	0	88	 	11	2
ET111020	3	10	15	500	11	2002	5	0	500	4	2002	88	2
ET111020	4	5	10	2439.5	8	2000	24	1	1990.93	4	2002	88	1
ET111021	1	7	14	1300	5	1998	12	0	13000	5	1999	88	1
ET111021	2	4	2	300	10	2000	12	0	300	9	2001	88	1
ET111021	3	5	10	2700	6	1999	36	1	2000	4	2002	88	1
ET111023	1	7	18	300	5	1999	12	0	300	88	 	88	2
ET111024	1	7	4	1100	6	2001	12	1	570	4	2002	88	1
ET111024	2	7	4	700	6	2000	12	0	770	4	2001	88	1
ET111024	3	5	10	2040	10	2000	24	1	1400	4	2001	11	1
ET111025	1	5	10	2065	5	2000	24	0	2065	5	2002	88	1
ET111025	2	1	1	1000	11	2002	6	0	1000	4	2001	88	1
ET111027	1	5	8	7000	1	1998	36	0	7000	1	2000	88	8
ET111028	1	7	1	2000	8	2001	12	1	0	88	 	88	1
ET111028	2	5	10	2730	5	2000	24	1	2500	4	2002	88	1
ET111028	3	1	1	900	10	2000	12	0	900	5	2001	88	1
ET111029	1	10	1	400	10	2001	6	0	400	88	 	88	6
ET111029	2	5	13	2764	4	2000	24	0	2764	1	2002	88	1
ET111030	1	7	1	950	4	1997	12	0	1200	3	2000	88	1
ET111030	2	10	1	1000	9	2001	12	1	0	8	2002	12	1
ET111031	1	7	1	1000	8	1998	12	0	1150	7	1999	88	1
ET111031	2	5	10	2765.8	4	2000	24	1	2165	10	2001	88	1
ET111032	1	1	1	2000	11	2000	6	0	2000	6	2001	88	2
ET111032	2	1	1	2000	10	1999	5	0	2000	3	2000	88	1
ET111033	1	7	2	450	6	1999	12	0	640	6	2000	88	2
ET111033	2	7	2	760	6	2000	12	0	1200	6	2001	88	2
ET111033	3	7	2	850	6	2001	12	0	1300	4	2002	88	2
ET111033	4	5	10	2700	2	2000	24	0	2700	2	2002	88	1
ET111034	1	1	1	3600	10	1997	10	0	3600	6	1998	88	1
ET111034	2	1	1	4200	10	1998	11	0	4200	7	1999	88	1
ET111034	3	1	1	6800	10	1999	11	0	6800	7	2000	88	1
ET111034	4	1	1	8100	10	2000	10	0	8100	6	2001	88	1
ET111034	5	10	1	2700	2	2002	5	1	0	88	 	88	1
ET111034	6	10	10	2422.01	4	2000	12	0	2422.01	4	2002	88	1
ET111035	1	5	10	2768.62	6	2000	24	1	605.34	2	2001	11	3
ET111036	1	7	1	750	7	2001	12	1	500	6	2002	8	3
ET111038	1	1	1	500	10	1998	7	0	560	5	1999	88	1
ET111038	2	1	1	842	10	1999	7	0	930	5	2000	88	1
ET111038	3	1	1	602	10	2000	7	0	670	5	2001	88	1
ET111038	4	5	10	2700	4	1999	24	0	2700	2	2002	88	1
ET111040	1	7	1	1000	9	2001	12	1	800	2	2002	8	1
ET111040	2	1	1	2490	10	2002	12	0	0	88	 	88	1
ET111040	3	5	13	2760	4	2002	24	1	2460	4	2002	8	1
ET111041	1	7	1	2000	6	2000	12	0	2600	5	2001	88	20
ET111041	2	7	1	2000	6	2001	12	1	240	1	2002	88	20
ET111041	3	3	10	2600	2	2002	77	1	2000	3	2002	88	20
ET111042	1	7	1	500	7	1998	12	0	700	6	1998	88	2
ET111042	2	7	1	700	7	1999	12	0	1000	6	2000	88	2
ET111042	3	1	1	480	10	1997	9	0	480	5	1998	88	1
ET111042	4	5	10	2048	3	2000	24	1	1248	4	2002	88	1
ET111043	1	7	1	1200	5	1995	12	0	1335	5	1996	88	1
ET111043	2	7	1	1400	5	1996	12	0	1561	5	1997	88	1
ET111043	3	7	1	1600	5	1997	12	0	1784	5	1998	88	1
ET111043	4	5	10	2768	2	2000	36	1	1768	9	2001	2	1
ET111044	1	10	8	150	6	2001	3	0	150	8	2001	88	1
ET111045	1	7	2	450	8	1997	12	0	630	8	1998	88	2
ET111045	2	7	2	650	8	1998	12	0	820	8	1999	88	2
ET111045	3	7	2	950	8	1999	12	0	1116	8	2000	88	2
ET111045	4	7	2	1400	8	2000	12	0	1600	8	2001	88	2
ET111045	5	7	2	2350	8	2001	12	1	1800	4	2002	88	2
ET111045	6	5	10	27606	4	2000	24	1	24306	4	2002	12	3
ET111046	1	1	1	418	10	1999	10	0	418	5	2000	88	1
ET111046	2	7	2	640	5	2001	10	0	750	4	2001	88	1
ET111046	3	7	2	1620	10	2001	12	1	354	5	2002	88	1
ET111047	1	5	10	2760	6	2001	24	1	2584	4	2002	88	1
ET111048	1	7	1	2400	5	1997	12	0	2640	4	1998	88	1
ET111048	2	7	1	2700	5	1998	12	0	2970	4	1999	88	1
ET111048	3	7	1	3000	5	1999	12	0	3300	4	2000	88	1
ET111048	4	7	1	3300	5	2000	12	0	3630	4	2001	88	1
ET111048	5	7	1	3800	5	2001	12	0	0	88	 	8	1
ET121001	1	6	19	1500	4	2001	1	1	1000	11	2001	6	2
ET121001	2	6	1	1000	11	2001	24	1	0	88	 	88	2
ET121004	1	8	2	4000	2	2002	2	1	-88	88	 	8	1
ET121004	2	8	1	600	11	2000	5	0	600	3	2001	88	1
ET121005	1	8	2	100	10	2001	7	1	0	88	 	88	1
ET121007	1	5	1	1000	4	2000	60	1	0	88	 	88	3
ET121009	1	8	2	500	2	2002	6	1	0	88	 	88	1
ET121009	2	8	10	1000	3	1997	12	0	1000	2	1998	88	2
ET121010	1	2	1	900	11	2001	12	1	0	88	 	88	1
ET121010	2	10	4	500	11	2000	5	0	500	4	2001	88	1
ET121010	3	10	4	500	11	1998	5	0	500	4	1999	88	1
ET121010	4	10	4	500	11	1997	5	0	500	4	1998	88	1
ET121011	1	10	1	1000	11	2001	77	1	500	3	2002	88	1
ET121011	2	10	1	2000	11	1999	77	0	2000	3	2000	88	1
ET121012	1	10	2	200	2	2001	3	0	200	5	2001	88	1
ET121012	2	8	8	100	5	2001	7	0	100	12	2001	88	1
ET121014	1	8	7	200	5	2001	77	0	200	1	2002	88	1
ET121014	2	8	1	300	11	2001	77	0	300	1	2002	88	1
ET121014	3	8	2	300	2	2001	77	0	300	4	2001	88	1
ET121015	1	10	6	132	10	2001	6	1	0	88	 	8	1
ET121015	2	10	6	110	7	2001	9	1	0	88	 	8	1
ET121017	1	6	7	100	2	2000	2	1	0	88	 	11	2
ET121017	2	6	7	100	11	2001	5	1	0	88	 	11	2
ET121017	3	6	6	100	1	2002	3	1	0	88	 	88	2
ET121017	4	10	7	200	11	2000	5	0	200	4	2001	88	2
ET121018	1	10	2	150	10	2001	7	1	0	88	 	88	1
ET121021	1	10	2	200	2	2000	14	1	125	8	2000	3	1
ET121023	1	10	3	500	2	2001	3	0	500	5	2001	88	1
ET121023	2	10	3	100	11	2001	5	1	100	88	 	88	1
ET121023	3	6	3	500	1	2001	12	1	250	11	2001	88	1
ET121025	1	10	2	100	11	2000	5	0	100	1	2001	88	2
ET121026	1	8	8	3000	10	2001	12	1	0	88	 	88	1
ET121026	2	8	1	5000	4	2000	12	0	5000	4	2001	88	1
ET121027	1	10	8	500	10	2000	77	1	0	88	 	88	1
ET121027	2	10	8	500	10	2000	77	1	0	88	 	88	1
ET121027	3	10	8	500	10	2000	77	1	0	88	 	88	1
ET121027	4	8	8	500	10	2000	77	1	0	88	 	88	1
ET121028	1	8	8	2000	5	2001	77	1	1000	12	2001	11	1
ET121028	2	8	8	1000	8	2000	6	0	1000	2	2001	88	1
ET121028	3	8	14	500	4	1999	77	1	500	88	 	11	1
ET121028	4	8	1	300	10	2000	6	0	300	4	2001	88	1
ET121030	1	7	3	2000	6	2000	24	1	800	10	2001	88	17
ET121030	2	7	3	3000	1	2001	24	1	1000	10	2001	88	17
ET121032	1	9	8	7000	1	2002	12	1	0	88	 	88	1
ET121033	1	8	10	5000	10	2001	6	1	2000	2	2002	88	1
ET121034	1	10	19	2500	11	1997	12	0	2500	4	1998	88	1
ET121036	1	8	6	2500	77	1999	77	0	2500	77	 	88	1
ET121036	2	8	2	1000	6	2000	77	77	1000	77	 	88	1
ET121036	3	8	2	800	12	2001	4	1	0	88	 	88	1
ET121037	1	8	7	250	10	2000	6	0	250	3	2001	88	1
ET121037	2	8	7	250	9	2001	7	1	0	88	 	88	1
ET121037	3	8	2	300	5	1999	2	0	300	7	2001	88	1
ET121037	4	8	2	150	3	1999	1	0	150	5	1999	11	1
ET121040	1	8	1	2000	9	2001	1	1	1000	10	2001	12	1
ET121041	1	8	16	2000	10	2000	12	0	2000	10	2001	88	1
ET121041	2	8	16	2000	2	2002	12	1	0	88	 	88	1
ET121043	1	10	19	1000	4	2002	88	0	1000	6	2002	88	3
ET121043	2	10	19	800	2	2002	1	0	800	3	2002	88	3
ET121044	1	10	19	2000	4	2002	6	1	0	88	 	8	6
ET121047	1	2	2	200	11	2001	1	0	200	1	2002	88	2
ET121047	2	10	2	400	2	1998	6	0	400	8	1998	88	1
ET121047	3	8	15	1000	2	1999	3	0	1000	8	1998	88	1
ET121048	1	9	2	4000	2	2001	3	1	0	88	 	12	1
ET121049	1	6	2	100	3	2002	10	1	0	88	 	88	2
ET121049	2	8	10	4000	5	2000	77	1	0	88	 	88	3
ET121049	3	6	10	500	5	2000	77	0	500	5	2001	88	2
ET121050	1	10	3	100	11	2001	6	1	0	88	 	88	2
ET121050	2	10	3	100	11	2001	6	1	0	88	 	88	1
ET121050	3	9	8	1000	5	2000	6	0	1000	11	2000	88	1
ET121050	4	10	8	2000	1	2001	77	1	0	88	 	88	1
ET121053	1	10	14	1000	4	2001	12	1	0	88	 	88	1
ET121053	2	10	2	400	3	2002	1	1	0	88	 	88	1
ET121054	1	8	8	500	3	2001	5	0	500	8	2001	88	2
ET121054	2	8	2	600	3	1999	77	0	600	5	2000	88	2
ET121057	1	7	16	2000	1	2001	20	1	1100	5	2002	88	1
ET131001	1	10	15	650	10	2001	3	1	0	88	 	6	1
ET131002	1	7	3	2000	3	2001	18	1	1200	3	2002	8	2
ET131004	1	10	4	455	7	2000	12	1	405	11	2001	11	2
ET131005	1	7	4	5000	8	2001	12	1	3698.8	4	2002	8	1
ET131007	1	10	6	150	10	2001	2	0	150	11	2001	88	1
ET131007	2	10	2	200	1	2001	3	0	200	3	2001	88	1
ET131007	3	10	2	450	1	2000	8	0	450	6	2000	88	1
ET131007	4	10	2	300	4	1999	6	0	300	7	1999	88	1
ET131007	5	10	2	250	1	1998	4	0	250	4	1998	88	1
ET131007	6	10	2	200	1	1997	4	0	200	7	1997	11	1
ET131009	1	8	7	400	9	2000	4	1	0	88	 	8	1
ET131011	1	7	4	1000	10	2001	6	1	810	4	2002	8	2
ET131013	1	9	2	250	12	1999	6	0	250	6	2000	88	2
ET131014	1	4	19	1000	5	2001	9	1	0	88	 	8	2
ET131016	1	10	3	2500	1	2000	12	1	1500	12	2001	6	1
ET131017	1	8	10	10000	12	2001	3	1	4000	2	2002	11	1
ET131020	1	7	19	1500	3	2001	6	0	1500	11	2001	11	2
ET131020	2	10	18	400	6	2001	4	1	0	88	 	11	2
ET131020	3	10	2	420	4	2001	5	0	420	7	2001	88	2
ET131020	4	10	2	500	4	2000	3	0	500	6	2000	88	2
ET131020	5	10	6	200	2	2000	7	0	200	4	2000	88	2
ET131020	6	10	2	300	4	1999	6	0	300	8	1999	88	2
ET131020	7	10	2	200	4	1998	6	0	200	8	1998	88	2
ET131020	8	10	2	250	4	1997	6	0	250	7	1997	88	2
ET131021	1	4	2	450	12	2000	5	0	450	4	2001	88	1
ET131022	1	10	3	350	6	2001	12	1	0	88	 	12	1
ET131022	2	10	3	500	1	2002	3	0	500	3	2002	88	1
ET131025	1	7	19	500	10	1999	8	0	500	4	2000	88	2
ET131026	1	7	19	1500	4	2001	5	1	1080	88	 	9	1
ET131026	2	4	19	700	9	2001	3	1	0	88	 	11	1
ET131028	1	7	16	2000	11	1999	0	0	2144	10	2000	88	2
ET131030	1	9	6	250	9	1999	11	0	250	11	1999	88	1
ET131031	1	10	7	300	11	2001	12	1	0	88	 	8	1
ET131031	2	10	2	200	1	2001	12	1	0	88	 	11	1
ET131031	3	10	2	200	1	2000	12	0	200	8	2001	88	1
ET131031	4	10	2	150	1	1999	12	0	150	11	2000	88	1
ET131031	5	10	2	150	1	1998	12	0	150	7	1999	88	1
ET131031	6	10	4	150	11	2001	12	1	0	88	 	8	1
ET131031	7	10	4	100	3	2000	10	0	100	10	2000	88	1
ET131032	1	10	3	400	8	2001	12	1	0	88	 	12	2
ET131032	2	10	3	2800	10	2001	1	0	2800	11	2001	88	2
ET131032	3	10	3	2800	11	2001	1	0	2800	12	2001	88	2
ET131032	4	10	3	2400	12	2001	1	0	2400	1	2002	88	2
ET131032	5	10	3	2400	1	2002	1	0	2400	2	2002	88	2
ET131032	6	10	3	2400	2	2002	1	0	2400	3	2002	88	2
ET131032	7	10	3	2800	3	2002	1	0	2800	4	2002	88	2
ET131033	1	10	2	500	5	2000	5	1	0	88	 	6	1
ET131033	2	4	2	1700	4	2001	3	1	0	88	 	9	1
ET131035	1	7	4	2000	11	2001	4	1	0	88	 	8	1
ET131037	1	7	3	2000	9	2001	12	1	1800	3	2002	5	2
ET131039	1	10	19	150	3	1999	0	1	0	88	 	11	2
ET131041	1	10	4	1500	10	2000	5	1	0	88	 	12	2
ET131043	1	5	19	10000	11	2001	12	1	4000	4	2002	8	2
ET131045	1	4	2	1500	10	1997	12	0	88	10	1998	88	1
ET131045	2	4	2	1500	10	1998	12	0	88	10	1999	88	1
ET131045	3	4	2	1500	10	1999	12	0	88	10	2000	88	1
ET131045	4	4	2	1500	10	2000	12	0	88	10	2001	88	1
ET131045	5	4	2	1500	10	2001	12	1	1500	10	2002	8	1
ET131046	1	7	2	1800	4	1999	5	0	1800	5	2000	88	2
ET131047	1	10	19	200	4	2000	5	1	0	88	 	11	2
ET131048	1	7	3	1000	7	2000	11	0	1000	8	2001	88	2
ET131048	2	7	3	3000	7	1999	11	0	3000	8	2000	88	2
ET131048	3	7	3	3000	7	1998	11	0	3000	8	1999	88	2
ET131048	4	7	3	3000	7	1997	11	0	3000	8	1998	88	2
ET131048	5	7	3	2000	7	1996	11	0	2000	8	1997	88	2
ET141001	1	10	18	4700	9	2000	13	1	3969	1	2002	11	1
ET141002	1	7	2	1000	12	2000	10	0	1096	10	2001	88	2
ET141005	1	2	8	5960	2	1999	60	1	3000	3	2002	88	1
ET141005	2	10	7	700	2	2002	77	1	300	3	2002	88	2
ET141006	1	7	2	1000	2	2002	10	1	600	4	2002	88	2
ET141008	1	2	8	4000	11	2001	36	1	445	3	2002	88	1
ET141009	1	5	5	80000	12	2001	24	1	1000	3	2002	88	1
ET141010	1	10	3	5000	12	2001	12	1	0	88	 	88	1
ET141011	1	8	19	300	1	2002	5	1	0	88	 	8	1
ET141014	1	7	3	10000	11	2001	12	1	4540	4	2002	8	1
ET141014	2	10	3	5000	4	2001	77	1	0	88	 	11	1
