CHILDID	SUPPRGID	SUPKNDR3	SUPWHOR3	SUPSRTR3	SUPENDR3	SUPFRQR3	SUPRIDR3	SUPEXPR3	SUIMR301	SUIMR302
ET091033	1	1	5	1999	-99	5	80	4	2	1
ET091033	2	9	6	1999	-99	10	80	4	5	88
ET091033	3	4	8	1995	-99	9	80	4	2	1
ET091033	4	3	8	2001	-99	9	80	4	1	2
ET091034	1	3	8	1995	-99	10	80	5	2	1
ET091034	2	4	8	1995	-99	10	80	5	2	1
ET091034	3	1	5	1998	-99	8	80	4	2	1
ET091034	4	9	6	1992	-99	10	80	4	5	88
ET091035	1	4	8	1998	-99	10	80	5	2	88
ET091035	2	1	5	1999	2001	4	1	2	2	1
ET091035	3	9	6	2000	2000	2	80	5	5	88
ET091035	4	17	6	2001	-99	10	80	5	5	88
ET091036	1	8	6	1997	-99	7	2	5	5	88
ET091036	2	7	6	1997	-99	10	80	5	5	88
ET091037	1	1	5	1997	-99	10	80	4	2	1
ET091037	2	9	6	2000	-99	10	80	4	5	88
ET091037	3	7	6	2000	-99	10	80	4	5	88
ET091038	1	5	13	2000	-99	4	2	4	2	88
ET091038	2	17	6	2000	-99	11	80	4	3	88
ET091039	1	1	5	1995	-99	10	1	4	2	1
ET091039	2	9	6	1999	-99	10	80	4	5	88
ET091039	3	7	6	1999	-99	9	1	4	5	88
ET091040	1	17	6	2001	-99	8	80	5	3	5
ET091040	2	8	6	1993	1999	8	2	4	5	88
ET091041	1	8	6	1998	-99	8	2	4	9	88
ET091041	2	9	6	2002	-99	10	2	4	9	88
ET091041	3	1	5	1997	-99	4	1	4	9	88
ET091042	1	1	5	1997	-99	10	80	4	9	88
ET091042	2	9	6	1999	-99	10	80	4	5	88
ET091043	1	8	6	1995	-99	7	2	4	9	88
ET091043	2	1	5	1997	-99	9	1	4	9	88
ET091044	1	1	5	1999	-99	8	80	4	2	3
ET091044	2	4	8	1999	-99	10	80	4	2	3
ET091044	3	5	13	1999	-99	4	80	4	2	5
ET091044	4	9	6	1999	-99	10	80	4	3	5
ET091045	1	3	8	1997	-99	10	80	5	1	2
ET091045	2	1	5	2000	-99	6	1	4	2	88
ET091045	3	9	6	2000	-99	10	80	4	5	88
ET091045	4	4	8	1997	-99	10	80	5	1	2
ET091046	1	17	6	1997	-99	9	80	4	5	88
ET091047	1	1	5	2000	-99	9	1	5	3	88
ET091048	1	4	8	1998	-99	9	80	4	2	1
ET091048	2	3	8	2001	-99	9	80	4	2	88
ET091049	1	4	8	1999	-99	7	80	4	2	88
ET091049	2	1	5	1999	-99	5	80	4	9	88
ET091049	3	9	6	1998	-99	10	80	5	5	88
ET091050	1	9	6	2001	-99	10	80	5	5	88
ET091050	2	1	5	1999	-99	10	80	5	9	88
ET101001	1	7	6	2002	-99	7	2	5	5	88
ET101002	1	19	8	2001	2001	11	17	5	9	88
ET101002	2	5	13	2001	-99	3	2	5	1	2
ET101003	1	8	6	1992	-99	8	2	4	3	5
ET101004	1	16	36	1991	-99	4	80	4	4	88
ET101004	2	7	6	1994	-99	4	80	4	5	88
ET101005	1	5	13	2000	-99	4	2	5	2	88
ET101005	2	7	6	2001	-99	3	2	5	3	88
ET101006	1	19	15	1994	-99	8	3	5	9	88
ET101006	2	7	6	2001	-99	9	2	5	3	88
ET101007	1	16	8	2001	-99	10	17	3	9	88
ET101007	2	8	6	1999	-99	8	2	3	9	88
ET101008	1	12	8	1997	2001	4	80	4	4	88
ET101008	2	12	8	1997	2001	8	80	4	2	1
ET101009	1	12	15	1996	-99	5	0	3	4	5
ET101010	1	8	6	2001	-99	8	10	4	5	88
ET101011	1	19	8	2001	-99	11	16	4	9	88
ET101012	1	8	6	2000	2000	8	2	4	9	88
ET101013	1	16	36	1978	-99	4	80	4	4	6
ET101015	1	19	8	2001	-99	11	80	4	9	88
ET101015	2	8	6	1998	-99	8	16	4	9	88
ET101015	3	5	13	2000	2001	4	2	5	1	2
ET101016	1	13	36	2001	2001	11	16	5	9	88
ET101017	1	12	15	1992	2001	10	0	4	4	88
ET101017	2	16	15	1992	2001	4	0	4	4	88
ET101018	1	7	6	2001	-99	4	80	5	3	5
ET101018	2	12	8	2002	-99	4	9	5	4	6
ET101018	3	19	8	2002	-99	11	9	5	1	2
ET101019	1	5	6	1996	-99	4	3	5	2	88
ET101019	2	19	8	2001	-99	11	14	5	9	88
ET101020	1	16	36	1993	-99	11	80	4	1	4
ET101020	2	8	6	1999	-99	8	80	4	1	3
ET101020	3	7	6	1999	-99	8	80	4	4	5
ET101020	4	5	36	1998	-99	3	80	4	9	88
ET101021	1	8	6	1998	-99	8	2	4	88	88
ET101021	2	16	15	2001	-99	11	8	4	88	88
ET101022	1	8	6	2001	-99	8	2	5	1	88
ET101022	2	5	13	1999	-99	4	2	5	1	2
ET101024	1	8	6	2000	-99	10	2	4	5	88
ET101025	1	7	6	1998	-99	5	80	5	5	88
ET101028	1	5	6	1996	-99	4	3	5	2	88
ET101028	2	19	8	2001	-99	11	14	5	9	88
ET101029	1	8	6	1998	-99	8	2	4	5	88
ET101029	2	7	6	2000	-99	10	80	4	3	88
ET101029	3	16	8	2001	-99	11	6	4	9	88
ET101030	1	12	15	1994	-99	5	3	3	4	88
ET101030	2	8	6	1995	-99	8	2	4	3	88
ET101030	3	19	15	1994	-99	5	3	3	2	88
ET101031	1	8	6	1992	2001	8	2	5	2	1
ET101031	2	5	13	2001	-99	4	1	5	2	88
ET101031	3	19	8	2001	-99	11	16	5	9	88
ET101032	1	19	15	2000	-99	8	15	5	9	88
ET101034	1	7	6	1999	-99	11	1	5	5	88
ET101035	1	8	6	2000	2000	8	2	2	5	88
ET101036	1	16	15	2002	-99	8	0	4	4	2
ET101036	2	13	15	2001	2001	11	0	1	4	7
ET101037	1	8	6	1997	-99	8	5	5	9	88
ET101037	2	19	8	2001	-99	11	10	5	9	88
ET101038	1	19	15	1995	-99	8	5	5	9	88
ET101038	2	19	8	2001	-99	11	6	4	9	88
ET101038	3	8	6	1998	-99	8	2	5	2	4
ET101039	1	8	6	2000	-99	1	3	5	2	3
ET101040	1	19	15	1994	2000	8	4	5	1	2
ET101040	2	16	15	2001	2001	10	3	5	9	88
ET101040	3	8	6	2001	2001	10	3	5	3	88
ET101042	1	16	15	1990	-99	4	6	5	4	88
ET101042	2	19	15	1990	-99	8	6	5	1	2
ET101042	3	19	15	1990	-99	5	6	5	9	88
ET101044	1	7	6	1999	-99	4	80	5	5	88
ET101044	2	8	6	1993	2000	8	2	5	1	2
ET101044	3	12	15	1995	-99	4	0	5	4	88
ET101044	4	19	15	1995	-99	8	0	5	1	2
ET101044	5	19	15	1995	-99	5	0	5	9	88
ET101045	1	16	15	1995	-99	10	3	4	9	88
ET101045	2	19	15	1995	-99	5	3	4	9	88
ET101047	1	16	6	1993	-99	4	80	4	4	6
ET101048	1	8	6	1993	-99	8	2	5	2	5
ET101048	2	7	6	1996	-99	4	80	4	5	88
ET101049	1	8	6	1996	-99	8	80	4	2	88
ET101050	1	16	36	1995	-99	4	80	4	4	6
ET101050	2	7	36	1997	-99	4	80	4	3	5
ET111001	1	1	1	1998	-99	10	80	4	2	88
ET111001	2	9	6	1997	-99	10	80	5	5	88
ET111002	1	9	6	2001	-99	10	80	5	5	88
ET111002	2	5	13	1992	-99	4	1	4	2	88
ET111003	1	1	36	1991	-99	4	80	3	1	2
ET111003	2	8	6	2000	-99	10	80	4	5	3
ET111003	3	16	36	1997	-99	4	80	5	4	88
ET111003	4	9	6	2001	-99	4	80	3	5	88
ET111004	1	1	1	1984	-99	10	1	5	1	2
ET111004	2	9	6	1998	-99	10	80	5	3	88
ET111004	3	8	6	1998	-99	10	2	5	3	88
ET111004	4	7	6	2000	-99	10	1	5	3	88
ET111005	1	8	6	1999	-99	2	2	4	2	3
ET111005	2	9	6	2001	-99	10	80	3	5	3
ET111005	3	1	5	1996	-99	6	80	4	2	3
ET111005	4	5	13	2001	-99	4	2	4	2	88
ET111006	1	9	6	1998	-99	5	80	5	5	88
ET111006	2	8	6	2001	-99	8	2	5	5	2
ET111007	1	9	6	2001	-99	4	80	5	3	88
ET111007	2	1	1	2001	-99	4	17	4	1	2
ET111007	3	7	1	2001	-99	10	16	4	5	88
ET111008	1	1	1	2000	-99	4	80	3	2	88
ET111008	2	9	6	2000	-99	8	2	5	2	88
ET111009	1	9	6	1997	-99	7	80	3	3	5
ET111009	2	8	6	1997	-99	8	2	3	1	5
ET111009	3	1	5	1995	-99	5	80	3	1	4
ET111010	1	9	6	2000	-99	2	80	3	5	88
ET111010	2	8	6	1999	-99	3	80	4	2	5
ET111010	3	1	5	1990	-99	5	1	3	2	5
ET111011	1	1	5	1998	-99	5	80	4	2	88
ET111011	2	9	6	1998	-99	5	80	3	5	88
ET111011	3	16	36	1992	-99	4	88	5	4	88
ET111012	1	8	6	1994	-99	8	2	4	2	3
ET111012	2	9	6	2000	-99	4	80	3	5	4
ET111012	3	1	5	2000	-99	4	80	3	1	3
ET111013	1	9	6	1995	-99	7	80	3	3	5
ET111015	1	9	6	2000	-99	10	80	4	5	88
ET111015	2	8	6	1994	-99	8	2	5	5	2
ET111015	3	5	13	1992	-99	4	2	5	2	5
ET111016	1	1	5	1992	2001	4	1	3	2	5
ET111016	2	9	6	1998	-99	9	80	3	5	88
ET111018	1	9	6	1997	-99	7	80	3	3	5
ET111019	1	1	5	1994	-99	4	80	3	1	2
ET111019	2	9	6	1996	-99	5	80	4	5	88
ET111019	3	8	6	1990	-99	4	80	4	5	1
ET111019	4	16	36	1996	-99	11	80	5	4	88
ET111020	1	1	5	1998	-99	7	1	4	1	2
ET111020	2	9	6	1999	-99	5	80	5	5	88
ET111020	3	5	6	1995	-99	8	2	5	1	2
ET111021	1	9	6	1995	-99	8	80	3	3	5
ET111021	2	8	6	1995	-99	1	2	4	1	5
ET111022	1	1	5	1990	-99	5	6	4	1	2
ET111022	2	9	6	1998	-99	8	80	5	5	88
ET111022	3	1	5	1980	2000	4	6	5	1	2
ET111023	1	9	6	1999	-99	7	2	4	5	88
ET111023	2	8	6	1999	-99	8	2	4	5	88
ET111023	3	1	5	1999	-99	8	2	4	2	88
ET111024	1	1	1	2000	-99	4	1	3	1	2
ET111024	2	9	6	2000	-99	8	80	5	3	5
ET111025	1	9	6	1999	-99	9	80	3	5	88
ET111025	2	1	5	1992	-99	10	1	3	2	5
ET111027	1	8	6	1998	-99	8	8	4	2	4
ET111027	2	9	6	2001	-99	8	80	4	2	5
ET111027	3	7	6	2001	-99	10	80	4	5	88
ET111028	1	9	6	1995	-99	7	80	4	3	5
ET111029	1	8	6	2000	-99	2	6	4	88	88
ET111029	2	1	5	1999	-99	5	1	4	88	88
ET111029	3	1	5	1999	-99	7	1	4	88	88
ET111031	1	8	6	2001	-99	8	2	5	1	2
ET111032	1	9	6	1999	-99	6	2	4	5	88
ET111032	2	1	5	1999	-99	7	1	4	2	88
ET111033	1	8	6	1997	-99	8	2	5	2	88
ET111033	2	5	13	1999	-99	4	2	5	2	88
ET111033	3	9	6	2000	-99	5	80	4	5	88
ET111034	1	1	1	1987	-99	10	80	5	2	88
ET111034	2	9	6	1998	-99	4	80	5	5	88
ET111034	3	7	6	1999	-99	10	80	5	5	88
ET111035	1	9	6	2000	-99	5	80	4	5	88
ET111035	2	1	5	1990	2001	4	80	5	1	2
ET111038	1	1	5	1994	-99	8	80	4	2	88
ET111038	2	9	6	1999	-99	5	80	5	5	88
ET111038	3	8	6	1999	-99	8	2	5	2	4
ET111038	4	1	5	1998	2000	4	1	5	2	88
ET111039	1	9	6	2000	-99	8	80	4	5	88
ET111039	2	7	6	2000	-99	8	80	4	5	88
ET111040	1	1	5	1999	-99	7	1	4	2	88
ET111040	2	9	6	1999	-99	6	2	4	5	88
ET111041	1	1	36	2001	-99	4	80	1	1	2
ET111041	2	5	13	1999	-99	4	80	5	1	3
ET111041	3	9	6	2001	-99	4	80	3	5	88
ET111041	4	8	6	2000	-99	11	80	5	1	4
ET111042	1	1	1	1999	-99	7	80	5	2	88
ET111042	2	9	6	1998	2001	7	80	5	5	88
ET111042	3	5	13	1998	2000	8	2	3	2	88
ET111043	1	1	5	1996	-99	10	80	4	1	3
ET111043	2	1	6	1995	-99	8	2	4	2	5
ET111043	3	9	6	2000	-99	10	80	4	5	4
ET111044	1	9	6	2000	-99	4	80	4	5	4
ET111045	1	1	5	1998	-99	4	80	5	2	88
ET111045	2	5	13	1992	-99	4	3	5	4	88
ET111045	3	9	6	2000	-99	5	80	5	5	88
ET111046	1	8	6	2001	-99	8	1	5	2	88
ET111047	1	1	5	1999	-99	4	1	4	1	2
ET111047	2	1	5	1998	2001	4	1	5	1	2
ET111047	3	9	6	1990	-99	8	80	5	5	88
ET121004	1	9	6	1997	-99	5	80	4	3	5
ET121005	1	9	77	1999	-99	2	80	4	5	88
ET121009	1	1	5	2002	-99	4	80	3	9	88
ET121011	1	9	6	1996	-99	9	80	4	5	88
ET121011	2	1	5	1996	-99	7	80	4	1	88
ET121013	1	9	6	1994	-99	5	80	4	3	5
ET121013	2	1	5	1994	-99	5	80	4	2	88
ET121015	1	9	6	2000	-99	9	80	4	3	88
ET121026	1	1	9	2000	-99	8	80	2	9	88
ET121041	1	9	6	1999	-99	5	80	4	3	88
ET121046	1	9	6	1995	-99	10	80	4	5	3
ET121050	1	17	15	2001	-77	2	80	4	5	88
ET121053	1	9	6	1999	-99	5	88	4	3	5
ET121055	1	9	6	1999	-99	5	80	4	5	3
ET121057	1	9	6	2000	-99	10	80	4	5	88
ET121057	2	1	5	2000	-99	4	80	2	1	88
ET131001	1	9	6	1998	-99	10	80	2	3	88
ET131002	1	9	6	1998	-99	10	80	5	5	88
ET131002	2	11	6	1998	-99	4	3	5	5	88
ET131002	3	5	13	1999	-99	3	80	4	4	88
ET131003	1	7	6	1998	-99	9	80	4	5	88
ET131003	2	8	6	1998	-99	9	80	4	5	88
ET131003	3	4	4	1997	-99	7	80	4	2	88
ET131004	1	8	6	1990	-99	5	2	4	3	88
ET131004	2	9	6	1995	-99	5	80	5	3	88
ET131004	3	3	5	1998	-99	7	80	3	1	88
ET131005	1	7	6	2000	-99	8	80	4	5	88
ET131005	2	8	6	1999	-99	8	80	4	3	88
ET131005	3	9	6	1998	-99	9	80	4	5	88
ET131006	1	8	6	1998	-99	10	80	4	5	88
ET131006	2	7	6	1998	-99	10	80	4	5	88
ET131007	1	7	6	2000	-99	9	80	4	5	3
ET131007	2	8	6	1999	-99	10	80	4	3	5
ET131007	3	9	6	1998	-99	10	80	4	5	88
ET131008	1	7	6	2000	-99	9	80	4	3	88
ET131008	2	8	6	2000	-99	9	80	4	3	88
ET131008	3	9	6	2000	-99	9	80	4	3	5
ET131009	1	9	6	1995	-99	9	80	4	3	4
ET131009	2	8	6	2000	-99	9	80	4	3	88
ET131009	3	7	6	1997	-99	10	80	4	4	3
ET131010	1	8	6	1991	-99	5	2	5	3	88
ET131010	2	9	6	1996	-99	8	80	5	3	88
ET131011	1	7	6	1999	-99	5	80	5	5	88
ET131011	2	8	6	2000	-99	5	80	5	5	88
ET131011	3	17	6	1999	-99	5	80	5	5	88
ET131011	4	9	6	1995	-99	5	80	5	5	88
ET131012	1	17	6	2000	-99	4	80	3	5	88
ET131012	2	7	6	2001	-99	10	80	4	5	88
ET131012	3	8	6	1990	-99	10	80	4	5	88
ET131012	4	9	6	2000	-99	5	80	4	5	88
ET131013	1	9	6	1998	-99	10	80	1	3	88
ET131014	1	9	6	1995	-99	10	80	5	5	3
ET131014	2	8	6	2000	-99	9	80	4	3	88
ET131014	3	7	6	1999	-99	9	80	4	5	88
ET131015	1	7	6	1999	-99	10	80	4	3	88
ET131015	2	8	6	1998	-99	9	80	4	5	88
ET131015	3	17	6	1998	-99	3	80	4	5	88
ET131016	1	9	6	1998	-99	10	80	2	3	88
ET131017	1	7	6	2000	-99	10	80	4	3	88
ET131017	2	8	6	2000	-99	10	80	4	3	5
ET131017	3	11	6	2000	-99	10	80	4	5	88
ET131020	1	7	6	2000	-99	10	80	4	5	3
ET131020	2	8	6	1999	-99	9	80	4	3	5
ET131020	3	9	6	1998	-99	10	80	4	5	88
ET131020	4	1	5	1990	-99	10	80	4	1	2
ET131021	1	9	6	1994	-99	5	80	4	3	88
ET131021	2	8	6	1991	-99	8	2	5	3	88
ET131022	1	9	6	1998	-99	10	80	4	5	88
ET131022	2	16	8	2001	-99	4	0	5	6	88
ET131022	3	18	8	2001	-99	4	0	5	4	88
ET131023	1	7	6	1999	-99	10	80	2	5	88
ET131023	2	8	6	1999	-99	10	80	2	3	88
ET131023	3	9	6	1998	-99	10	80	3	5	88
ET131024	1	7	6	1998	-99	4	80	4	5	88
ET131024	2	8	6	1998	-99	4	80	4	5	88
ET131024	3	11	6	1998	-99	4	80	4	5	88
ET131025	1	5	13	1999	-99	4	2	2	1	2
ET131025	2	8	6	1995	-99	10	80	4	5	88
ET131025	3	9	6	1995	-99	10	80	4	5	88
ET131026	1	9	6	1995	-99	9	80	2	3	5
ET131026	2	8	6	2002	-99	7	80	4	3	4
ET131026	3	7	6	1999	-99	5	80	5	4	88
ET131027	1	9	6	1995	-99	9	80	4	3	5
ET131027	2	8	6	2000	-99	9	80	4	3	88
ET131027	3	7	6	1999	-99	10	80	4	4	5
ET131028	1	7	6	1998	-99	10	80	5	5	88
ET131028	2	8	6	1998	-99	10	80	5	5	88
ET131028	3	9	6	1998	-99	10	80	5	5	88
ET131028	4	17	6	1998	-99	10	80	5	5	88
ET131028	5	5	13	1999	-99	4	80	5	1	88
ET131029	1	9	6	1995	-99	10	80	4	3	88
ET131029	2	8	6	2000	-99	10	80	5	4	3
ET131029	3	7	6	1999	-99	9	80	4	4	3
ET131030	1	17	6	1998	-99	10	80	5	5	88
ET131030	2	8	6	1998	-99	10	80	4	5	88
ET131030	3	9	6	1998	-99	10	80	4	5	88
ET131030	4	7	6	1998	-99	10	80	4	5	88
ET131031	1	7	6	2000	-99	10	80	4	5	3
ET131031	2	8	6	1999	-99	10	80	4	3	88
ET131031	3	9	6	1998	-99	10	80	4	5	88
ET131032	1	9	6	1994	-99	10	80	4	5	88
ET131032	2	18	23	2001	-99	10	80	5	6	88
ET131032	3	16	15	2000	-99	4	8	5	6	88
ET131032	4	19	15	2001	-99	4	80	5	1	2
ET131033	1	9	6	1995	-99	9	80	4	3	88
ET131033	2	8	6	2000	-99	9	80	4	3	88
ET131033	3	7	6	1999	-99	10	80	4	4	88
ET131034	1	7	6	1998	-99	9	80	3	3	88
ET131034	2	8	6	1998	-99	9	80	4	3	5
ET131035	1	7	6	2000	-99	8	80	4	5	88
ET131035	2	8	6	1990	-99	10	80	4	1	88
ET131035	3	9	6	1990	-99	10	80	4	5	88
ET131035	4	11	6	2000	-99	8	80	4	5	88
ET131036	1	9	6	1995	-99	8	80	4	3	5
ET131036	2	8	6	2000	-99	8	80	4	5	88
ET131036	3	7	6	1990	-99	8	80	4	5	88
ET131037	1	5	13	1997	-99	4	80	5	2	88
ET131037	2	9	6	1995	-99	10	80	5	5	88
ET131038	1	7	6	1998	-99	10	80	4	5	88
ET131038	2	8	6	1998	-99	10	80	4	5	88
ET131039	1	7	6	1999	-99	10	80	5	5	88
ET131039	2	8	6	2000	-99	10	80	5	5	88
ET131039	3	9	6	1995	-99	10	80	5	5	88
ET131039	4	17	6	1995	-99	10	80	5	5	88
ET131041	1	7	6	1998	-99	9	80	4	3	88
ET131041	2	8	6	1999	-99	10	80	4	5	88
ET131041	3	11	6	1999	-99	10	80	4	5	88
ET131042	1	7	6	1988	-99	4	80	4	5	88
ET131042	2	8	6	1989	-99	8	80	4	1	88
ET131042	3	9	6	1989	-99	10	80	4	5	88
ET131043	1	7	6	2000	-99	10	80	4	5	88
ET131043	2	8	6	1999	-99	10	80	4	3	88
ET131043	3	9	6	1998	-99	10	80	3	5	88
ET131044	1	8	6	1998	-99	10	80	4	5	88
ET131044	2	11	6	1998	-99	10	80	4	5	88
ET131044	3	9	6	1998	-99	10	80	4	5	88
ET131045	1	9	6	1995	-99	4	80	5	5	88
ET131045	2	8	6	1999	-99	10	80	5	5	88
ET131045	3	19	15	1987	-99	4	80	1	2	88
ET131046	1	9	6	1995	-99	10	80	4	4	5
ET131046	2	8	6	2000	-99	10	80	3	3	88
ET131046	3	7	6	1999	-99	9	80	4	4	5
ET131047	1	7	6	1998	-99	10	80	4	5	88
ET131047	2	8	6	1998	-99	10	80	4	5	88
ET131047	3	17	6	1998	-99	7	80	4	5	88
ET131048	1	7	6	1998	-99	10	80	5	5	88
ET131048	2	8	6	1998	-99	10	80	5	5	88
ET131048	3	9	6	1998	-99	10	80	4	5	88
ET131048	4	11	6	1998	-99	10	80	4	5	88
ET131049	1	8	15	2001	2002	1	24	4	9	88
ET131050	1	7	6	2000	-99	10	80	4	5	88
ET131050	2	8	6	1999	-99	9	80	4	5	3
ET131050	3	9	6	1998	-99	10	80	4	5	88
ET141001	1	8	6	1999	-99	77	2	4	3	88
ET141002	1	7	15	2000	-99	1	2	4	3	88
ET141004	1	7	6	1985	-99	77	80	4	5	3
ET141004	2	8	6	1998	-99	8	2	4	3	5
ET141005	1	19	15	2001	-99	10	15	2	2	88
ET141006	1	7	15	2000	-99	77	80	4	5	3
ET141006	2	8	6	1995	-99	8	2	4	3	5
ET141006	3	16	15	2002	-99	10	15	5	4	88
ET141007	1	7	6	1999	-99	2	80	4	5	88
ET141008	1	9	6	1999	-99	77	80	4	5	3
ET141008	2	8	6	1999	-99	2	2	4	5	3
ET141008	3	5	15	1999	-99	10	1	5	4	1
ET141009	1	7	6	1999	-99	77	80	4	3	5
ET141009	2	5	36	2001	-99	77	1	4	2	4
ET141012	1	7	6	1999	-99	4	4	4	9	88
ET141013	1	7	6	1999	-99	3	1	4	5	88
ET141013	2	19	15	1999	-99	9	0	4	2	88
ET141014	1	13	36	2001	2001	4	1	5	1	88
ET141015	1	7	36	2001	-99	4	2	4	3	88
ET141015	2	13	36	2002	-99	4	2	4	9	88
ET141017	1	13	15	2000	-99	4	1	5	9	88
ET141019	1	7	36	1998	-99	4	2	4	9	88
ET141020	1	7	36	2001	-99	4	1	4	9	88
ET141021	1	7	6	1999	-99	7	80	4	5	88
ET141021	2	13	15	1998	1998	11	5	4	9	88
ET141022	1	2	15	2000	-99	8	2	4	9	88
ET141022	2	5	15	2001	-99	8	2	4	9	88
ET141023	1	7	15	2000	-99	4	6	4	9	88
ET141024	1	13	15	2002	-99	7	5	4	9	88
ET141024	2	13	36	2002	2002	4	3	4	9	88
ET141025	1	9	15	1999	-99	10	2	4	5	88
ET141025	2	2	15	2000	-99	4	2	4	8	88
ET141025	3	4	15	2000	-99	10	2	4	3	88
ET141026	1	7	36	2001	-99	10	1	4	3	88
ET141028	1	5	13	2000	2001	4	1	5	3	88
ET141028	2	9	6	1999	2001	7	2	4	5	88
ET141029	1	19	7	1999	-99	77	80	5	3	5
ET141029	2	1	36	1999	-99	77	1	4	2	88
ET141029	3	8	6	1999	-99	8	2	5	3	88
ET141030	1	19	15	2001	-99	77	2	3	2	88
ET141030	2	5	15	2000	-99	11	2	4	4	2
ET141030	3	1	15	2001	-99	77	2	4	2	88
ET141031	1	9	15	2002	-99	77	1	4	5	3
ET141031	2	5	15	2002	-99	11	1	4	4	2
ET141032	1	5	5	1999	-99	10	1	4	4	88
ET141033	1	5	15	1999	-99	11	2	4	2	4
ET141033	2	7	15	1999	-99	77	2	4	3	5
ET141033	3	19	5	1999	-99	10	1	4	2	4
ET141034	1	5	15	2001	-99	11	3	5	4	88
ET141034	2	7	36	1999	-99	77	80	4	3	5
ET141035	1	8	6	1998	-99	8	2	4	3	5
ET141035	2	7	15	2000	-99	77	80	4	5	3
ET141036	1	8	6	1991	-99	10	2	4	3	5
ET141036	2	7	15	2000	-99	77	2	4	5	3
ET141037	1	8	6	1997	2000	10	2	2	5	88
ET141037	2	7	15	2000	2002	77	80	4	3	88
ET141037	3	2	15	1999	2000	77	80	3	6	7
ET141038	1	7	15	2001	-99	77	80	4	5	88
ET141039	1	13	15	2001	-99	5	1	5	3	88
ET141040	1	8	6	1998	-99	2	1	4	3	5
ET141040	2	7	15	1998	-99	77	80	4	5	3
ET141041	1	7	15	2000	-99	5	80	4	5	3
ET141041	2	8	6	1995	-99	8	2	4	3	5
ET141042	1	8	6	1991	-99	8	2	4	3	5
ET141042	2	7	15	1992	-99	77	80	4	5	3
ET141043	1	9	6	1998	-99	4	80	4	5	88
ET141043	2	17	6	1998	-99	4	80	4	5	88
ET141044	1	1	9	1999	-99	10	80	4	3	88
ET141044	2	9	6	1998	-99	10	80	5	5	88
ET141044	3	8	6	1998	-99	10	80	5	5	88
ET141044	4	7	6	1998	-99	10	80	5	5	88
ET141045	1	7	15	2000	2001	77	80	4	3	88
ET141046	1	19	15	2001	-99	4	0	4	3	88
ET141047	1	16	77	2001	-77	4	0	4	4	88
ET141047	2	17	6	1999	-99	77	8	4	3	5
ET141048	1	2	77	2001	-99	77	80	4	3	8
ET141049	1	5	36	2001	-99	11	3	4	2	4
ET141049	2	9	15	1999	-99	77	80	5	3	5
ET141050	1	8	6	1999	-99	8	2	5	3	5
ET141050	2	19	36	2000	2001	77	2	4	9	88
ET141050	3	5	13	2000	-99	10	2	4	1	4
ET141050	4	16	15	1999	-99	10	0	4	4	88
ET151001	1	19	15	1997	-99	8	80	1	2	88
ET151001	2	9	15	1999	2001	11	2	5	5	88
ET151002	1	19	5	2001	-99	6	80	4	1	2
ET151004	1	1	5	1999	-99	3	1	3	2	88
ET151004	2	9	6	2000	-99	7	2	4	3	5
ET151004	3	3	5	2000	2000	10	80	4	7	4
ET151004	4	19	36	1999	-99	77	80	1	1	2
ET151005	1	1	5	1999	-99	77	1	4	2	88
ET151005	2	9	1	1999	-99	77	80	4	3	5
ET151005	3	19	36	1999	-99	77	80	2	2	1
ET151008	1	7	6	2000	-99	5	2	4	3	88
ET151008	2	8	6	1999	-99	7	3	4	3	88
ET151008	3	17	6	1999	-99	7	80	1	3	88
ET151009	1	1	15	1999	-99	10	80	3	1	88
ET151009	2	8	15	1997	-99	10	2	5	9	88
ET151009	3	9	6	1997	-99	10	80	5	5	88
ET151009	4	19	15	2000	-99	5	80	1	2	88
ET151010	1	19	36	2001	-99	7	80	3	1	2
ET151011	1	19	36	1999	-99	4	80	2	1	88
ET151012	1	3	77	1998	-99	9	80	4	2	4
ET151012	2	7	15	2000	-99	5	2	4	9	88
ET151012	3	8	6	1998	-99	8	2	4	2	5
ET151012	4	19	36	2001	-99	8	80	3	1	2
ET151014	1	19	5	2001	-99	4	80	4	2	88
ET151016	1	9	6	2001	-99	8	80	2	3	1
ET151016	2	19	36	2001	-99	7	18	3	2	88
ET151018	1	19	36	1999	-99	77	80	2	2	1
ET151018	2	8	6	1999	-99	8	12	4	5	3
ET151018	3	9	6	1999	-99	77	80	4	3	5
ET151018	4	1	5	1999	-99	77	11	4	2	88
ET151019	1	19	36	1999	-99	77	80	2	1	2
ET151019	2	8	6	1999	-99	8	2	5	3	5
ET151019	3	9	6	1999	-99	77	80	4	3	5
ET151019	4	1	5	1999	-99	77	1	4	2	88
ET151020	1	9	15	1994	-99	10	80	2	3	5
ET151020	2	1	15	1999	-99	4	80	1	2	1
ET151020	3	19	15	1992	-99	5	80	2	2	88
ET151021	1	7	6	1998	-99	77	80	4	9	88
ET151021	2	8	6	1998	-99	77	2	4	3	5
ET151021	3	19	36	2001	-99	77	80	3	2	1
ET151023	1	8	6	2000	-99	8	2	5	5	88
ET151024	1	19	15	1995	-99	8	80	2	2	88
ET151025	1	7	15	1999	-99	5	80	2	3	88
ET151025	2	19	5	1997	-99	5	80	3	1	88
ET151026	1	19	22	1999	-99	8	80	2	1	5
ET151026	2	7	6	2001	-99	8	2	5	5	88
