CHILDCODE	SIBFNDR5	DINT	SIBWGHBR	SIBWGDOC	ENRSIBR5	SIBCARR5	SIBDOMR5	SIBFRMR5	SIBOUTR5	SIBPARR5	SIB20R5	FEAS01R5	FEAS02R5	FEAS03R5	FEAS04R5	FEAS05R5	FEAS06R5	FEAS07R5	FEAS08R5	FEAS09R5	FEAS10R5	FEAS11R5	FEAS12R5	FEAS13R5	FEAS14R5	FEAS15R5	FEAS16R5	FEAS17R5	FEAS18R5	FEAS19R5	FEAS20R5	FEAS21R5	FEAS22R5	FEAS23R5	FEAS24R5	SASHCLR5	SASHWKR5	SPLDECR5	SNOCHCR5	SCLTRGR5	STRYHDR5	SFTRWRR5	SEMBBKR5	SASHSHR5	SBRJOBR5	SWRUNIR5
10057	1	03/11/2016 20:34:43	 	 	1	0	1	0	0	1	0	2	3	2	3	3	3	4	2	2	3	3	3	4	4	3	2	3	4	3	3	2	3	3	3	4	4	3	2	2	5	4	4	2	4	4
10059	1	10/11/2016 11:19:05	 	 	1	0	0	0	0	1	1	3	 	3	4	3	 	3	 	4	3	 	3	3	2	 	3	 	3	2	 	3	4	 	3	4	 	3	 	3	3	3	4	 	4	 
10060	1	14/11/2016 10:23:32	 	 	1	0	0	0	0	1	1	3	 	3	3	3	 	2	 	4	3	 	3	3	4	 	3	 	3	3	 	2	3	 	3	4	 	2	 	3	5	5	5	 	5	 
10062	1	10/11/2016 11:30:39	 	 	1	0	1	0	0	1	0	3	3	1	3	3	3	2	2	3	3	3	2	3	3	3	2	3	2	3	3	3	3	3	3	3	3	3	4	3	2	3	4	4	4	4
10063	1	06/11/2016 10:14:21	 	 	1	1	1	0	0	1	0	3	3	2	4	2	77	77	2	3	77	77	77	3	77	2	3	1	77	4	2	3	3	2	3	3	77	2	2	4	4	4	77	2	4	2
10064	1	11/11/2016 15:21:10	 	 	1	0	1	0	1	1	1	3	 	3	3	3	 	3	 	3	3	 	3	3	3	 	3	 	3	3	 	3	3	 	3	3	3	3	4	4	4	4	4	 	4	 
10065	1	07/11/2016 00:00:58	 	 	1	0	1	1	0	1	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	4	3	4	4	4	2	4	4	4	4	4	4	4
10067	1	08/11/2016 11:32:55	 	 	1	0	0	0	0	1	0	2	4	2	2	1	3	2	4	3	3	3	1	2	3	3	2	3	2	3	2	2	3	3	3	2	 	3	 	2	4	4	3	3	5	3
10068	0	24/11/2016 16:25:42	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10069	1	24/11/2016 15:07:59	 	 	1	0	1	0	0	1	0	3	4	3	3	3	3	2	3	4	3	3	2	3	3	3	2	4	3	3	3	2	3	3	3	4	4	4	4	4	4	3	4	4	5	3
