CHILDCODE	FVVLIDR5	FVVALR5	SLVALR5
48005	2	21	800
48005	3	28	200
48005	4	10	80
48005	5	22	30
48006	1	7	4000
48006	2	4	2500
48006	3	10	350
48006	4	12	100
48006	5	23	60
48007	1	4	2000
48007	2	24	300
48007	3	3	300
48007	4	10	200
48007	5	5	70
48008	1	4	200
48008	2	12	80
48008	3	23	70
48008	4	10	60
48008	5	22	30
48009	1	4	100
48009	2	12	80
48009	3	10	80
48009	4	23	50
48009	5	25	50
48010	1	10	300
48010	2	5	10
48010	3	98	 
48010	4	98	 
48010	5	98	 
48011	1	7	5000
48011	2	10	10
48011	3	12	1
48011	4	23	5
48011	5	98	 
48013	1	7	800
48013	2	12	80
48013	3	10	80
48013	4	22	30
48013	5	5	20
48014	1	24	200
48014	2	10	350
48014	3	4	150
48014	4	5	30
48014	5	98	 
48015	1	11	1600
48015	2	4	600
48015	3	10	400
48015	4	12	300
48015	5	15	50
48016	1	11	1500
48016	2	12	1500
48016	3	10	400
48016	4	98	 
48016	5	98	 
48017	1	10	400
48017	2	5	60
48017	3	98	 
48017	4	98	 
48017	5	98	 
