CHILDCODE	IMEVIDR5	RKEVR5	PR2013R5	PR2014R5	PR2015R5	PR2016R5
68017	1	98	 	 	 	 
68017	2	98	 	 	 	 
68017	3	98	 	 	 	 
68019	1	37	 	 	 	3
68019	2	98	 	 	 	 
68019	3	98	 	 	 	 
68020	1	39	 	4	4	 
68020	2	98	 	 	 	 
68020	3	98	 	 	 	 
68021	1	30	 	 	1	 
68021	2	41	 	 	 	2
68021	3	98	 	 	 	 
68022	1	98	 	 	 	 
68022	2	98	 	 	 	 
68022	3	98	 	 	 	 
68023	1	63	 	 	 	4
68023	2	45	 	 	 	1
68023	3	98	 	 	 	 
68024	1	38	 	 	 	2
68024	2	98	 	 	 	 
68024	3	98	 	 	 	 
68025	1	41	 	2	 	 
68025	2	98	 	 	 	 
68025	3	98	 	 	 	 
78001	1	98	 	 	 	 
78001	2	98	 	 	 	 
78001	3	98	 	 	 	 
78002	1	98	 	 	 	 
78002	2	98	 	 	 	 
78002	3	98	 	 	 	 
78003	1	98	 	 	 	 
78003	2	98	 	 	 	 
78003	3	98	 	 	 	 
78005	1	38	 	4	4	4
78005	2	25	 	 	3	 
78005	3	98	 	 	 	 
78006	1	38	 	 	 	2
78006	2	98	 	 	 	 
78006	3	98	 	 	 	 
78008	1	63	4	4	4	4
78008	2	5	 	 	4	 
78008	3	98	 	 	 	 
78009	1	98	 	 	 	 
78009	2	98	 	 	 	 
78009	3	98	 	 	 	 
78010	1	98	 	 	 	 
78010	2	98	 	 	 	 
78010	3	98	 	 	 	 
78011	1	62	 	3	3	3
78011	2	45	4	4	4	4
78011	3	98	 	 	 	 
78012	1	2	 	 	 	3
78012	2	98	 	 	 	 
78012	3	98	 	 	 	 
78013	1	98	 	 	 	 
78013	2	98	 	 	 	 
78013	3	98	 	 	 	 
78014	1	98	 	 	 	 
78014	2	98	 	 	 	 
78014	3	98	 	 	 	 
78015	1	98	 	 	 	 
78015	2	98	 	 	 	 
78015	3	98	 	 	 	 
78016	1	98	 	 	 	 
