CHILDCODE	IMEVIDR5	RKEVR5	LOSS13R5	LOSS14R5	LOSS15R5	LOSS16R5	RESEVR51	RESEVR52	RESEVR53
30038	3	 	 	 	 	 	 	 	 
30039	1	34	 	3	 	 	2	8	88
30039	2	47	 	 	3	4	2	88	 
30039	3	88	 	 	 	 	 	 	 
30040	1	16	2	2	 	 	9	88	 
30040	2	88	 	 	 	 	 	 	 
30040	3	88	 	 	 	 	 	 	 
30041	1	47	 	 	4	4	18	88	 
30041	2	88	 	 	 	 	 	 	 
30041	3	88	 	 	 	 	 	 	 
30043	1	 	 	 	 	 	 	 	 
30043	2	 	 	 	 	 	 	 	 
30043	3	 	 	 	 	 	 	 	 
30044	1	47	 	 	4	3	22	7	 
30044	2	88	 	 	 	 	 	 	 
30044	3	88	 	 	 	 	 	 	 
30045	1	61	 	4	 	 	9	2	1
30045	2	47	 	 	3	3	2	1	88
30045	3	88	 	 	 	 	 	 	 
30047	1	 	 	 	 	 	 	 	 
30047	2	 	 	 	 	 	 	 	 
30047	3	 	 	 	 	 	 	 	 
30048	1	47	 	 	2	2	18	28	88
30048	2	88	 	 	 	 	 	 	 
30048	3	88	 	 	 	 	 	 	 
30051	1	 	 	 	 	 	 	 	 
30051	2	 	 	 	 	 	 	 	 
30051	3	 	 	 	 	 	 	 	 
30052	1	 	 	 	 	 	 	 	 
30052	2	 	 	 	 	 	 	 	 
30052	3	 	 	 	 	 	 	 	 
30053	1	 	 	 	 	 	 	 	 
30053	2	 	 	 	 	 	 	 	 
30053	3	 	 	 	 	 	 	 	 
30054	1	 	 	 	 	 	 	 	 
30054	2	 	 	 	 	 	 	 	 
30054	3	 	 	 	 	 	 	 	 
