CHILDCODE	CROPIDR4	CROPR5	QNTHRVR5	LUHARVR5	VLPRDR5	VLSLDR5	CRPCSTR5
70036	3	75	2	2	1800	0	300
70036	4	55	6	2	1800	600	300
70038	1	75	3	2	2400	0	0
70038	2	55	7.5	2	750	200	325
70038	3	43	1	2	1600	800	0
70038	4	19	50	1	600	0	0
70038	5	42	30	1	420	0	0
70038	6	31	6	55	300	0	0
70038	7	21	5	56	1500	1500	0
70041	1	55	20	2	4400	660	1500
70041	2	8	4	2	5200	0	2200
70041	3	130	5	2	4000	0	0
70041	4	43	1	2	1500	0	0
70041	5	31	13	55	1300	0	0
70042	1	130	8	2	6400	1000	1350
70042	2	75	4	2	3600	900	780
70042	3	125	1	2	1600	0	0
70042	4	43	1	9	600	0	0
70043	1	130	5	2	5000	0	800
70043	2	55	6	2	1200	0	500
70043	3	43	1	2	1500	400	300
70044	1	55	10	2	2000	800	700
70044	2	5	2.5	2	1750	0	0
70044	3	75	1	2	800	0	600
70044	4	130	1	2	600	0	0
70044	5	43	50	1	800	400	0
70044	6	125	0	88	0	0	0
70045	1	75	15	2	10500	1400	1250
70045	2	55	10.5	2	840	160	750
70046	1	55	30	9	3000	500	320
70046	2	5	10	9	2500	250	0
70046	3	75	10	9	3000	0	700
70046	4	130	10	9	3000	0	0
70047	1	55	50	2	15000	2400	500
70047	2	75	5	2	4000	0	0
70047	3	5	4	2	2800	0	0
70047	4	43	50	1	800	0	0
70048	1	130	1	2	1200	0	200
70048	2	75	3	2	2400	0	250
70048	3	42	1	2	4000	4000	300
70048	4	55	12	2	2400	1000	200
70049	1	5	5	2	3500	1500	300
70049	2	75	3	2	2700	0	0
70049	3	55	10	2	2000	400	350
70050	1	75	2	2	1600	0	700
70050	2	43	50	1	600	300	500
70050	3	5	1	1	1000	500	0
70050	4	55	5	2	1000	300	1100
70050	5	26	25	1	1750	210	100
70050	6	31	7	55	700	0	320
70051	1	75	3	2	2400	100	300
70051	2	5	2	2	1400	0	300
70051	3	55	5	2	1000	200	200
70051	4	42	50	1	800	0	0
70051	5	43	50	1	1000	150	0
70052	1	31	6	55	300	300	0
70052	2	55	2.5	2	350	0	0
70054	1	75	8	9	3200	0	1543
70054	2	5	5	9	1500	300	656
70054	3	55	30	9	4500	4000	1363
70054	4	43	75	1	975	0	0
70054	5	96	1	9	1400	700	0
70056	1	5	5	2	8500	7200	670
70056	2	75	4	2	3200	0	670
70056	3	55	10	2	2500	0	360
70056	4	43	1	2	1000	500	0
70057	1	5	3	2	1800	800	0
70057	2	43	1	2	1200	1000	200
70057	3	75	7	2	6000	1000	150
70057	4	55	5	2	1000	200	0
70058	1	130	4	2	3200	0	180
70058	2	55	8	2	2400	1000	300
70058	3	125	1	2	1400	0	0
70059	1	5	2	2	1900	0	0
70059	2	75	2	2	2000	0	0
70059	3	43	50	1	500	0	0
70059	4	55	5	2	1200	0	0
70060	1	75	1	2	800	0	430
70060	2	5	2	2	1400	0	150
70060	3	55	7	2	1400	0	300
70060	4	43	50	1	800	0	0
70061	1	130	10	9	5000	0	730
70061	2	5	5	9	1750	0	0
70061	3	55	20	9	4500	2000	940
70061	4	43	25	1	275	0	0
70062	1	5	5	2	5000	0	0
70062	2	130	2	2	1600	0	0
70062	3	55	15	2	3750	2000	0
70062	4	43	50	1	500	200	0
70063	1	5	2	2	1400	0	260
70063	2	130	1	2	600	0	0
70063	3	43	25	1	375	0	270
70063	4	31	25	55	2500	2000	0
70064	1	130	4	2	3600	0	400
70064	2	5	3	2	2100	0	300
70064	3	43	1	2	1000	600	200
70064	4	55	10	2	2000	0	300
70065	1	44	1	2	400	0	0
70065	2	60	0	88	0	0	0
70065	3	8	0	88	0	0	0
70067	1	75	4	9	1600	0	0
70067	2	5	2	9	600	0	0
70067	3	8	1.5	9	950	0	0
70067	4	55	16	9	1600	660	200
70067	5	43	5	1	100	0	0
70068	1	75	2	2	2000	0	300
70068	2	55	5	2	1000	0	0
70068	3	130	1	2	600	0	0
70069	1	75	5	2	7000	0	0
70069	2	55	22.5	2	7000	1000	0
70069	3	43	50	1	500	0	0
70069	4	19	50	1	700	0	0
70070	1	55	4	2	300	150	180
70070	2	5	3	2	2100	0	0
70070	3	43	25	1	375	150	0
70070	4	21	80	56	13250	0	280
70071	1	55	13.5	2	2800	400	300
70071	2	43	50	1	750	375	0
70071	3	5	5	2	3500	0	0
70071	4	75	3.5	2	2800	0	200
70071	5	130	2.5	2	1750	350	200
70071	6	125	1.5	2	1500	0	100
70073	1	75	1	2	600	0	100
70073	2	55	8	2	1600	400	240
70073	3	130	5.5	2	3300	600	400
70073	4	43	1	2	1000	500	0
70073	5	8	1	2	1400	0	100
70073	6	31	18	55	540	0	0
70073	7	21	176	56	18540	0	0
70074	1	5	2	2	1400	0	300
70074	2	55	10	2	2000	500	300
70074	3	75	1	2	9000	0	200
70074	4	43	1	2	1200	300	150
70074	5	10	20	10	40	0	0
70075	1	130	1	2	700	0	0
70075	2	5	1	2	800	0	0
70075	3	55	8	2	1200	200	0
70076	1	75	1	2	1000	0	0
70076	2	55	5	2	1000	0	0
70077	1	125	2	2	3600	0	0
70078	1	 	 	 	 	 	 
70079	1	44	9	2	5400	0	600
70079	2	76	3	2	3600	0	400
70080	1	125	150	1	2400	0	0
70080	2	130	150	1	900	0	0
70080	3	55	5	2	2000	0	0
70080	4	43	50	1	580	580	0
70082	1	130	5	2	4000	0	0
70082	2	5	3	2	2400	500	0
70082	3	75	3	2	1800	0	0
70082	4	125	2	2	3000	1500	0
70082	5	55	5	2	1250	0	170
70082	6	8	1	2	1400	0	200
70083	1	130	11	2	6600	1200	1500
70083	2	75	5	2	4000	0	375
70083	3	125	2	2	2000	0	0
70083	4	55	3	2	600	0	0
70083	5	43	.5	2	500	0	0
70084	1	130	4	2	2000	0	0
70084	2	125	1.5	2	2300	0	0
70084	3	8	2	2	3000	0	800
70084	4	5	50	1	400	0	0
70085	1	125	1	9	500	0	250
70085	2	8	1	9	600	0	250
70085	3	75	.5	9	200	0	0
70086	1	130	3	2	1800	0	0
70086	2	76	1	2	1400	0	125
70086	3	55	8	2	1600	0	300
70087	1	130	1.5	2	1400	0	0
70087	2	19	25	1	250	0	0
70087	3	55	5	2	100	0	0
70088	1	5	10	9	1000	60	300
70088	2	130	5	9	1500	0	80
70088	3	125	5	9	2500	100	0
70088	4	55	10	9	1200	1000	270
70088	5	43	1	9	800	800	0
70089	1	130	6	2	4800	0	600
70089	2	19	25	1	300	80	150
70089	3	55	1.5	2	450	0	150
70090	1	130	3	2	3000	0	120
70090	2	5	2	2	1600	0	0
70090	3	55	7	2	1680	0	0
70090	4	125	1	2	1600	0	0
70091	1	55	3	2	1200	0	260
70091	2	130	3	2	1500	0	0
70091	3	125	3	2	4500	3000	0
70091	4	8	2	2	2800	0	400
70091	5	75	3	2	4800	0	400
70091	6	35	1.5	2	7500	750	0
70094	1	125	1	2	1600	200	0
70094	2	125	1	2	700	0	0
70094	3	75	.5	2	600	0	0
70096	1	75	8	9	2400	0	0
70096	2	130	4	9	1200	0	0
70096	3	125	1	2	1400	320	0
70096	4	55	3	2	300	0	0
70097	1	75	8	2	7000	0	300
70097	2	55	12	2	3000	500	200
70097	3	43	1	2	1200	400	300
70098	1	5	3	2	2100	0	250
70098	2	75	2	2	1800	0	200
70098	3	55	8	2	1600	400	250
70099	1	130	4	2	2400	600	0
70099	2	5	2	2	1600	0	0
70099	3	75	1	2	900	0	0
70099	4	43	1	2	1200	1000	0
70099	5	55	10	2	2000	800	0
70100	1	130	3	2	2000	0	300
70100	2	5	2	2	1600	0	300
70100	3	75	4	2	4000	0	350
70100	4	55	12	2	2400	0	200
80001	1	44	4	2	2000	0	30
80002	1	76	2	2	3000	0	250
80003	1	44	8	2	3200	0	600
80003	2	75	3	2	2400	350	800
80003	3	76	1	2	1500	0	500
80004	1	44	4	2	2000	700	350
80005	1	44	4	2	2000	0	100
80006	2	44	5	2	2000	0	0
80007	1	44	6	2	2400	0	300
80007	2	75	3	2	2400	0	500
80008	1	44	7	2	2800	0	975
80008	2	76	1	2	1500	0	400
80009	1	44	1	2	500	0	150
80010	1	76	1	2	1700	0	200
80011	1	44	1	2	500	0	400
80011	2	76	25	1	375	0	0
80012	1	76	40	1	750	0	750
80012	2	75	2.5	2	1800	1200	1250
80012	3	44	3	2	1200	0	1275
80013	1	76	6	2	12000	0	2300
80013	2	44	14	2	4000	0	1200
80013	3	88	 	 	 	 	 
80014	1	44	2	2	1000	0	400
80015	1	44	7	2	2800	0	1100
80016	1	76	4	2	3200	0	1120
80016	2	44	10	2	4000	0	1000
80017	1	44	15	2	6750	2250	1300
80017	2	75	3	2	1950	975	500
80017	3	5	2	2	800	0	350
80018	1	44	8	2	4200	800	700
80018	2	50	20	2	20000	20000	8500
80019	1	75	4	2	3000	0	1400
80019	2	44	3	2	1500	0	0
80020	1	44	1	2	500	0	0
80021	1	44	2	2	800	0	200
80021	2	75	2	2	1400	0	1000
80021	3	76	1	2	1600	0	2000
80022	1	44	2	2	1000	0	200
80023	1	44	5	2	2500	0	150
80024	1	44	3	2	1200	0	0
80025	1	44	150	1	600	0	0
80027	1	44	10	2	5000	1000	0
80028	1	44	10	2	5000	1000	500
80028	2	8	5	2	6000	0	300
80028	3	75	1	2	750	0	120
80029	1	44	3	2	1200	0	400
80029	2	76	1.5	2	2700	1800	1440
80030	1	44	2	2	800	0	0
80031	1	44	20	2	8000	4000	1750
80031	2	75	6	2	4200	3500	1216
80031	3	50	3000	1	4500	4500	20000
80032	1	44	2	2	1000	0	120
80032	2	76	1.5	2	2100	0	300
80033	1	44	12	2	6000	2500	1710
80033	2	75	5	2	3570	1500	1100
80033	3	76	2	2	3400	0	200
80033	4	50	5192	1	57000	57000	18000
80033	5	10	246	3	22140	22000	4000
80034	1	44	5	2	2000	0	500
80034	2	76	2	2	3200	0	800
80035	1	44	25	2	12000	0	3000
80035	2	75	50	2	35000	0	15000
80035	3	50	200	2	80000	80000	25000
80035	4	72	90	95	31500	31500	18000
80037	1	44	6	2	3000	0	300
80038	1	44	4	2	2000	0	120
80039	1	44	6	2	3000	0	150
80040	1	44	2	2	800	0	60
80041	1	44	5	2	2000	0	200
80042	1	44	4	2	2000	0	800
80042	2	5	50	1	300	0	320
80042	3	75	1	2	750	0	490
80043	1	75	1	2	750	0	1500
80043	2	76	50	1	700	0	180
80043	3	44	2	2	800	0	400
80045	1	44	3	2	1400	0	0
80046	1	44	2	2	900	0	200
80047	1	44	3	2	1500	0	0
80049	1	44	5	2	2500	0	294
80049	2	76	1	2	1500	0	180
80051	1	44	6	2	2400	0	400
80051	2	10	50	2	5000	5000	2000
80052	1	44	20	2	10000	4000	1530
80052	2	75	5	2	3750	1500	1115
80053	1	44	15	2	7500	2000	600
80053	2	75	2	2	1600	0	500
80054	1	44	6	2	2400	0	350
80054	2	5	6	2	3000	500	250
80054	3	76	3	2	5200	1700	600
80055	1	44	5	2	2500	120	0
80056	1	44	3	2	1500	0	280
80057	1	44	8	2	3200	0	6000
80059	1	44	8	2	3200	1300	500
80059	2	10	40	3	4000	4000	1300
80060	1	44	5	2	2500	0	120
80060	2	76	1.5	2	2100	0	100
80061	1	75	7	2	5600	0	1500
80061	2	44	8	2	3200	0	800
80062	1	44	6	2	2400	0	600
80063	1	44	4	2	2000	0	0
80065	1	44	7	2	3500	0	0
80065	2	8	3	2	3600	2400	1000
80065	3	76	1.5	2	2550	1700	290
80065	4	75	2	2	1200	600	600
80065	5	5	30	1	150	0	0
80066	1	44	8	2	3200	0	1500
80066	2	75	3	2	2400	800	1600
80066	3	76	2	2	3200	0	800
80066	4	10	20	2	2000	2000	300
80068	1	76	50	1	700	0	-77
80069	1	44	12	2	4800	2000	0
80070	1	75	5	2	3250	1950	1090
80070	2	44	4	2	1600	800	1600
80072	1	44	40	2	16000	12800	3000
80072	2	75	8	2	5360	3350	2100
80072	3	96	300	3	24000	23200	4500
80073	1	44	3	2	1500	0	270
80074	1	44	1	2	500	0	130
80074	2	75	1	2	800	0	500
80076	1	44	50	1	250	0	50
80076	2	76	40	1	600	0	0
80078	1	44	1	2	400	0	0
80079	1	44	6	2	3000	0	120
80080	1	44	2	2	1200	0	200
80081	1	44	2	2	1000	0	80
80081	2	35	50	1	150	0	370
80082	1	44	1	2	400	0	0
80082	2	76	30	1	510	0	200
80083	1	44	150	1	700	0	0
80084	1	44	6	2	2400	0	200
80085	1	44	6	2	3000	0	1070
80085	2	76	1	2	1600	0	200
80086	1	44	3	2	1500	0	0
80086	2	8	75	1	1200	0	220
80086	3	10	160	2	12800	12800	8000
80087	1	76	1	2	1400	0	450
80087	2	44	5	2	2500	0	2390
80088	1	44	4	2	1600	0	200
80088	2	76	40	1	560	0	0
80089	1	8	3	2	4800	1800	495
80089	2	44	3	2	1500	500	0
80089	3	35	1.5	2	2475	2063	200
80091	1	8	50	1	600	0	225
80091	2	44	2	2	800	0	0
80092	1	75	270	1	4000	0	2250
80092	2	44	3	2	1500	0	0
80093	1	76	2.70000004768372	2	4800	0	1120
80094	1	44	17	2	6200	0	2000
80094	2	50	15	2	15000	15000	7500
80094	3	10	10	2	1000	1000	500
80095	1	44	7	2	2800	0	500
80095	2	50	30	2	18000	18000	7500
80096	1	75	4	2	3200	0	300
80096	2	10	20	2	2200	2200	250
80097	1	44	6	2	2400	800	0
80097	2	76	50	1	900	0	33
80098	1	44	8	2	3200	2800	500
80098	2	96	64	3	6400	6200	800
80098	3	8	1	2	1200	600	15
80099	1	44	4	2	2000	0	300
80099	2	76	25	1	350	0	300
80100	1	76	3	2	5100	1700	2200
80100	2	44	50	1	300	0	220
90001	1	76	1.5	2	2000	750	2400
90001	2	75	2.5	2	3000	0	2400
90002	1	75	20	2	16000	8000	8000
90002	2	76	10	2	17000	10200	7000
90002	3	5	1	2	400	0	700
90003	1	76	9	2	12000	7000	5000
90003	2	75	4	2	2800	0	1000
90003	3	5	3	2	1800	0	0
90004	1	75	2	2	1600	0	4954
90004	2	76	3.5	2	5600	4800	4090
90005	1	75	12	2	12000	5000	9870
90005	2	76	8	2	13600	6800	6070
90005	3	35	1.5	2	900	900	650
90006	1	75	12	2	10800	0	5000
90006	2	76	3	2	4500	4000	2000
90006	3	5	3	2	2400	0	1200
90006	4	44	2.5	2	1800	0	0
90006	5	35	1.5	2	900	900	400
90007	1	75	1	2	800	0	750
90007	2	76	2	2	3400	1700	750
90007	3	5	1	2	600	0	300
90007	4	44	1	2	400	0	250
90008	1	76	1	2	1400	0	1350
90008	2	75	1	2	700	0	1530
90009	1	76	2	2	3200	0	1500
90010	1	75	50	1	350	0	750
90010	2	76	2.5	2	4000	1600	750
90010	3	44	50	1	250	0	0
90011	1	5	1	2	500	0	250
90011	2	75	2	2	1600	0	1120
90011	3	76	1	2	1300	0	735
90011	4	35	50	1	200	200	0
90012	1	76	2	2	3000	0	49000
90012	2	75	1.5	2	1050	0	750
90012	3	35	30	1	180	0	400
90012	4	50	60	2	30000	30000	9000
90013	1	75	1.5	2	1200	0	500
90013	2	76	3	2	5400	3600	1000
90013	3	5	2	2	600	0	150
90013	4	44	2	2	1000	0	0
90015	1	75	2	2	1600	0	3200
90016	1	76	4	2	4800	3400	4300
90016	2	75	10	2	7000	3500	14100
90016	3	5	1	2	500	0	0
90016	4	50	10	2	8500	8500	5300
90017	1	75	2	2	1600	0	4000
90017	2	76	4	2	6000	3000	3000
90017	3	5	2	2	1000	500	0
90018	1	76	2	2	3000	1100	1500
90018	2	75	6	2	4200	0	1200
90020	1	75	25	2	21250	15800	25290
90020	2	76	12	2	22800	17100	9130
90020	3	5	4	2	2400	0	1385
90020	4	35	1	2	600	0	0
90020	5	42	20	1	600	0	0
90020	6	23	20	1	400	0	0
90021	1	76	5	2	10000	8000	4000
90021	2	75	8	2	6400	0	5000
90021	3	5	1	2	600	0	365
90021	4	35	15	1	150	0	50
90021	5	44	50	1	200	0	0
90022	1	76	5	2	8500	0	5550
90022	2	75	5	2	3500	2100	4000
90022	3	5	150	2	1250	0	1150
90022	4	50	114	2	57000	57000	5900
90024	1	76	2	2	2600	1300	1400
90024	2	5	1	2	400	0	120
90024	3	75	2	2	1400	0	4900
90025	1	75	2	2	1500	0	1550
90025	2	76	4	2	6400	3200	2320
90025	3	5	5	2	3000	600	744
90025	4	44	2	2	1000	0	0
90025	5	35	3.5	2	2100	1800	0
90026	1	5	5	66	50	0	300
90026	2	75	1.5	2	900	0	4700
90026	3	76	2	2	3000	3000	3150
90027	1	5	3	2	2400	0	900
90027	2	44	1	2	600	0	0
90027	3	76	6	2	9000	3000	2400
90027	4	75	4	2	2700	0	2000
90028	1	75	2	2	1500	0	758
90028	2	76	1	2	1800	0	70
90028	3	44	.5	2	250	0	0
90030	1	75	6	2	3600	1200	2300
90030	2	76	5	2	6000	0	900
90030	3	5	1	2	400	0	0
90030	4	35	50	1	500	0	300
90031	1	75	3	2	2250	0	1550
90031	2	76	9	2	14400	6400	2950
90031	3	44	2	2	1000	0	0
90033	1	76	2	2	2600	1300	740
90033	2	75	4	2	2400	0	2100
90034	1	76	150	1	2300	0	2500
90034	2	75	50	1	350	0	1200
90035	1	76	2	2	3000	0	1400
90035	2	75	3	2	2400	200	740
90035	3	44	8	2	4000	0	0
90036	1	75	4	2	3600	0	1725
90036	2	76	4	2	7200	3600	2625
90037	1	75	2	2	1500	375	1180
90037	2	76	1.5	2	2550	1700	498
90037	3	44	2	2	1000	0	0
90037	4	35	1	2	600	600	0
90038	1	76	1	2	1500	0	340
90038	2	75	4	2	3200	0	750
90039	1	75	1	2	600	0	670
90039	2	35	2	2	800	800	0
90039	3	5	2	2	1200	0	350
90039	4	44	1	2	500	0	0
90040	1	75	.5	2	375	0	60
90040	2	76	.5	2	900	0	60
90040	3	5	1	2	600	0	0
90041	1	75	9.5	2	7600	4800	8400
90041	2	76	7	2	14000	10000	6200
90041	3	35	5	2	2700	300	4200
90042	1	76	3	2	4800	0	2150
90042	2	35	75	1	375	0	0
90042	3	75	1	2	700	0	350
90043	1	75	10.5	2	7875	5250	9140
90043	2	76	6	2	9600	4800	19050
90043	3	44	2	2	1200	0	0
90043	4	5	2	2	1200	400	2000
90044	1	75	3	2	2400	0	778
90044	2	76	4	2	7200	3600	1754
90044	3	5	3	2	1800	0	1330
90044	4	44	.5	2	250	0	0
90045	1	76	6	2	10200	3400	4500
90045	2	75	4	2	3200	0	3500
90045	3	5	2	2	1400	0	0
90045	4	35	50	1	360	0	0
90046	1	75	1	2	800	90	1500
90046	2	76	1	2	1700	0	800
90047	1	76	3	2	4500	0	1400
90047	2	75	3	2	2250	0	750
90047	3	5	1	2	500	0	40
90047	4	44	1	2	500	0	0
90048	1	75	50	1	400	0	350
90048	2	76	50	1	800	0	350
90048	3	44	1.5	2	750	0	0
90049	1	75	1	2	800	0	350
90049	2	76	2	2	3600	3600	350
90050	1	76	3	2	4800	3200	5000
90050	2	75	3	2	2100	0	1850
90050	3	35	2	2	1200	600	0
90051	1	75	10	2	8000	2400	10500
90051	2	76	3	2	5200	0	10700
90051	3	5	4	2	2400	0	1500
90051	4	50	70	2	84000	840000	36000
90051	5	44	1	2	400	0	50
90051	6	35	3	2	1800	1800	200
90052	1	75	4	2	3200	0	1500
90052	2	76	2	2	3000	0	1500
90052	3	5	2	2	1400	0	450
90053	1	76	2	2	3400	3400	3000
90053	2	75	2	2	1600	0	3100
90053	3	5	50	1	300	0	50
90054	1	75	4	2	3200	0	1300
90054	2	76	4	2	7000	3500	1500
90055	1	75	3	2	2250	750	1545
90055	2	76	2	2	3600	3600	3170
90056	1	75	2	2	1200	0	1125
90056	2	76	2	2	3000	1765	750
90056	4	123	45	1	300	0	25
90057	1	75	8	2	5600	2100	1750
90057	2	76	4	2	6000	3000	13750
90057	3	35	1	2	500	0	2000
90057	4	5	1	2	400	0	0
90058	1	76	3.5	2	5950	3400	15650
90058	2	75	3	2	2100	0	740
90058	3	5	3	2	500	0	350
90059	1	76	3	2	4500	3000	700
90059	2	75	1.5	2	1200	0	700
90060	1	76	1	2	1500	0	726
90060	2	44	1	2	500	0	80
90062	1	75	4	2	2800	0	2200
90062	2	76	3	2	4200	0	3350
90062	3	5	1	2	400	0	0
90062	4	35	1	2	700	0	0
90063	1	5	2	2	1400	0	750
90063	2	75	2	2	1600	0	2100
90063	3	44	1	2	500	0	0
90063	4	76	4	2	6200	3100	750
90064	1	76	5.5	2	9350	4250	2760
90064	2	75	3	2	2100	0	2030
90064	3	5	2	2	1200	0	0
90066	1	75	1	2	800	0	750
90066	2	35	20	1	100	0	300
90067	1	76	11	2	16500	12000	6000
90067	2	75	20	2	14000	7000	1400
90068	1	75	12	2	9360	3900	3790
90068	2	76	8	2	15200	9500	20940
90068	3	5	2	2	1200	0	1246
90068	4	35	1.5	2	900	600	2200
90069	1	76	2	2	2400	0	3060
90069	2	75	2	2	1600	0	3060
90070	1	75	4	2	2800	0	950
90070	2	76	4	2	5100	850	1100
90070	3	5	2	2	1000	0	50
90071	1	75	5	2	3500	0	7000
90072	1	75	3	2	2400	0	7500
90073	1	76	1	2	1800	900	365
90075	1	76	3	2	4500	3000	5200
90075	2	75	50	1	350	0	5800
90075	3	5	1	2	400	0	0
90076	1	76	3	2	4500	0	5840
90076	2	75	1	2	700	0	1600
90076	3	5	50	1	200	0	0
90077	1	75	.5	2	375	0	380
90077	2	76	1	2	1800	900	380
90078	1	75	4.5	2	3600	0	750
90078	2	76	2	2	3000	1000	1150
90078	3	5	1	2	500	0	0
90078	4	35	50	1	300	0	0
90079	1	75	2	2	1600	0	2000
90079	2	76	2	2	3200	3200	1050
90079	3	5	1.5	2	900	0	350
90080	1	76	1.5	2	2100	0	750
90080	2	44	1	2	600	0	0
90081	1	5	1	2	500	0	276
90081	2	76	2	2	2600	1200	720
90081	3	75	2.5	2	1500	0	1440
90084	1	8	3	2	4500	0	1000
90084	2	75	1.5	2	1200	0	500
90084	3	5	50	1	300	0	370
90084	4	44	50	1	200	0	0
90085	1	76	2	2	3000	0	100
90086	1	75	1	2	800	0	750
90086	2	76	.5	2	750	0	350
90086	3	44	1	2	600	0	0
90087	1	76	17	2	27200	17600	4135
90087	2	75	11	2	8250	3750	2735
90087	3	44	11	2	6600	5400	1000
90087	4	35	5	2	3000	2400	630
90088	1	75	5	2	3500	0	1950
90088	2	76	1	2	1200	0	735
90088	3	5	150	1	600	0	0
90089	1	76	5	2	7500	1700	2590
90089	2	75	8	2	5600	0	2980
90089	3	5	1	2	500	0	200
90090	1	75	2	2	1600	0	740
90090	2	76	2	2	3000	1400	750
90090	3	44	2	2	1200	0	0
90090	4	35	1	2	800	0	0
90092	1	75	1	2	800	0	3500
90092	2	76	50	1	1000	0	2750
90092	3	5	50	1	400	0	100
90093	1	75	6	2	4800	0	1180
90093	2	76	1	2	1700	0	750
90094	1	76	9	2	13500	6000	2900
90094	2	75	4	2	2800	0	2200
90095	1	75	50	1	400	0	419
90095	2	76	50	1	650	650	210
90096	1	75	3	2	2400	0	6200
90096	2	76	2	2	3400	0	3800
90096	3	5	1	2	600	0	2350
90096	4	44	1	2	400	0	60
100005	1	8	4	2	6000	0	1000
100005	2	75	4	2	3200	0	800
100005	3	63	10	2	1000	0	0
100027	1	75	3	2	600	2	0
100032	1	63	2	2	400	200	0
100032	2	125	2	5	200	0	0
100032	3	76	1	2	1000	0	0
100035	1	8	30	2	39000	20	10000
100035	2	125	25	2	35000	21000	1000
100035	3	75	20	2	18000	0	3000
100035	4	124	12	2	16800	16800	1000
100035	5	76	10	2	18000	14400	4000
100035	6	12	200	2	12000	120000	30000
100038	1	5	65	1	450	0	0
100038	2	125	100	1	1200	0	0
100044	1	 	 	 	 	 	 
100050	1	76	50	1	600	0	0
100050	2	125	1	2	3000	0	0
100055	1	8	8	2	13200	2400	4000
100055	2	75	10	2	6000	3000	4500
100055	3	125	1	2	1500	0	500
100056	1	8	6	2	9000	0	3500
100056	2	125	2	2	2000	0	0
100056	3	130	15	2	4500	2000	0
100057	1	76	4	2	12000	0	450
100057	2	75	3	2	2700	0	450
100059	1	124	5	2	1900	0	0
100061	1	125	4	2	5000	0	2000
100062	1	8	1	2	1400	0	450
100062	2	75	150	1	1300	0	750
100064	1	76	1.5	2	2100	0	1800
100071	1	8	3	2	4800	0	1217
100071	2	63	10	2	2000	600	0
100071	3	125	1	2	1600	0	0
100072	1	125	5.5	2	7000	4200	400
100075	1	125	50	1	0	0	0
100083	1	8	2	2	2800	0	800
100094	1	5	2	2	900	0	500
100094	2	23	2	2	4000	0	1000
110001	1	44	100	1	600	0	0
110002	1	76	50	1	1200	0	1900
110002	2	75	250	1	2500	500	1300
110002	3	125	50	1	400	0	0
110003	1	8	3	2	3600	0	3442.5
110003	2	76	5	2	7500	0	6885
110003	3	75	5	2	3500	0	3342.5
110003	4	42	3	2	9000	7500	2100
110003	5	23	1.5	2	1800	1200	0
110004	1	76	3	2	4800	0	2000
110006	1	76	4	2	6000	8400	2000
110006	2	75	5	2	4000	4500	1000
110006	3	15	4	2	7800	7800	1000
110006	5	8	7	2	9800	0	1500
110006	6	42	5.5	2	18000	18000	2000
110007	1	75	2	2	1600	0	1250
110009	1	76	15	2	24000	10000	12000
110009	2	75	12	2	9600	1600	3800
110009	3	125	1	2	1500	0	100
110009	4	44	1	2	800	0	30
110011	1	76	2	2	4000	0	1535
110011	2	75	3	2	2700	0	1535
110011	3	125	2.5	2	3000	0	0
110012	1	76	4	2	6000	0	2000
110012	2	42	100	1	1200	360	110
110012	3	124	50	1	600	0	24
110012	4	44	1	2	800	0	36
110013	1	76	2	2	4000	0	1215
110014	1	76	6	2	7200	4800	4080
110014	2	75	10	2	6000	3600	5000
110014	3	125	1	2	1200	0	0
110014	4	35	.5	2	500	0	0
110014	5	44	1	2	500	0	0
110014	6	42	2	2	4000	3000	500
110015	1	15	15	2	29000	22000	7300
110015	2	76	13	2	26000	2000	6820
110015	3	75	8	2	5600	0	2240
110015	4	125	2	2	2400	0	0
110015	5	44	5	2	3500	0	0
110016	1	75	3	2	1800	0	600
110016	2	42	1	2	2000	2000	0
110016	3	15	50	1	200	0	0
110016	4	76	6	2	12000	6000	1000
110017	1	75	4	2	2400	0	900
110017	2	76	3	2	4500	0	970
110017	3	44	50	1	300	0	64
110019	1	75	2	2	1600	0	700
110019	2	76	3	2	6000	0	700
110019	3	125	50	1	400	0	0
110019	4	42	2	2	5000	6000	0
110020	1	124	3	2	3000	0	3000
110020	2	8	4	2	5000	0	1800
110020	3	75	4	2	3500	0	3230
110020	4	44	1	2	500	0	0
110022	1	76	25	2	37500	19500	11500
110022	2	75	9	2	7200	0	0
110022	3	125	8	2	15200	11400	2800
110023	1	76	2	2	3600	0	150
110023	2	44	1	2	600	0	0
110024	1	76	15	2	27000	8000	6000
110024	2	75	7	2	4900	2100	1180
110024	3	15	6	2	12000	6000	400
110024	4	42	2	2	48000	3500	750
110024	5	125	1.5	2	2400	0	0
110025	1	76	6	2	9000	4000	7500
110025	2	75	12	2	9000	3000	7500
110025	3	23	3	2	3600	0	0
110025	4	15	5	3	7500	1	0
110025	5	35	1	2	800	0	0
110025	6	125	2	2	1200	0	0
110026	1	76	250	1	4500	0	2500
110026	2	8	150	1	1800	0	1500
110026	3	75	200	1	1600	0	1200
110026	4	23	100	1	1200	600	0
110026	5	5	100	1	700	0	140
110026	6	125	100	1	900	0	0
110026	7	44	200	1	1200	0	0
110030	1	76	5	2	8500	0	1000
110030	2	75	5	2	3500	0	1000
110030	3	35	1	2	1200	0	0
110032	1	76	6	2	12000	6000	2750
110032	2	75	5	2	4000	2500	2000
110033	1	76	2	2	4000	0	1000
110034	1	76	2	2	3600	0	1000
110034	2	75	4	2	3200	800	800
110034	3	5	1	2	1000	0	0
