CHILDCODE	HHITMIDR5	OWNITMR5	NUMOWNR5	SLVALR5
10033	5	N	 	 
10033	6	N	 	 
10033	7	Y	2	5000
10033	8	N	 	 
10033	9	Y	6	10000
10033	10	N	 	 
10033	11	N	 	 
10033	12	Y	1	10000
10033	13	Y	2	3000
10033	14	Y	2	18000
10033	15	N	 	 
10033	16	N	 	 
10033	17	Y	1	2000
10033	18	Y	1	7000
10033	20	N	 	 
10033	21	N	 	 
10035	1	N	 	 
10035	2	N	 	 
10035	3	N	 	 
10035	4	N	 	 
10035	5	N	 	 
10035	6	N	 	 
10035	7	N	 	 
10035	8	N	 	 
10035	9	N	 	 
10035	10	N	 	 
10035	11	N	 	 
10035	12	N	 	 
10035	13	N	 	 
10035	14	N	 	 
10035	15	N	 	 
10035	16	N	 	 
10035	17	N	 	 
10035	18	N	 	 
10035	20	N	 	 
10035	21	N	 	 
10036	1	Y	1	450
10036	2	N	 	 
10036	3	N	 	 
10036	4	N	 	 
10036	5	N	 	 
10036	6	N	 	 
10036	7	Y	2	400
10036	8	N	 	 
10036	9	N	 	 
10036	10	N	 	 
10036	11	Y	1	150
10036	12	N	 	 
10036	13	N	 	 
10036	14	N	 	 
10036	15	N	 	 
10036	16	N	 	 
10036	17	N	 	 
10036	18	N	 	 
10036	20	N	 	 
10036	21	Y	1	1000
10037	1	Y	1	12000
10037	2	Y	1	300
10037	3	N	 	 
10037	4	N	 	 
10037	5	N	 	 
10037	6	Y	1	100
10037	7	Y	2	2800
10037	8	Y	2	600
10037	9	Y	1	3000
10037	10	N	 	 
10037	11	Y	1	3000
10037	12	Y	1	500
10037	13	Y	3	1100
10037	14	N	 	 
10037	15	Y	1	300
10037	16	N	 	 
10037	17	N	 	 
10037	18	Y	1	4500
10037	20	N	 	 
10037	21	Y	1	4000
10038	1	Y	1	500
10038	2	N	 	 
10038	3	N	 	 
10038	4	N	 	 
10038	5	N	 	 
10038	6	N	 	 
10038	7	N	 	 
10038	8	Y	2	50
10038	9	Y	1	100
10038	10	N	 	 
10038	11	Y	1	200
10038	12	Y	1	5000
10038	13	N	 	 
10038	14	N	 	 
10038	15	N	 	 
10038	16	N	 	 
10038	17	N	 	 
10038	18	N	 	 
10038	20	Y	2	900
10038	21	Y	1	300
10040	1	Y	1	1000
10040	2	Y	1	300
10040	3	N	 	 
10040	4	N	 	 
10040	5	N	 	 
10040	6	N	 	 
10040	7	Y	1	300
10040	8	Y	3	150
10040	9	N	 	 
10040	10	N	 	 
10040	11	Y	1	2000
10040	12	Y	1	4000
10040	13	Y	1	100
10040	14	N	 	 
10040	15	N	 	 
10040	16	N	 	 
10040	17	N	 	 
10040	18	N	 	 
10040	20	Y	1	700
10040	21	Y	1	2000
10041	1	Y	1	2000
10041	2	N	 	 
10041	3	N	 	 
10041	4	N	 	 
10041	5	N	 	 
10041	6	N	 	 
10041	7	Y	2	1600
10041	8	N	 	 
10041	9	N	 	 
10041	10	N	 	 
10041	11	Y	1	400
10041	12	Y	1	200
10041	13	Y	1	100
10041	14	N	 	 
10041	15	Y	1	500
10041	16	N	 	 
10041	17	N	 	 
10041	18	N	 	 
10041	20	Y	2	1000
10041	21	Y	1	600
10042	1	Y	1	1500
10042	2	Y	1	200
10042	3	N	 	 
10042	4	N	 	 
10042	5	N	 	 
10042	6	Y	1	100
10042	7	Y	1	300
10042	8	Y	4	1000
10042	9	Y	1	2500
10042	10	N	 	 
10042	11	Y	1	2000
10042	12	N	 	 
10042	13	Y	2	950
10042	14	N	 	 
10042	15	N	 	 
10042	16	N	 	 
10042	17	N	 	 
10042	18	N	 	 
10042	20	N	 	 
10042	21	Y	1	3000
10043	1	Y	1	2500
10043	2	Y	1	250
10043	3	N	 	 
10043	4	N	 	 
10043	5	N	 	 
10043	6	N	 	 
10043	7	N	 	 
10043	8	Y	3	450
10043	9	N	 	 
10043	10	N	 	 
10043	11	N	 	 
10043	12	Y	1	4000
10043	13	Y	1	450
10043	14	N	 	 
10043	15	N	 	 
10043	16	N	 	 
10043	17	N	 	 
10043	18	N	 	 
10043	20	N	 	 
10043	21	Y	1	3000
10044	1	Y	1	2500
10044	2	Y	1	1500
10044	3	N	 	 
10044	4	N	 	 
10044	5	N	 	 
10044	6	N	 	 
10044	7	Y	5	10000
10044	8	N	 	 
10044	9	Y	1	5000
10044	10	N	 	 
10044	11	N	 	 
10044	12	N	 	 
10044	13	Y	2	1500
