CHILDCODE	DINT	PRIDRSR5	HHSIZE	HEADID	RESPOND	HEADLANG	CARELANG	CHLDLANG	PECLOC5	PECODPT5	PECODISTR5	PECODIS5	ANTHRHSE5	ANTHRADD5	PECODIS15	PEMUDANZ5	PEUBIC5	PHONE5	PEHPOST5	PEDCVIV5	PEDPAGT5	PEDPOC5	PEDPPA5	CHLDDNI5	TIENDNI5	DOCDNI5	ADDSAME5	CLUSTID5	YLCOMM5	PLACEID5	LINKCMM5	PLACENR5	LONGCOMM5	TRNSCOMM5	MINIADM5	PEMINIID5	TYPESITE5	PEMUDR45
11072	13/08/2016	2	5	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11073	17/08/2016	2	4	1	2	31	31	31	 	24	 	 	2	1	 	 	 	1	1	0	1	0	0	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11074	22/08/2016	1	4	1	1	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11075	17/12/2016	5	3	5	5	31	31	31	 	15	 	 	0	 	 	 	5	1	0	 	 	 	 	1	1	1	0	 	0	 	0	 	 	 	0	 	1	1
11076	12/08/2016	2	5	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	0	 	 	 	 	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11077	15/08/2016	5	4	6	5	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11078	10/08/2016	1	6	2	1	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11079	19/08/2016	2	4	2	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11080	17/08/2016	2	5	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	88	 	 	1	 	1	PE01C02	0	 	 	 	0	 	1	0
11081	11/08/2016	18	4	19	18	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11082	11/08/2016	2	8	2	2	31	31	31	 	24	 	 	0	 	 	 	 	1	0	 	 	 	 	1	1	1	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11083	07/09/2016	2	6	2	2	31	31	31	 	13	 	 	0	 	 	 	 	1	1	1	0	0	0	1	1	1	1	 	1	PE08C02	0	 	 	 	0	 	1	1
11084	16/08/2016	5	5	1	5	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	1	1	1	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11085	10/08/2016	4	8	1	4	31	31	31	 	24	 	 	0	 	 	 	 	1	0	 	 	 	 	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11086	21/07/2016	2	5	1	2	31	31	31	 	15	 	 	0	 	 	 	 	1	0	 	 	 	 	1	1	1	1	 	0	 	0	 	 	 	1	PE83MC11	1	0
11087	16/08/2016	2	3	1	2	31	31	31	 	24	 	 	0	 	 	 	5	1	0	 	 	 	 	1	1	1	0	 	1	PE01C02	0	 	 	 	0	 	1	1
11088	16/08/2016	2	9	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11089	16/08/2016	2	5	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	1
11090	11/08/2016	2	3	2	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	1	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11091	17/08/2016	1	5	1	1	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11092	13/08/2016	2	5	1	2	31	31	31	 	24	 	 	1	1	 	 	 	1	1	0	1	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	1
11093	10/08/2016	2	6	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11094	09/08/2016	1	5	1	1	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
