CHILDCODE	MEMIDR5	MEMMOVR5	RELATER5	PRMCRER5	LIVHSER5	YRDIEDR5	AGER4	MEMAGER5	MEAGMTR5	MEMSEXR5	CHLBRNR5	RWHLIVR5	RSEECHR5	RCHLVER5	RLNLIVR5	THSVILR5	DOBHHMR5	RELHHR5	MRTLSTR5	MTHRHHR5	FTHRHHR5	STRT18R5	GRDE18R5	STLL18R5	HSSTRTR5	STRYRR5	STRMTHR5	GRADER5	STILLR5	WHYNOTR5	PANELSIB	AGEGRDR5	GRDRPR5	TYPLSTR5	PERFR5	TYPATDR5	WHSCHR5	FEESR5	EXTTUTR4	BRDSCHR5	SLEEPR5	CHCARER5	HHCHRER5	NPYWRKR5	PAYWRKR5	SCHOOLR5	STUDYR5	PLAYR5	MEMCNSR5	DISABR5	MEMAFCR5	MEMLNGR5	MLNHLR51	HTSFFR51	SEEKTRR5	WHSEEKR5	MEMSMKR5	MEMTOBR5	OFTSMKR5	OFTALCR5
30092	4	 	13	0	4	 	45	48	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30092	5	 	1	0	1	 	43	46	 	1	 	 	 	 	 	 	 	 	1	98	99	1	10	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
30092	6	 	1	1	1	 	36	39	 	2	0	 	 	 	 	 	 	1	1	98	98	1	10	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
30092	7	 	14	0	4	 	27	30	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30092	8	 	14	0	4	 	26	29	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30092	9	 	14	0	4	 	25	28	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30092	10	 	7	0	1	 	17	20	 	1	 	 	 	 	 	 	 	2	0	6	5	1	12	1	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
30092	11	 	7	0	1	 	7	10	 	1	 	 	 	 	 	 	1	2	 	6	5	 	 	 	1	 	 	4	1	 	1	 	 	 	3	1	 	19000	0	0	9	0	0	0	0	8	2	5	N	0	 	0	 	 	 	 	 	 	 	 
30093	0	 	0	 	1	 	11	14	 	1	 	 	 	 	 	 	 	2	0	4	3	 	 	 	1	 	 	8	1	 	0	 	 	 	2	8	5	22000	0	0	8	0	1	0	0	10	2	3	N	 	 	 	 	 	 	 	 	 	 	 
30093	1	 	6	0	4	 	61	64	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30093	2	 	6	0	4	 	59	62	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30093	3	 	1	0	1	 	35	38	 	1	 	 	 	 	 	 	 	 	1	98	98	1	9	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
30093	4	 	1	1	1	 	31	34	 	2	0	 	 	 	 	 	 	1	1	98	98	1	9	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	1	1	1	18	6	2	6	0	0	 	6
30093	5	 	13	0	4	 	30	33	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30093	6	 	7	0	1	 	8	11	 	1	 	 	 	 	 	 	7	2	 	4	3	 	 	 	1	 	 	5	1	 	1	 	 	 	2	8	 	20000	0	0	8	0	1	0	0	10	2	3	N	0	 	0	 	 	 	 	 	 	 	 
30093	7	 	14	0	4	 	14	17	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30094	0	 	0	 	1	 	11	14	 	1	 	 	 	 	 	 	 	2	0	4	3	 	 	 	1	 	 	9	1	 	0	 	 	 	2	1	1	20000	0	0	7	0	0	0	0	10	3	4	N	 	 	 	 	 	 	 	 	 	 	 
30094	1	 	6	0	4	 	61	64	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30094	2	 	6	0	4	 	56	59	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30094	3	 	1	0	1	 	37	40	 	1	 	 	 	 	 	 	 	 	1	98	98	1	9	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	1
30094	4	 	1	1	1	 	31	34	 	2	0	 	 	 	 	 	 	1	1	98	98	0	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
30094	5	 	13	0	2	 	28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30094	6	 	13	0	4	 	19	22	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30095	0	 	0	 	1	 	12	15	 	2	 	 	 	 	 	 	 	2	0	2	1	 	 	 	1	 	 	9	1	 	0	 	 	 	2	1	4	7000	2400	0	8	0	1	0	0	8	3	4	N	 	 	 	 	 	 	 	 	 	 	 
30095	1	 	1	0	1	 	41	44	 	1	 	 	 	 	 	 	 	 	1	98	99	1	15	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
30095	2	 	1	1	1	 	33	36	 	2	0	 	 	 	 	 	 	1	1	98	98	1	9	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
30095	3	 	7	0	1	 	7	10	 	1	 	 	 	 	 	 	11	2	 	2	1	 	 	 	1	 	 	4	1	 	1	 	 	 	2	1	 	4000	0	0	8	0	0	0	0	8	2	6	N	0	 	0	 	 	 	 	 	 	 	 
30096	0	 	0	 	1	 	12	15	 	1	 	 	 	 	 	 	 	2	0	2	1	 	 	 	1	 	 	9	1	 	0	 	 	 	3	1	5	25000	0	0	7	0	0	0	0	10	4	3	N	 	 	 	 	 	 	 	 	 	 	 
30096	1	 	1	0	1	 	39	42	 	1	 	 	 	 	 	 	 	 	1	5	99	1	15	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
30096	2	 	1	1	1	 	32	35	 	2	0	 	 	 	 	 	 	1	1	99	99	1	10	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
30096	3	 	7	0	1	 	10	13	 	2	 	 	 	 	 	 	7	2	0	2	1	 	 	 	1	 	 	7	1	 	1	 	 	 	2	1	 	7000	0	0	10	0	0	0	0	9	2	3	N	0	 	0	 	 	 	 	0	0	 	6
30096	5	 	6	0	1	 	 	79	 	2	 	 	 	 	 	 	 	3	3	99	99	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
30097	0	 	0	 	1	 	11	14	 	1	 	 	 	 	 	 	 	2	0	4	3	 	 	 	1	 	 	8	1	 	0	 	 	 	2	8	5	14000	0	0	8	0	1	0	0	9	3	3	N	 	 	 	 	 	 	 	 	 	 	 
30097	1	 	5	0	4	 	58	61	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30097	2	 	5	0	4	 	48	51	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30097	3	 	1	0	1	 	39	42	 	1	 	 	 	 	 	 	 	 	1	29	99	1	9	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	4
30097	4	 	1	1	1	 	34	37	 	2	0	 	 	 	 	 	 	1	1	98	98	1	14	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
30097	5	 	13	0	4	 	31	34	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30097	28	 	7	0	1	 	13	16	 	1	 	 	 	 	 	 	12	2	0	4	3	 	 	 	1	 	 	10	1	 	1	 	 	 	3	8	 	10000	0	0	8	0	1	0	0	10	2	3	N	0	 	0	 	 	 	 	0	0	 	6
30097	29	 	6	0	1	 	61	64	 	2	 	 	 	 	 	 	 	3	3	99	99	0	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
30098	0	 	0	 	1	 	12	15	 	1	 	 	 	 	 	 	 	5	0	98	98	 	 	 	1	 	 	9	1	 	0	 	 	 	2	3	5	0	1200	0	8	0	1	0	0	9	2	4	N	 	 	 	 	 	 	 	 	 	 	 
30098	1	 	1	0	2	 	35	38	 	1	 	6	5	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30098	2	 	1	0	2	 	30	33	 	2	0	6	5	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30098	28	 	7	0	1	 	15	18	 	1	 	 	 	 	 	 	 	5	0	98	98	1	10	1	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
30098	29	 	7	0	1	 	9	12	 	2	 	 	 	 	 	 	5	5	0	98	98	 	 	 	1	 	 	6	1	 	1	 	 	 	2	3	 	0	0	0	8	0	2	0	0	8	2	4	N	0	 	0	 	 	 	 	0	0	 	6
30098	30	 	5	0	1	 	52	55	 	1	 	 	 	 	 	 	 	 	1	99	99	0	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
30098	31	 	5	1	1	 	45	48	 	2	 	 	 	 	 	 	 	1	1	99	99	0	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
30099	0	 	0	 	1	 	11	14	 	2	 	 	 	 	 	 	 	2	0	5	4	 	 	 	1	 	 	9	1	 	0	 	 	 	1	1	1	20000	0	0	9	0	0	0	0	12	2	1	N	 	 	 	 	 	 	 	 	 	 	 
30099	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30099	2	 	6	0	1	 	76	79	 	1	 	 	 	 	 	 	 	3	1	99	99	1	5	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
30099	3	 	6	0	1	 	66	69	 	2	 	 	 	 	 	 	 	3	1	99	99	0	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
30099	4	 	1	0	1	 	39	42	 	1	 	 	 	 	 	 	 	 	1	3	2	1	10	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
30099	5	 	1	1	1	 	31	34	 	2	0	 	 	 	 	 	 	1	1	98	99	1	9	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
30099	6	 	7	0	1	 	10	13	 	1	 	 	 	 	 	 	5	2	0	5	4	 	 	 	1	 	 	7	1	 	1	 	 	 	3	1	 	13000	0	0	10	0	0	0	0	12	1	1	N	0	 	0	 	 	 	 	0	0	 	6
30100	0	 	0	 	1	 	12	15	 	2	 	 	 	 	 	 	 	2	0	3	2	 	 	 	1	 	 	8	1	 	0	 	 	 	2	3	3	0	0	0	9	0	1	0	0	8	1	5	N	 	 	 	 	 	 	 	 	 	 	 
30100	1	 	6	0	4	 	66	69	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30100	2	 	1	0	1	 	39	42	 	1	 	 	 	 	 	 	 	 	1	99	98	1	8	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
30100	3	 	1	0	1	 	33	36	 	2	0	 	 	 	 	 	 	1	1	98	99	1	6	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
30100	4	 	13	0	4	 	31	34	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30100	5	 	7	0	1	 	9	12	 	2	 	 	 	 	 	 	7	2	0	3	2	 	 	 	1	 	 	6	1	 	1	 	 	 	3	3	 	0	0	1	9	0	0	0	0	8	3	4	Y	0	 	0	 	 	 	 	0	0	 	6
30100	6	 	7	0	1	 	8	11	 	1	 	 	 	 	 	 	5	2	 	3	2	 	 	 	1	 	 	4	1	 	0	 	 	 	 	 	 	 	 	 	9	0	0	0	0	7	2	6	N	 	 	 	 	 	 	 	 	 	 	 
30100	7	 	5	0	1	 	60	63	 	1	 	 	 	 	 	 	 	7	1	99	99	1	4	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
30100	8	 	5	1	1	 	55	58	 	2	 	 	 	 	 	 	 	7	1	99	99	1	2	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	1	9	2	2	5	0	0	 	6
30100	9	 	26	0	4	 	30	33	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30100	10	 	26	0	4	 	24	27	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30100	11	 	28	0	4	 	2	5	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40001	0	 	0	 	1	 	12	15	 	1	 	 	 	 	 	 	 	2	0	4	3	 	 	 	1	 	 	7	1	 	0	 	 	 	2	3	3	0	0	0	9	0	1	0	0	9	1	4	N	 	 	 	 	 	 	 	 	 	 	 
40001	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40001	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40001	3	 	1	0	1	 	46	49	 	1	 	 	 	 	 	 	 	 	1	99	99	1	5	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	1	1	1
40001	4	 	1	1	1	 	39	42	 	2	0	 	 	 	 	 	 	1	1	98	99	0	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
40001	5	 	7	0	3	2016	16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40002	0	 	0	 	1	 	12	15	 	2	 	 	 	 	 	 	 	2	0	3	2	 	 	 	1	 	 	7	1	 	0	 	 	 	2	3	6	0	0	1	9	0	1	0	0	9	3	2	N	 	 	 	 	 	 	 	 	 	 	 
40002	1	 	6	0	4	 	71	74	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40002	2	 	1	0	1	 	46	49	 	1	 	 	 	 	 	 	 	 	1	98	99	0	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	1	1	5
40002	3	 	1	1	1	 	38	41	 	2	0	 	 	 	 	 	 	1	1	99	99	0	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	1	7	3	1	4	0	0	 	6
40002	4	 	7	0	1	 	22	25	 	1	 	 	 	 	 	 	 	2	0	3	2	1	10	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
40002	5	 	7	0	1	 	19	22	 	1	 	 	 	 	 	 	 	2	0	3	2	1	11	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
40002	6	 	7	0	1	 	14	17	 	1	 	 	 	 	 	 	10	2	0	3	2	 	 	 	1	 	 	9	0	1	1	15	10	3	 	 	 	 	 	 	10	0	2	0	8	0	0	4	N	0	 	0	 	 	 	 	0	0	 	6
40003	0	 	0	 	1	 	12	15	 	1	 	 	 	 	 	 	 	2	0	4	3	 	 	 	1	 	 	7	1	 	0	 	 	 	3	3	3	0	0	0	8	0	0	0	0	9	1	6	N	 	 	 	 	 	 	 	 	 	 	 
40003	1	 	5	0	1	 	61	64	 	1	 	 	 	 	 	 	 	7	1	99	99	0	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
40003	2	 	5	0	1	 	56	59	 	2	 	 	 	 	 	 	 	7	1	99	99	0	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
40003	3	 	1	0	1	 	36	39	 	1	 	 	 	 	 	 	 	 	1	98	98	0	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	4
40003	4	 	1	1	1	 	31	34	 	2	0	 	 	 	 	 	 	1	1	2	1	1	3	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
40003	5	 	7	0	1	 	13	16	 	2	 	 	 	 	 	 	3	2	0	4	3	 	 	 	1	 	 	10	1	 	0	 	 	 	 	 	 	 	 	 	9	0	1	0	0	10	1	3	N	 	 	 	 	 	 	 	 	 	 	 
40003	6	 	7	0	1	 	7	10	 	2	 	 	 	 	 	 	5	2	 	4	3	 	 	 	1	 	 	10	1	 	1	 	 	 	3	3	 	0	0	1	9	0	1	0	0	8	1	5	N	0	 	0	 	 	 	 	 	 	 	 
40004	0	 	0	 	1	 	12	15	 	2	 	 	 	 	 	 	 	2	0	3	2	 	 	 	1	 	 	9	1	 	0	 	 	 	3	3	3	500	0	1	8	0	2	0	0	8	3	3	N	 	 	 	 	 	 	 	 	 	 	 
40004	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40004	2	 	1	0	1	 	43	46	 	1	 	 	 	 	 	 	 	 	1	99	99	1	5	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	1	9	4	2	5	0	0	 	2
40004	3	 	1	1	1	 	39	42	 	2	0	 	 	 	 	 	 	1	1	98	99	0	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	1	9	10	2	5	0	0	 	6
40004	4	 	7	0	1	 	11	14	 	2	 	 	 	 	 	 	5	2	0	3	2	 	 	 	1	 	 	7	1	 	1	 	 	 	3	3	 	0	0	1	8	0	2	0	0	8	3	3	N	0	 	0	 	 	 	 	0	0	 	6
40004	5	 	7	0	1	 	6	9	 	1	 	 	 	 	 	 	3	2	 	3	2	 	 	 	1	 	 	3	1	 	0	 	 	 	 	 	 	 	 	 	9	0	2	0	0	8	3	2	N	 	 	 	 	 	 	 	 	 	 	 
40005	0	 	0	 	1	 	12	15	 	1	 	 	 	 	 	 	 	2	0	4	3	 	 	 	1	 	 	7	1	 	0	 	 	 	3	3	5	0	0	1	9	0	0	0	0	9	2	4	N	 	 	 	 	 	 	 	 	 	 	 
40005	1	 	6	0	1	 	76	79	 	1	 	 	 	 	 	 	 	3	1	99	99	0	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
40005	2	 	6	0	1	 	71	74	 	2	 	 	 	 	 	 	 	3	1	99	99	0	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
40005	3	 	1	0	1	 	36	39	 	1	 	 	 	 	 	 	 	 	1	2	1	1	10	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	4
40005	4	 	1	1	1	 	31	34	 	2	0	 	 	 	 	 	 	1	1	98	99	0	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	1	0	1	6
40005	5	 	7	0	1	 	18	21	 	1	 	 	 	 	 	 	 	2	0	4	3	1	12	1	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
40005	6	 	7	0	1	 	9	12	 	2	 	 	 	 	 	 	5	2	0	4	3	 	 	 	1	 	 	3	1	 	0	 	 	 	 	 	 	 	 	 	9	0	0	0	0	9	1	5	N	 	 	 	 	 	 	 	 	 	 	 
40006	0	 	0	 	1	 	11	14	 	1	 	 	 	 	 	 	 	2	0	3	2	 	 	 	1	 	 	6	1	 	0	 	 	 	2	3	1	0	0	1	9	0	1	0	0	9	1	4	N	 	 	 	 	 	 	 	 	 	 	 
40006	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40006	2	 	1	0	1	 	46	49	 	1	 	 	 	 	 	 	 	 	1	99	99	0	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	1	0	1	5
40006	3	 	1	1	1	 	41	44	 	2	0	 	 	 	 	 	 	1	1	99	99	0	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	1	0	2	6
40006	4	 	7	0	1	 	23	26	 	1	 	 	 	 	 	 	 	2	1	3	2	1	15	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
40006	5	 	7	0	1	 	17	20	 	1	 	 	 	 	 	 	 	2	0	3	2	1	12	0	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	4
40006	6	 	28	0	1	 	 	21	 	2	 	 	 	 	 	 	 	6	1	99	98	1	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
40006	7	 	19	0	1	 	 	2	 	2	 	 	 	 	 	 	 	5	 	6	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
40007	0	 	0	 	1	 	12	15	 	1	 	 	 	 	 	 	 	2	0	2	1	 	 	 	1	 	 	7	1	 	0	 	 	 	3	3	3	0	0	1	9	0	1	0	0	8	1	5	N	 	 	 	 	 	 	 	 	 	 	 
40007	1	 	1	0	1	 	41	44	 	1	 	 	 	 	 	 	 	 	1	99	99	1	3	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
