CHILDCODE	IMEVIDR5	RKEVR5	LOSS13R5	LOSS14R5	LOSS15R5	LOSS16R5	RESEVR51	RESEVR52	RESEVR53
10099	3	88	 	 	 	 	 	 	 
10100	1	47	 	2	2	3	2	6	88
10100	2	88	 	 	 	 	 	 	 
10100	3	88	 	 	 	 	 	 	 
20001	1	47	 	 	 	2	2	12	88
20001	2	88	 	 	 	 	 	 	 
20001	3	88	 	 	 	 	 	 	 
20002	1	29	 	4	 	 	16	7	88
20002	2	47	 	 	 	2	2	7	88
20002	3	88	 	 	 	 	 	 	 
20003	1	13	 	 	3	 	18	17	88
20003	2	88	 	 	 	 	 	 	 
20003	3	88	 	 	 	 	 	 	 
20004	1	12	 	3	4	4	6	8	7
20004	2	13	 	 	3	 	2	6	7
20004	3	38	 	 	 	2	16	6	7
20005	1	88	 	 	 	 	 	 	 
20005	2	88	 	 	 	 	 	 	 
20005	3	88	 	 	 	 	 	 	 
20006	1	29	 	2	 	 	2	6	88
20006	2	47	 	 	 	3	2	18	88
20006	3	88	 	 	 	 	 	 	 
20007	1	14	 	2	 	 	3	6	8
20007	2	29	 	3	 	 	2	18	7
20007	3	47	 	3	 	3	2	17	7
20008	1	29	 	 	2	 	18	6	88
20008	2	47	 	 	 	3	2	18	88
20008	3	88	 	 	 	 	 	 	 
20009	1	47	 	2	3	3	6	18	88
20009	2	24	 	4	 	 	2	18	88
20009	3	37	 	 	3	 	6	22	88
20010	1	47	 	3	3	2	6	2	88
20010	2	29	 	 	3	 	18	28	88
20010	3	88	 	 	 	 	 	 	 
20011	1	29	 	 	4	 	17	2	7
20011	2	41	 	 	3	 	18	7	88
20011	3	88	 	 	 	 	 	 	 
20014	1	47	 	 	3	3	2	18	12
20014	2	29	 	2	3	 	18	12	6
20014	3	39	 	 	2	 	28	18	88
20015	1	47	 	3	3	3	2	6	88
20015	2	39	 	 	3	 	16	6	88
20015	3	88	 	 	 	 	 	 	 
20016	1	29	 	2	2	 	2	6	7
20016	2	47	 	 	3	 	2	17	7
20016	3	36	 	3	 	 	16	17	7
20017	1	36	 	2	 	 	6	28	88
20017	2	47	 	3	3	3	2	6	18
20017	3	24	3	 	 	 	6	18	88
20018	1	29	 	2	2	 	2	6	7
20018	2	14	 	 	2	 	18	3	7
20018	3	47	 	 	3	3	2	15	7
20019	1	29	 	2	 	 	2	6	88
20019	2	47	 	3	3	3	18	2	88
20019	3	88	 	 	 	 	 	 	 
20020	1	35	 	 	4	 	16	7	88
20020	2	47	 	 	3	 	16	2	88
20020	3	13	 	 	4	 	9	7	88
20021	1	47	 	 	 	2	2	7	88
20021	2	88	 	 	 	 	 	 	 
20021	3	88	 	 	 	 	 	 	 
20022	1	37	 	 	2	 	17	6	7
20022	2	38	 	 	 	2	17	2	7
20022	3	47	 	 	2	3	6	2	7
20023	1	47	 	 	 	3	17	7	88
20023	2	88	 	 	 	 	 	 	 
20023	3	88	 	 	 	 	 	 	 
20024	1	47	 	 	3	2	2	17	88
20024	2	88	 	 	 	 	 	 	 
20024	3	88	 	 	 	 	 	 	 
20025	1	47	 	3	3	3	2	6	88
20025	2	13	 	3	3	 	6	2	88
20025	3	24	 	3	3	3	6	2	88
20026	1	36	 	 	 	4	2	6	88
20026	2	88	 	 	 	 	 	 	 
20026	3	88	 	 	 	 	 	 	 
20027	1	38	 	 	 	3	16	17	7
20027	2	47	 	4	3	 	2	1	7
20027	3	88	 	 	 	 	 	 	 
20028	1	47	 	3	3	3	2	18	88
20028	2	24	 	3	3	3	2	6	88
20028	3	38	 	 	3	 	2	18	88
20029	1	39	 	 	 	2	6	2	7
20029	2	47	 	2	3	 	6	2	1
20029	3	88	 	 	 	 	 	 	 
20030	1	47	 	3	3	3	2	6	88
20030	2	24	 	 	4	4	2	6	88
20030	3	26	 	 	3	 	2	6	88
20031	1	28	 	3	 	 	2	17	88
20031	2	29	 	3	3	 	2	18	88
20031	3	47	 	3	3	3	2	6	88
20032	1	47	3	3	3	3	2	6	16
20032	2	88	 	 	 	 	 	 	 
20032	3	88	 	 	 	 	 	 	 
20033	1	38	 	 	3	 	2	27	88
20033	2	47	2	3	4	3	9	18	88
20033	3	88	 	 	 	 	 	 	 
20034	1	47	2	3	4	3	18	9	88
20034	2	88	 	 	 	 	 	 	 
20034	3	88	 	 	 	 	 	 	 
20035	1	37	 	 	 	3	2	1	7
20035	2	38	 	 	4	 	16	2	7
20035	3	47	 	 	4	4	2	1	7
20036	1	45	 	4	 	 	2	18	88
20036	2	88	 	 	 	 	 	 	 
20036	3	88	 	 	 	 	 	 	 
20037	1	47	 	 	2	2	2	9	7
20037	2	42	 	 	3	3	16	17	7
20037	3	88	 	 	 	 	 	 	 
20038	1	16	 	3	 	 	2	6	88
20038	2	88	 	 	 	 	 	 	 
20038	3	88	 	 	 	 	 	 	 
20039	1	27	4	 	 	 	8	2	7
20039	2	36	 	 	 	4	17	9	7
20039	3	47	 	4	 	 	2	1	7
20040	1	47	 	 	 	4	1	2	7
20040	2	38	 	 	 	4	17	16	7
20040	3	42	 	 	 	 	16	17	7
20041	1	88	 	 	 	 	 	 	 
20041	2	88	 	 	 	 	 	 	 
20041	3	88	 	 	 	 	 	 	 
20042	1	14	 	 	 	3	2	17	88
20042	2	31	 	 	3	 	10	88	88
20042	3	38	 	 	3	 	17	16	88
20043	1	13	 	2	2	 	16	7	88
20043	2	37	 	 	2	 	16	17	7
20043	3	12	 	2	2	 	17	16	7
20044	1	13	 	 	2	2	9	1	7
20044	2	47	 	3	2	 	2	1	7
20044	3	28	 	 	4	 	2	6	7
20045	1	47	 	 	3	3	2	17	18
20045	2	88	 	 	 	 	 	 	 
20045	3	88	 	 	 	 	 	 	 
20046	1	37	 	 	 	4	16	7	88
20046	2	47	 	 	3	3	16	2	88
20046	3	88	 	 	 	 	 	 	 
20047	1	37	 	 	3	3	9	10	7
20047	2	47	 	 	 	4	17	2	7
20047	3	88	 	 	 	 	 	 	 
20048	1	38	4	3	3	4	17	7	88
20048	2	37	 	 	 	3	8	7	88
20048	3	39	 	 	 	2	9	7	88
20049	1	39	 	 	3	3	16	17	7
20049	2	13	4	4	 	 	6	1	7
20049	3	28	 	 	3	3	9	16	7
20050	1	28	 	 	4	3	2	10	88
20050	2	47	 	4	3	 	2	6	7
20050	3	37	 	 	3	3	2	17	7
20051	1	25	2	3	2	 	2	22	88
20051	2	28	2	3	88	 	2	6	88
20051	3	29	2	3	3	 	2	6	88
20052	1	38	 	 	 	4	16	17	88
20052	2	39	 	 	3	3	16	6	7
20052	3	88	 	 	 	 	 	 	 
20053	1	29	 	 	4	 	16	7	88
20053	2	88	 	 	 	 	 	 	 
20053	3	88	 	 	 	 	 	 	 
20054	1	28	 	 	2	 	2	18	88
20054	2	29	 	 	2	 	2	18	88
20054	3	47	 	 	3	3	2	88	88
20055	1	88	 	 	 	 	 	 	 
20055	2	88	 	 	 	 	 	 	 
20055	3	88	 	 	 	 	 	 	 
20056	1	34	 	 	2	 	12	17	88
20056	2	88	 	 	 	 	 	 	 
20056	3	88	 	 	 	 	 	 	 
20057	1	36	 	2	 	 	9	28	88
20057	2	37	 	 	3	 	2	18	88
20057	3	47	 	3	3	3	2	17	88
20058	1	47	 	 	3	4	2	17	88
20058	2	88	 	 	 	 	 	 	 
20058	3	88	 	 	 	 	 	 	 
20059	1	28	 	 	2	 	2	18	88
20059	2	29	 	 	2	 	2	18	88
20059	3	12	 	 	3	3	2	88	88
20060	1	16	4	 	 	 	18	88	88
20060	2	47	3	3	 	 	2	88	88
20060	3	88	 	 	 	 	 	 	 
20061	1	29	 	 	4	 	16	7	88
20061	2	88	 	 	 	 	 	 	 
20061	3	88	 	 	 	 	 	 	 
20062	1	42	 	 	 	4	2	18	88
20062	2	37	 	 	3	 	2	88	88
20062	3	47	 	3	3	3	2	18	88
20063	1	47	3	2	3	2	2	27	88
20063	2	39	 	 	 	3	16	17	7
20063	3	88	 	 	 	 	 	 	 
20064	1	37	 	 	4	 	2	16	7
20064	2	38	 	 	3	2	2	17	7
20064	3	47	 	 	3	 	2	6	7
20065	1	37	 	 	 	3	16	18	7
20065	2	39	 	 	 	4	17	18	88
20065	3	47	 	3	2	 	17	7	88
20066	1	38	 	4	 	 	2	18	7
20066	2	39	 	 	2	2	16	17	7
20066	3	47	 	 	2	2	2	1	7
20067	1	36	 	3	 	 	16	17	7
20067	2	47	 	 	2	3	2	17	7
20067	3	88	 	 	 	 	 	 	 
20068	1	37	 	 	3	 	16	17	7
20068	2	47	 	3	3	 	2	1	7
20068	3	88	 	 	 	 	 	 	 
20069	1	47	 	3	3	 	2	18	88
20069	2	88	 	 	 	 	 	 	 
20069	3	88	 	 	 	 	 	 	 
20070	1	37	3	 	 	 	16	7	88
20070	2	14	 	3	 	 	3	2	7
20070	3	47	 	 	3	2	2	17	7
20071	1	34	 	 	 	4	2	18	88
20071	2	47	 	3	3	3	2	18	88
20071	3	13	 	3	3	 	18	2	1
20072	1	47	 	1	2	 	17	16	88
20072	2	37	 	 	1	 	17	7	88
20072	3	88	 	 	 	 	 	 	 
20073	1	13	 	 	4	 	16	7	88
20073	2	38	 	 	 	2	16	7	88
20073	3	39	 	 	 	2	17	7	88
20074	1	38	3	2	3	2	17	15	88
20074	2	88	 	 	 	 	 	 	 
20074	3	88	 	 	 	 	 	 	 
20075	1	13	 	2	3	 	2	18	88
20075	2	35	 	 	2	 	11	88	88
20075	3	47	3	4	3	4	2	9	88
20076	1	12	 	 	4	 	10	6	7
20076	2	13	 	 	4	 	17	6	7
20076	3	28	 	2	2	 	10	6	2
20078	1	24	 	 	 	4	16	7	88
20078	2	13	 	 	 	3	9	7	88
20078	3	88	 	 	 	 	 	 	 
20079	1	38	 	3	 	 	17	16	7
20079	2	37	 	 	2	 	16	9	7
20079	3	47	 	 	2	 	6	2	7
20080	1	13	 	 	3	 	10	28	7
20080	2	28	 	4	 	 	17	18	7
20080	3	37	 	 	 	2	6	16	7
20081	1	12	 	 	3	2	2	6	88
20081	2	47	 	 	 	2	2	12	88
20081	3	88	 	 	 	 	 	 	 
20082	1	39	 	 	4	 	2	18	88
20082	2	47	 	2	3	3	18	2	88
20082	3	29	 	 	3	 	28	2	88
20083	1	47	 	 	 	2	17	2	88
20083	2	12	 	 	3	2	16	22	88
20083	3	88	 	 	 	 	 	 	 
20084	1	47	 	3	3	4	18	6	2
20084	2	38	 	 	 	3	2	6	88
20084	3	24	 	4	 	 	2	18	88
20085	1	47	 	 	 	2	2	7	88
20085	2	88	 	 	 	 	 	 	 
20085	3	88	 	 	 	 	 	 	 
20086	1	47	3	2	4	3	27	2	88
20086	2	88	 	 	 	 	 	 	 
20086	3	88	 	 	 	 	 	 	 
20087	1	13	 	2	 	 	18	9	88
20087	2	47	2	4	3	2	2	22	88
20087	3	88	 	 	 	 	 	 	 
20088	1	47	 	 	 	3	2	22	88
20088	2	88	 	 	 	 	 	 	 
20088	3	88	 	 	 	 	 	 	 
20089	1	47	 	 	2	 	2	17	88
20089	2	88	 	 	 	 	 	 	 
20089	3	88	 	 	 	 	 	 	 
20090	1	47	 	 	3	2	2	17	88
20090	2	88	 	 	 	 	 	 	 
20090	3	88	 	 	 	 	 	 	 
20091	1	37	 	 	2	 	10	6	7
20091	2	38	 	 	 	2	17	6	7
20091	3	61	 	 	2	 	16	9	7
20092	1	13	2	 	 	 	18	12	88
20092	2	39	2	3	4	3	2	28	88
20092	3	47	4	2	4	3	22	18	88
20093	1	47	 	3	3	3	2	6	88
20093	2	24	 	 	3	 	2	18	88
20093	3	88	 	 	 	 	 	 	 
20094	1	47	 	3	2	3	17	2	88
20094	2	39	 	3	3	 	17	88	88
20094	3	88	 	 	 	 	 	 	 
20095	1	29	 	3	3	 	2	18	88
20095	2	47	 	3	3	3	2	18	88
20095	3	88	 	 	 	 	 	 	 
20096	1	37	 	 	2	2	2	17	7
20096	2	38	 	3	 	 	17	9	7
20096	3	88	 	 	 	 	 	 	 
20097	1	13	3	 	 	 	18	2	88
20097	2	37	 	 	2	 	9	17	88
20097	3	88	 	 	 	 	 	 	 
20098	1	13	 	2	 	 	18	88	88
20098	2	88	 	 	 	 	 	 	 
20098	3	88	 	 	 	 	 	 	 
20099	1	37	3	 	 	 	6	18	88
20099	2	47	 	3	3	3	6	18	2
20099	3	88	 	 	 	 	 	 	 
20100	1	36	 	 	2	 	16	17	7
20100	2	88	 	 	 	 	 	 	 
20100	3	88	 	 	 	 	 	 	 
30001	1	39	 	 	3	 	17	16	88
30001	2	47	 	2	2	2	2	88	88
30001	3	88	 	 	 	 	 	 	 
30003	1	88	 	 	 	 	 	 	 
30003	2	88	 	 	 	 	 	 	 
30003	3	88	 	 	 	 	 	 	 
30004	1	1	3	 	 	 	16	88	88
