CHILDCODE	HHITMIDR5	OWNITMR5	NUMOWNR5
10048	14	0	 
10048	15	1	1
10048	16	0	 
10048	17	0	 
10048	18	0	 
10048	19	0	 
10048	20	0	 
10049	1	1	1
10049	2	0	 
10049	3	0	 
10049	4	1	1
10049	5	1	1
10049	6	0	 
10049	7	1	2
10049	8	1	3
10049	9	0	 
10049	10	1	1
10049	11	1	1
10049	12	0	 
10049	13	1	1
10049	14	0	 
10049	15	0	 
10049	16	0	 
10049	17	0	 
10049	18	0	 
10049	19	0	 
10049	20	0	 
10050	1	1	1
10050	2	0	 
10050	3	0	 
10050	4	0	 
10050	5	1	1
10050	6	0	 
10050	7	1	1
10050	8	1	2
10050	9	0	 
10050	10	1	2
10050	11	1	1
10050	12	0	 
10050	13	1	1
10050	14	0	 
10050	15	0	 
10050	16	0	 
10050	17	0	 
10050	18	1	1
10050	19	0	 
10050	20	0	 
10051	1	1	1
10051	2	0	 
10051	3	0	 
10051	4	0	 
10051	5	1	1
10051	6	0	 
10051	7	1	2
10051	8	1	2
10051	9	0	 
10051	10	1	2
10051	11	1	3
10051	12	0	 
10051	13	0	 
10051	14	0	 
10051	15	0	 
10051	16	0	 
10051	17	0	 
10051	18	0	 
10051	19	0	 
10051	20	0	 
10052	1	1	1
10052	2	0	 
10052	3	0	 
10052	4	1	1
10052	5	1	1
10052	6	0	 
10052	7	1	3
10052	8	1	4
10052	9	1	1
10052	10	1	4
10052	11	1	2
10052	12	1	1
10052	13	1	1
10052	14	0	 
10052	15	1	1
10052	16	0	 
10052	17	0	 
10052	18	0	 
10052	19	0	 
10052	20	0	 
10053	1	1	1
10053	2	0	 
10053	3	1	1
10053	4	1	1
10053	5	0	 
10053	6	0	 
10053	7	1	2
10053	8	1	4
10053	9	1	1
10053	10	1	4
10053	11	1	2
10053	12	1	1
10053	13	1	1
10053	14	0	 
10053	15	1	1
10053	16	0	 
10053	17	0	 
10053	18	1	1
10053	19	0	 
10053	20	0	 
10054	1	1	1
10054	2	0	 
10054	3	0	 
10054	4	0	 
10054	5	1	1
10054	6	0	 
10054	7	1	1
10054	8	1	2
10054	9	0	 
10054	10	1	1
10054	11	1	1
10054	12	0	 
10054	13	1	1
10054	14	1	1
10054	15	0	 
10054	16	0	 
10054	17	0	 
10054	18	0	 
10054	19	0	 
10054	20	0	 
10055	1	1	1
10055	2	0	 
10055	3	0	 
10055	4	0	 
10055	5	1	2
10055	6	0	 
10055	7	1	1
10055	8	1	2
10055	9	0	 
10055	10	1	1
10055	11	1	2
10055	12	0	 
10055	13	0	 
10055	14	0	 
10055	15	0	 
10055	16	0	 
10055	17	0	 
10055	18	0	 
10055	19	0	 
10055	20	0	 
10056	1	1	1
10056	2	0	 
10056	3	0	 
10056	4	1	1
10056	5	1	2
10056	6	0	 
10056	7	1	2
10056	8	1	3
10056	9	0	 
10056	10	1	2
10056	11	1	1
10056	12	1	1
10056	13	1	1
10056	14	0	 
10056	15	0	 
10056	16	0	 
10056	17	0	 
10056	18	0	 
10056	19	0	 
10056	20	0	 
10057	1	1	1
10057	2	0	 
10057	3	1	1
10057	4	1	1
10057	5	0	 
10057	6	0	 
10057	7	1	2
10057	8	1	7
10057	9	1	1
10057	10	1	4
10057	11	1	2
10057	12	1	1
10057	13	1	1
10057	14	0	 
10057	15	0	 
10057	16	0	 
10057	17	0	 
10057	18	1	1
10057	19	0	 
10057	20	0	 
10058	1	1	1
10058	2	0	 
10058	3	0	 
10058	4	0	 
10058	5	1	1
10058	6	0	 
10058	7	1	1
10058	8	1	2
10058	9	0	 
10058	10	1	1
10058	11	1	2
10058	12	0	 
10058	13	0	 
10058	14	0	 
10058	15	0	 
10058	16	0	 
10058	17	0	 
10058	18	0	 
10058	19	0	 
10058	20	0	 
10059	1	1	1
10059	2	0	 
10059	3	0	 
10059	4	1	1
10059	5	1	2
10059	6	0	 
10059	7	1	2
10059	8	1	2
10059	9	0	 
10059	10	1	2
10059	11	1	2
10059	12	1	1
10059	13	1	1
10059	14	0	 
10059	15	0	 
10059	16	0	 
10059	17	0	 
10059	18	0	 
10059	19	0	 
10059	20	0	 
10060	1	1	1
10060	2	0	 
10060	3	0	 
10060	4	0	 
10060	5	0	 
10060	6	0	 
10060	7	1	2
10060	8	1	2
10060	9	0	 
