CHILDCODE	ASSTIDR5	ASSETR5	NUMASTR5	ASACTR5	NMOWNR5	VLASTR5
60010	1	30	3	26	3	1200
60010	2	1	4	11	4	450
60012	1	1	5	11	5	650
60012	2	25	1	26	0	 
60013	1	23	8	23	8	10000
60014	1	1	4	11	4	800
60015	1	1	4	11	4	1500
60015	2	4	1	11	1	1000
60015	3	3	1	11	0	 
60015	4	7	1	11	0	 
60016	1	1	2	11	2	500
60016	2	7	1	11	0	 
60016	3	3	1	11	0	 
60017	1	1	4	5	4	1000
60018	1	1	8	11	8	1600
60019	1	1	2	11	2	200
60019	2	7	1	11	0	 
60019	3	3	1	11	0	 
60020	1	1	2	11	2	100
60021	1	1	4	11	4	800
60021	2	3	1	11	1	750
60021	3	30	10	17	10	5000
60021	4	7	1	11	0	 
60021	5	6	1	11	0	 
60022	1	1	12	11	12	2000
60023	1	1	2	11	2	100
60023	2	8	4	5	4	400
60023	3	3	1	11	0	 
60024	1	1	5	11	5	700
60024	2	3	1	11	0	 
60024	3	7	1	11	0	 
60024	4	6	1	11	0	 
60025	1	1	2	11	2	200
60025	2	7	1	11	0	 
60025	3	3	1	11	0	 
60026	1	1	2	29	2	200
60026	2	1	4	11	4	500
60027	1	1	5	11	5	450
60027	2	30	4	26	4	1600
60028	1	1	5	11	5	900
60028	2	7	0	11	0	 
60028	3	3	1	11	1	1500
60029	1	1	5	5	5	1200
60030	1	1	3	11	3	500
60030	2	88	 	 	 	 
60030	3	88	 	 	 	 
60031	1	1	6	11	6	1200
60032	1	1	2	11	2	200
60033	1	1	4	11	4	600
60035	1	8	3	5	3	1000
60037	1	1	12	11	12	3600
60037	2	4	2	11	2	2300
60037	3	3	1	11	1	800
60039	1	1	6	11	6	1300
60039	2	7	1	11	0	 
60039	3	30	1	24	1	80000
60040	1	30	1	26	1	2000000
60040	2	88	 	 	 	 
60041	1	30	9	5	9	1000
60042	1	1	2	11	2	200
60043	1	1	2	11	2	200
60043	2	4	1	11	1	0
60043	3	3	1	11	1	1000
60043	4	7	1	11	0	 
60044	1	1	6	5	6	1500
60045	1	7	1	11	0	 
60045	2	3	1	11	0	 
60046	1	1	7	11	7	3000
60047	1	1	3	11	3	200
60047	2	13	20	16	20	4500
60047	3	7	1	11	0	 
60048	1	1	9	11	9	12
60048	2	7	1	11	0	 
60048	3	3	1	11	0	 
60049	1	13	5	7	5	900
60049	2	1	8	11	8	1300
60049	3	1	2	29	2	160
60051	1	13	4	7	4	1300
60051	2	12	1	32	1	2000
60052	1	1	2	11	2	200
60052	2	13	5	7	5	1000
60053	1	21	15	21	15	10000
60054	1	1	4	11	4	800
60054	2	30	10	23	10	48000
60054	3	3	1	11	0	 
60054	4	6	1	11	0	 
60055	1	1	4	5	4	1500
60056	1	12	1	32	1	2000
60057	1	1	5	5	5	2000
60058	1	8	5	5	5	1500
60059	1	1	9	11	9	1800
60059	2	3	1	11	0	 
60059	3	7	1	11	0	 
60060	4	3	1	11	1	1000
60060	5	1	3	11	3	800
60061	1	1	6	11	6	1200
60061	2	17	1	26	0	 
60062	1	30	1	26	0	 
60062	2	22	5	22	5	600
60063	1	1	7	5	7	2000
60063	2	30	2	26	2	1500
60065	1	17	1	26	0	 
60065	2	1	3	5	3	400
60068	1	4	1	11	1	0
60068	2	1	2	11	2	100
60068	3	3	1	11	0	 
60068	6	7	1	11	0	 
60069	1	1	5	11	5	1200
60069	2	3	1	11	0	 
60069	3	7	1	11	0	 
60070	1	1	8	11	8	1200
60070	2	3	1	11	0	 
60070	3	7	1	11	0	 
60071	1	1	10	11	10	2000
60071	2	3	1	11	1	1000
60071	3	4	2	11	2	600
60072	1	1	6	11	6	1200
60072	2	4	1	11	1	1100
60072	3	3	1	11	1	600
60072	4	5	1	11	0	 
60072	5	7	1	11	0	 
60073	1	13	6	26	6	32000
60074	1	1	8	11	8	1600
60074	2	3	1	11	1	800
60074	3	4	2	11	2	600
60075	1	1	11	11	11	2500
60075	2	4	2	11	2	400
60075	3	7	1	11	0	 
60076	1	1	11	11	11	2200
60076	2	3	1	11	1	800
60076	3	13	8	7	8	2000
60077	1	1	7	11	7	1700
60077	2	2	1	11	1	12000
60077	3	3	1	11	1	2000
60077	4	6	1	11	0	 
60077	5	7	1	11	0	 
60078	1	1	8	5	8	2500
60079	1	1	6	11	6	1000
60079	2	7	1	11	0	 
60079	3	13	9	7	9	3000
60080	1	1	4	11	4	600
60080	2	13	6	14	6	8000
60081	1	1	3	13	3	200
60082	1	4	1	11	1	100
60082	2	1	3	11	3	200
60082	3	7	1	11	0	 
60082	4	3	1	11	1	500
60083	1	1	5	11	4	1200
60084	1	1	3	5	3	700
60085	1	8	6	26	6	1200
60086	1	1	2	11	2	100
60089	1	1	5	5	5	1500
60090	1	1	5	5	5	1000
60091	1	30	3	5	3	200
60092	1	25	1	24	1	45000
60093	1	1	5	11	5	2000
60093	2	30	6	11	6	10000
60094	1	1	2	11	0	 
60096	1	13	11	7	11	2000
60097	1	1	4	5	4	1500
60098	1	2	1	24	1	3000
60098	2	1	6	5	6	1200
60099	1	30	2	5	2	560
60100	1	1	5	29	3	1200
70001	1	7	1	11	1	100000
70001	2	1	3	11	3	1000
