childid	donfdid	dontypr3	donrcvr3	donamtr3	donmsrr3	donprcr3	prcmsrr3
PE148045	7	15	1	2	7	1	7
PE148046	1	1	44	1	6	2.5	6
PE148046	2	3	10	1	4	2.5	4
PE148046	3	10	120	1	5	2	5
PE148047	1	1	36	1	3	1	3
PE148047	2	3	9	1	3	.5	3
PE148048	1	1	48	1	4	1	4
PE148048	2	3	24	2	6	2	6
PE148049	1	3	12	4	2	2.5	2
PE148049	2	1	12	3	1	2.20000004768372	1
PE158003	1	9	200	2	7	.100000001490116	7
PE158004	1	15	2	50	2	.5	2
PE158004	2	15	2	80	7	.200000002980232	7
PE158008	1	1	12	4	6	2.20000004768372	6
PE158008	2	3	12	4	3	1	3
PE158009	1	9	180	1	7	.300000011920929	7
PE158009	2	10	180	1	8	1	8
PE158010	1	9	190	1	7	.300000011920929	7
PE158010	2	1	8	1	2	2	2
PE158012	1	10	250	3	9	1	9
PE158013	1	9	100	1	7	.600000023841858	7
PE158013	2	1	6	1	8	2.20000004768372	8
PE158013	3	3	6	3	2	1.20000004768372	2
PE158017	1	7	36	1	6	1.5	6
PE158017	2	6	36	1	3	1	3
PE158017	3	8	36	1	2	2	2
PE158017	4	11	36	1	2	2.5	2
PE158017	5	5	4	1	3	3	3
PE158018	1	1	3	3	6	2.40000009536743	6
PE158018	2	3	3	4	3	1	3
PE158021	1	1	12	1	6	2.5	6
PE158021	2	7	12	2	6	2	6
PE158021	3	5	12	1	1	4	1
PE158021	4	8	12	3	1	2	1
PE158021	5	6	12	3	1	3	1
PE158021	6	8	12	3	1	2	1
PE158023	1	8	12	1	2	2.5	2
PE158023	2	4	12	2	2	2	2
PE158023	3	5	12	.5	1	3.5	1
PE158023	4	6	12	2	8	4	8
PE158024	1	4	12	3	2	3	2
PE158024	2	6	12	1	4	1	4
PE158024	3	5	12	1	1	4.5	1
PE158024	4	7	12	2	6	2.5	6
PE158025	1	4	18	3	2	2	2
PE158025	2	9	240	3	7	.200000002980232	7
PE158034	1	9	198	2	7	.100000001490116	7
PE158036	1	1	12	2	6	2.5	6
PE158036	2	8	12	1	2	4	2
PE158036	3	10	150	1	5	3.5	5
PE158036	4	9	150	1	7	.200000002980232	7
PE158036	5	10	150	1	8	1	8
PE158037	1	9	360	2	7	.5	7
PE158037	2	4	18	2	2	2.5	2
PE158043	1	1	12	2	6	2.5	6
PE158043	2	3	12	.349999994039536	2	8.80000019073486	2
PE158045	1	3	7	2	3	1	3
PE158045	2	1	7	2	6	2.5	6
PE158046	1	1	12	6	7	2.59999990463257	7
PE158046	2	3	12	3	7	1	7
PE158047	1	1	9	2	2	4	2
PE158047	2	9	188	2	7	.100000001490116	7
PE158053	1	1	12	2	6	5	6
PE158053	2	3	12	1	2	3	2
PE158057	1	1	2	6	6	2.5	6
PE158057	2	3	2	6	3	1.5	3
PE168001	1	10	80	4	9	1.5	9
PE168002	1	10	180	3	5	2	5
PE168002	2	1	40	2	8	.5	8
PE168002	3	9	40	2	7	.300000011920929	7
PE168003	1	1	12	6	6	1.5	6
PE168003	2	2	12	1	2	3	2
PE168003	3	8	12	2	2	4	2
