childid	monincid	montypr3	mnclssr3	monpebr3
PE178021	2	11	2	6
PE178021	3	9	3	4
PE178021	4	1	4	3
PE178022	1	8	1	18
PE178022	2	1	2	2
PE178024	1	12	1	20
PE178025	1	2	1	12
PE178025	2	1	2	5
PE178025	3	12	3	3
PE178026	1	1	1	16
PE178026	2	2	2	4
PE178027	1	2	1	10
PE178027	2	1	2	6
PE178027	3	11	3	4
PE178028	1	11	1	9
PE178028	2	1	2	8
PE178028	3	2	3	3
PE178029	1	11	1	20
PE178030	1	5	1	20
PE178031	1	1	1	20
PE178033	1	2	1	9
PE178033	2	1	2	8
PE178033	3	5	3	3
PE178034	1	11	1	12
PE178034	2	1	2	8
PE178035	1	1	1	8
PE178035	2	2	2	7
PE178035	3	12	3	5
PE178036	1	5	1	14
PE178036	2	7	2	6
PE188001	1	1	1	20
PE188002	1	7	1	15
PE188002	2	12	2	5
PE188004	1	1	1	14
PE188004	2	2	2	6
PE188005	1	2	1	11
PE188005	2	1	2	9
PE188006	1	9	1	12
PE188006	2	2	2	8
PE188007	1	1	1	13
PE188007	2	2	2	7
PE188008	1	2	1	20
PE188009	1	1	1	14
PE188009	2	7	2	6
PE188010	1	2	1	14
PE188010	2	1	2	6
PE188011	1	1	1	12
PE188011	2	2	2	8
PE188012	1	11	1	20
PE188013	1	11	1	15
PE188013	2	1	2	5
PE188014	1	12	1	20
PE188015	1	1	1	12
PE188015	2	11	2	8
PE188016	1	6	1	20
PE188017	1	11	1	10
PE188017	2	2	2	6
PE188017	3	1	3	4
PE188018	1	2	1	10
PE188018	2	1	2	6
PE188018	3	11	3	4
PE188019	1	11	1	20
PE188020	1	1	1	20
PE188021	1	9	1	20
PE188022	1	12	1	13
PE188022	2	1	2	7
PE188023	1	11	1	20
PE188024	1	1	1	17
PE188024	2	11	2	3
PE188025	1	1	1	12
PE188025	2	2	2	8
PE188026	1	2	1	15
PE188026	2	1	2	5
PE188027	1	2	1	20
PE198001	1	1	1	20
PE198002	1	12	1	11
PE198002	2	11	2	6
PE198002	3	10	3	3
PE198003	1	5	1	17
PE198003	2	7	2	3
PE198004	1	12	1	8
PE198004	2	9	2	7
PE198004	3	7	3	5
PE198006	1	11	1	15
PE198006	2	3	2	3
PE198006	3	1	3	2
PE198007	1	12	1	20
PE198008	1	11	1	12
PE198008	2	1	2	8
PE198009	1	1	1	13
PE198009	2	3	2	4
PE198009	3	11	3	3
PE198010	1	3	1	16
PE198010	2	7	2	4
PE198011	1	1	1	8
PE198011	2	11	2	7
PE198011	3	7	3	5
PE198012	1	12	1	12
PE198012	2	9	2	8
PE198013	1	1	1	13
PE198013	2	7	2	7
PE198014	1	6	1	12
PE198014	2	11	2	8
PE198015	1	11	1	20
PE198016	1	1	1	16
PE198016	2	7	2	4
PE198017	1	11	1	20
PE198018	1	9	1	20
PE198021	1	9	1	11
PE198021	2	12	2	9
PE198022	1	12	1	20
PE198024	1	9	1	14
PE198024	2	12	2	6
PE198025	1	7	1	12
PE198025	2	11	2	8
PE198026	1	12	1	20
PE198027	1	12	1	15
PE198027	2	6	2	5
PE198028	1	1	1	20
PE198030	1	12	1	20
PE198031	1	9	1	12
PE198031	2	11	2	7
PE198031	3	2	3	1
PE208001	1	9	1	20
PE208002	1	9	1	20
PE208003	1	12	1	13
PE208003	2	7	2	7
PE208005	1	6	1	12
PE208005	2	7	2	8
PE208005	3	12	3	0
PE208006	1	7	1	20
PE208007	1	2	1	15
PE208007	2	1	2	5
PE208009	1	12	1	20
PE208010	1	12	1	20
PE208011	1	8	1	20
PE208012	1	12	1	20
PE208013	1	12	1	11
PE208013	2	9	2	9
PE208014	1	12	1	16
PE208014	2	9	2	4
PE208015	1	8	1	9
PE208015	2	7	2	6
PE208015	3	12	3	5
PE208017	1	6	1	10
PE208017	2	7	2	5
PE208017	3	9	3	3
PE208017	4	12	4	2
PE208018	1	8	1	12
PE208018	2	7	2	8
PE208019	1	7	1	14
PE208019	2	12	2	6
PE208020	1	6	1	11
PE208020	2	12	2	6
PE208020	3	9	3	3
PE208021	1	6	1	13
PE208021	2	7	2	7
PE208022	1	8	1	8
PE208022	2	12	2	7
PE208022	3	7	3	5
PE208023	1	12	1	20
PE208024	1	12	1	20
PE208025	1	6	1	12
PE208025	2	7	2	8
PE208026	1	7	1	11
PE208026	2	12	2	9
PE208027	1	12	1	10
PE208027	2	11	2	8
PE208027	3	9	3	2
PE208028	1	12	1	15
PE208028	2	2	2	5
PE208029	1	7	1	13
PE208029	2	2	2	7
PE208030	1	6	1	20
PE208031	1	9	1	20
PE208032	1	7	1	15
PE208032	2	6	2	5
PE208033	1	7	1	12
PE208033	2	12	2	8
PE208034	1	7	1	20
PE208037	1	7	1	10
PE208037	2	1	2	6
PE208037	3	6	3	4
PE208038	1	9	1	20
PE208041	1	12	1	13
PE208041	2	11	2	7
PE208042	1	7	1	20
PE208043	1	8	1	20
PE208044	1	9	1	14
PE208044	2	7	2	6
PE208046	1	12	1	14
PE208046	2	1	2	6
PE208047	1	9	1	20
PE208048	1	8	1	19
PE208048	2	12	2	1
PE208049	1	7	1	13
PE208049	2	8	2	7
PE208051	1	7	1	20
