childid	rcbid	cocdborn	ageborn	whyborn
PE121010	3	8888	20	13
PE121010	4	1	 	 
PE121011	1	1	25	13
PE121011	2	8888	28	5
PE121011	3	1	 	 
PE121019	1	1	17	12
PE121019	2	8888	18	12
PE121019	3	1	 	 
PE121023	1	1	18	1
PE121023	2	8888	18	15
PE121023	3	1	 	 
PE121025	1	1	8	1
PE121025	2	8888	9	2
PE121025	3	1	 	 
PE121034	1	1	20	5
PE121034	2	8888	27	1
PE121034	3	8888	30	12
PE121034	4	8888	31	15
PE121034	5	1	 	 
PE121047	1	1	26	1
PE121047	2	8888	26	1
PE121047	3	8888	27	1
PE121047	4	8888	27	1
PE121047	5	1	 	 
PE121056	1	1	23	4
PE121056	2	1	 	 
PE121058	1	1	16	2
PE121058	2	8888	16	2
PE121058	3	1	 	 
PE121061	1	1	10	8
PE121061	2	8888	14	7
PE121061	3	1	 	 
PE121096	1	1	4	7
PE121096	2	8888	7	2
PE121096	3	8888	24	1
PE121096	4	8888	25	15
PE121096	5	1	 	 
PE121101	1	1	22	5
PE121101	2	8888	22	7
PE121101	3	1	 	 
PE141002	1	1	8	4
PE141002	2	8888	15	13
PE141002	3	1	 	 
PE141007	1	1	23	3
PE141007	2	8888	24	19
PE141007	3	1	 	 
PE141008	1	1	19	13
PE141008	2	8888	20	4
PE141008	3	1	 	 
PE141011	1	1	25	1
PE141011	2	8888	25	1
PE141011	3	1	 	 
PE141024	1	1	6	1
PE141024	2	8888	7	1
PE141024	3	8888	17	5
PE141024	4	8888	24	1
PE141024	5	1	 	 
PE141033	1	1	30	13
PE141033	2	0	30	4
PE141033	3	1	 	 
PE141046	1	1	24	8
PE141046	2	8888	26	14
PE141046	3	1	 	 
PE141064	1	1	6	1
PE141064	2	8888	7	15
PE141064	3	1	 	 
PE141071	1	1	20	1
PE141071	2	0	20	8
PE141071	3	1	 	 
PE141081	1	1	25	1
PE141081	2	0	27	1
PE141081	3	1	 	 
PE141082	1	1	23	13
PE141082	2	8888	27	2
PE141082	3	1	 	 
PE141090	1	1	40	2
PE141090	2	8888	42	2
PE141090	3	1	 	 
PE141092	1	1	20	13
PE141092	2	8888	20	3
PE141092	3	1	 	 
PE151001	1	2	17	1
PE151001	2	8888	18	13
PE151001	3	8888	23	7
PE151001	4	2	 	 
PE151011	1	5	40	2
PE151011	2	8888	42	1
PE151011	3	5	 	 
PE151043	1	1	21	13
PE151043	2	8888	25	4
PE151043	3	1	 	 
PE151061	1	35	9	2
PE151061	2	8888	19	18
PE151061	3	8888	22	13
PE151061	4	8888	23	4
PE151061	5	35	 	 
PE151063	1	35	10	2
PE151063	2	8888	14	13
PE151063	3	35	 	 
PE151095	1	27	30	1
PE151095	2	8888	32	1
PE151095	3	27	 	 
PE151104	1	35	15	2
PE151104	2	8888	18	2
PE151104	3	35	 	 
PE161007	1	63	17	13
PE161007	2	8888	24	7
PE161007	3	63	 	 
PE161009	1	95	12	1
PE161009	2	8888	14	19
PE161009	3	8888	18	13
PE161009	4	0	22	5
PE161009	5	8888	24	2
PE161009	6	95	 	 
PE161012	1	56	17	1
PE161012	2	8888	20	18
PE161012	3	56	 	 
PE161013	1	64	4	9
PE161013	2	8888	16	13
PE161013	3	8888	16	1
PE161013	4	8888	18	17
PE161013	5	64	 	 
PE161033	1	1	14	1
PE161033	2	8888	18	13
PE161033	3	8888	20	9
PE161033	4	8888	-99	12
PE161033	5	1	 	 
PE161035	1	1	22	1
PE161035	2	8888	34	5
PE161035	3	1	 	 
PE161053	1	95	15	1
PE161053	2	8888	21	13
PE161053	3	8888	23	17
PE161053	4	95	 	 
PE161054	1	95	20	1
PE161054	2	8888	22	8
PE161054	3	95	 	 
PE161060	1	95	14	1
PE161060	2	8888	16	2
PE161060	3	95	 	 
PE161072	1	66	14	1
PE161072	2	8888	16	18
PE161072	3	66	 	 
PE161074	1	66	15	1
PE161074	2	8888	16	19
PE161074	3	8888	19	5
PE161074	4	8888	22	9
PE161074	5	66	 	 
PE161095	1	119	13	9
PE161095	2	8888	15	6
PE161095	3	8888	17	1
PE161095	4	8888	21	3
PE161095	5	8888	23	1
PE161095	6	8888	25	3
PE161095	7	119	 	 
PE161107	1	1	16	1
PE161107	2	8888	18	1
PE161107	3	8888	22	5
PE161107	4	1	 	 
PE161108	1	1	14	15
PE161108	2	8888	16	4
PE161108	3	8888	17	1
PE161108	4	8888	18	1
PE161108	5	8888	19	1
PE161108	6	8888	20	1
PE161108	7	8888	-99	12
PE161108	8	1	 	 
PE171002	1	1	14	13
PE171002	2	8888	18	1
PE171002	3	1	 	 
PE171003	1	1	 	 
PE171003	2	8888	16	2
PE171003	3	8888	21	4
PE171003	4	1	 	 
PE171004	1	1	21	1
PE171004	2	8888	21	8
PE171004	3	1	 	 
PE171013	1	64	13	2
PE171013	2	8888	20	3
PE171013	3	8888	 	1
PE171013	4	1	 	 
PE171016	1	1	18	2
PE171016	2	8888	23	1
PE171016	3	8888	30	1
PE171016	4	1	 	 
PE171022	1	64	6	2
PE171022	2	0	12	2
PE171022	3	8888	20	2
PE171022	4	64	 	 
PE171031	1	1	7	1
PE171031	2	0	9	15
PE171031	3	1	 	 
PE171044	1	1	8	1
PE171044	2	8888	14	3
PE171044	3	1	 	 
PE171049	1	1	24	1
PE171049	2	8888	24	2
PE171049	3	1	 	 
PE171064	1	5	10	5
PE171064	2	8888	20	13
PE171064	3	5	 	 
PE171065	1	5	14	1
PE171065	2	0	21	7
PE171065	3	5	 	 
PE171066	1	5	27	13
PE171066	2	5	 	 
PE171070	1	4	37	1
PE171070	2	8888	37	1
PE171070	3	4	 	 
PE171071	1	4	27	1
PE171071	2	0	27	1
PE171071	3	4	 	 
PE171072	1	4	15	1
PE171072	2	8888	 	 
PE171072	3	4	 	 
PE171075	1	1	17	1
PE171075	2	0	18	15
PE171075	3	8888	19	1
PE171075	4	8888	20	15
PE171075	5	1	 	 
PE171090	1	1	7	2
PE171090	2	8888	8	1
PE171090	3	8888	10	2
PE171090	4	1	 	 
PE171094	1	5	21	15
PE171094	2	8888	22	5
PE171094	3	5	 	 
PE171096	1	60	13	1
PE171096	2	0	15	10
PE171096	3	8888	23	15
PE171096	4	60	 	 
PE171105	1	65	15	1
PE171105	2	8888	15	1
PE171105	3	0	19	15
PE171105	4	8888	22	1
PE171105	5	0	23	1
PE171105	6	0	26	15
PE171105	7	65	 	 
PE181006	1	16	15	1
PE181006	2	8888	-99	19
PE181006	3	16	 	 
PE181016	1	16	16	1
PE181016	2	8888	18	15
PE181016	3	16	 	 
PE181033	1	16	11	2
PE181033	2	8888	14	15
PE181033	3	16	 	 
PE181045	1	23	19	13
PE181045	2	8888	23	8
PE181045	3	23	 	 
PE181066	1	11	12	10
PE181066	2	8888	17	14
PE181066	3	0	23	15
PE181066	4	11	 	 
PE181067	1	257	12	2
PE181067	2	8888	14	18
PE181067	3	8888	15	13
PE181067	4	8888	16	3
PE181067	5	257	 	 
PE181090	1	27	46	1
PE181090	2	8888	46	1
PE181090	3	27	 	 
PE181101	1	13	3	1
PE181101	2	8888	28	13
PE181101	3	8888	34	1
PE181101	4	8888	35	2
PE181101	5	13	 	 
PE191012	1	1	22	13
PE191012	2	8888	25	2
PE191012	3	1	 	 
PE191016	1	1	17	2
PE191016	2	8888	19	13
PE191016	3	1	 	 
PE191018	1	12	2	1
PE191018	2	0	4	1
PE191018	3	8888	17	2
PE191018	4	0	19	12
PE191018	5	8888	22	1
PE191018	6	8888	32	1
PE191018	7	12	 	 
PE191024	1	1	18	1
PE191024	2	8888	20	12
PE191024	3	1	 	 
PE191030	1	1	23	4
PE191030	2	8888	30	8
PE191030	3	8888	38	8
PE191030	4	1	 	 
PE191031	1	1	17	2
PE191031	2	8888	22	15
PE191031	3	1	 	 
PE191052	1	2	16	2
PE191052	2	8888	18	18
PE191052	3	8888	39	2
PE191052	4	8888	 	 
PE191055	1	2	18	2
PE191055	2	0	23	15
PE191055	3	2	 	 
PE191060	1	2	4	1
PE191060	2	8888	7	5
PE191060	3	2	 	 
PE191072	1	3	17	2
PE191072	2	8888	19	13
PE191072	3	3	 	 
PE191085	1	1	19	13
PE191085	2	8888	21	1
PE191085	3	8888	23	1
PE191085	4	8888	24	2
PE191085	5	1	 	 
PE191086	1	1	5	2
PE191086	2	8888	20	3
PE191086	3	8888	29	13
PE191086	4	1	 	 
PE191087	1	1	27	2
PE191087	2	8888	28	5
PE191087	3	1	 	 
PE191091	1	1	12	1
PE191091	2	8888	14	18
PE191091	3	8888	17	1
PE191091	4	1	 	 
PE191099	1	1	8	1
PE191099	2	8888	14	20
PE191099	3	1	 	 
PE201011	1	1	27	1
PE201011	2	8888	27	1
PE201011	3	1	 	 
PE201015	1	1	18	13
PE201015	2	8888	25	4
PE201015	3	1	 	 
PE201041	1	4	7	1
PE201041	2	8888	14	2
PE201041	3	8888	17	1
PE201041	4	8888	18	1
PE201041	5	8888	19	1
PE201041	6	8888	19	1
PE201041	7	8888	20	3
PE201041	8	8888	20	1
PE201041	9	4	 	 
PE201042	1	17	37	2
PE201042	2	8888	38	1
PE201042	3	17	 	 
PE201060	1	1	14	1
PE201060	2	8888	18	1
PE201060	3	8888	21	1
PE201060	4	8888	22	1
PE201060	5	1	 	 
PE201092	1	1	12	2
PE201092	2	8888	20	 
PE201092	3	1	 	 
