childid	orgid	orgcode	orgyrs	orgmths
PE041059	2	12	1	8
PE041059	3	11	6	8
PE041060	1	6	10	0
PE041060	2	11	4	8
PE041061	1	6	6	0
PE041063	1	6	15	0
PE041064	1	6	4	1
PE041065	1	6	17	0
PE041066	1	6	4	0
PE041066	2	12	2	0
PE041067	1	6	2	0
PE041067	2	11	2	0
PE041068	1	6	12	7
PE041069	1	6	5	0
PE041069	2	11	5	0
PE041070	1	6	4	6
PE041070	2	13	4	6
PE041071	1	6	10	0
PE041071	2	5	0	6
PE041071	3	11	0	8
PE041072	1	6	5	0
PE041072	2	12	2	0
PE041073	1	6	4	10
PE041074	1	6	5	0
PE041075	1	6	4	6
PE041076	1	6	5	3
PE041077	1	6	5	0
PE041077	2	11	5	0
PE041078	1	6	5	4
PE041078	2	12	0	2
PE041079	1	6	4	0
PE041079	2	5	1	2
PE041079	3	5	1	2
PE041079	4	5	1	2
PE041079	5	5	1	2
PE041079	6	5	1	2
PE041079	7	5	1	2
PE041080	1	6	1	0
PE041080	2	12	2	0
PE041081	1	6	9	0
PE041082	1	6	10	0
PE041083	1	6	3	0
PE041085	1	6	0	1
PE041085	2	11	0	5
PE041085	3	12	0	5
PE041086	1	6	5	0
PE041087	1	6	4	0
PE041087	2	10	0	6
PE041088	1	6	5	3
PE041089	1	6	10	11
PE041089	2	11	9	11
PE041090	1	6	8	8
PE041091	1	6	4	6
PE041091	2	11	0	6
PE041092	1	6	0	11
PE041093	1	6	4	11
PE041093	2	11	2	0
PE041094	1	6	6	11
PE041094	2	11	0	7
PE041096	1	6	6	0
PE041096	2	11	1	0
PE041096	3	12	2	0
PE041097	1	6	8	0
PE041097	2	13	2	0
PE041097	3	11	2	0
PE041098	1	6	15	0
PE041099	1	6	3	10
PE041100	1	6	4	5
PE041101	1	11	4	6
PE051001	1	12	0	2
PE051002	1	12	1	0
PE051003	1	6	5	0
PE051004	1	6	4	1
PE051005	1	6	1	0
PE051005	2	12	2	0
PE051007	1	6	5	7
PE051007	2	11	4	0
PE051008	1	6	2	0
PE051008	2	8	1	0
PE051009	1	12	0	9
PE051010	1	6	5	7
PE051010	2	12	0	8
PE051012	1	11	6	0
PE051013	1	11	7	0
PE051014	1	6	4	0
PE051015	1	6	7	0
PE051016	1	6	14	4
PE051016	2	11	3	0
PE051018	1	12	1	7
PE051020	1	9	1	0
PE051020	2	12	2	0
PE051021	1	6	5	0
PE051021	2	12	0	7
PE051021	3	13	0	1
PE051022	1	6	2	0
PE051024	1	6	1	0
PE051024	2	12	2	0
PE051025	1	6	5	0
PE051025	2	12	5	0
PE051026	1	6	11	0
PE051026	2	11	11	0
PE051027	1	6	10	0
PE051027	2	11	5	0
PE051028	1	6	5	0
PE051028	2	12	2	0
PE051029	1	6	5	6
PE051029	2	12	0	9
PE051030	1	6	5	0
PE051030	2	13	0	3
PE051032	1	6	5	0
PE051032	2	12	6	0
PE051033	1	6	5	0
PE051033	2	12	1	7
PE051034	1	6	3	0
PE051034	2	12	2	0
PE051035	1	11	3	0
PE051035	2	12	0	8
PE051036	1	6	3	0
PE051037	1	11	2	0
PE051038	1	6	5	7
PE051038	2	12	1	0
PE051039	1	6	6	0
PE051039	2	12	0	9
PE051040	1	6	4	0
PE051040	2	13	2	0
PE051041	1	6	5	0
PE051041	2	12	1	0
PE051042	1	12	10	0
PE051043	1	11	1	8
PE051045	1	6	18	0
PE051045	2	11	18	0
PE051046	1	6	2	0
PE051046	2	12	0	8
PE051048	1	6	7	0
PE051049	1	6	4	7
PE051049	2	12	0	3
PE051052	1	6	11	0
PE051052	2	11	11	0
PE051052	3	8	11	0
PE051058	1	11	10	0
PE051059	1	6	5	2
PE051060	1	6	9	0
PE051060	2	11	3	0
PE051061	1	6	3	0
PE051061	2	12	1	0
PE051062	1	6	2	0
PE051062	2	11	0	9
PE051062	3	8	4	0
PE051063	1	13	1	2
PE051064	1	6	4	7
PE051065	1	6	0	8
PE051068	1	11	2	0
PE051069	1	6	3	0
PE051071	1	6	6	0
PE051072	1	11	10	0
PE051073	1	6	5	0
PE051074	1	11	3	0
PE051075	1	6	12	0
PE051076	1	11	10	0
PE051077	1	8	0	9
PE051077	2	6	10	5
PE051077	3	11	4	5
PE051078	1	6	5	0
PE051080	1	6	2	0
PE051080	2	9	0	5
PE051080	3	11	4	9
PE051081	1	6	5	0
PE051081	2	11	6	0
PE051082	1	6	9	0
PE051082	2	11	2	0
PE051083	1	6	1	0
PE051083	2	8	1	0
PE051083	3	11	3	0
PE051084	1	6	1	6
PE051085	1	12	2	11
PE051085	2	11	2	11
