CHILDCODE	DNFDIDR4	DONTYPR5	DONRCVR5	DONAMTR5	DONMSRR5	DONPRCR5	PRCMSRR5
31034	2	10	40	1	9	4	9
31034	3	9	40	1	7	.300000011920929	7
31034	4	10	40	1	8	1	8
31034	5	10	40	1	9	6	9
31034	6	10	40	1	9	6	9
31036	1	1	12	3	6	3.29999995231628	6
31036	2	3	12	1	2	3	2
31036	4	9	10	1	10	1	10
31036	5	10	40	1	5	1	5
31036	6	10	40	1	5	1	5
31036	7	10	40	1	5	1	5
31036	8	10	40	1	5	1	5
31037	1	1	280	1	8	1	8
31037	2	9	280	1	7	.300000011920929	7
31037	3	10	280	1	5	4	5
31040	1	10	200	2	9	2	9
31040	2	10	200	2	8	1	8
31040	3	9	200	2	7	.5	7
31043	1	10	40	1	5	2	5
31043	2	10	40	1	5	2	8
31043	3	7	40	1	6	2	6
31043	4	10	40	1	8	1	8
31043	5	10	40	1	8	2	8
31045	1	10	20	1	9	5	9
31046	1	9	200	1	7	.400000005960464	7
31046	2	10	200	1	8	.5	8
31046	3	10	80	1	9	3	9
31046	4	10	40	1	9	4	9
31046	5	10	40	1	9	3	9
31047	1	1	6	4	6	3	6
31047	2	3	6	2	2	2	2
31048	1	10	40	1	5	1	5
31048	2	10	80	1	5	1	5
31048	3	10	200	1	8	1	8
31048	4	9	200	1	10	.5	10
31048	5	10	40	1	9	1.5	9
31048	6	1	36	6	6	18	6
31048	7	3	18	3	2	9	2
31049	1	1	12	3	6	9	6
31049	2	3	12	1	2	5	2
31050	1	10	240	1	5	3	5
31050	2	10	80	1	5	3	5
31050	3	10	80	1	5	3	5
31050	4	10	400	1	8	1	8
31050	5	9	400	1	7	.5	7
31051	1	10	50	1	8	1	8
31051	2	10	50	1	9	5	9
31051	3	10	50	1	9	5	9
31051	4	9	50	1	7	.5	7
31051	5	10	50	1	9	5	9
31052	1	1	12	3	6	3	6
31053	1	9	200	1	7	.5	7
31053	2	10	200	1	8	1	8
31053	3	10	80	1	5	3	5
31053	4	10	120	1	5	3	5
31055	1	1	480	4	8	1	8
31055	2	9	480	3	7	.5	7
31055	3	10	120	3	5	5	5
31055	4	10	120	3	5	5	5
31055	5	10	120	3	5	5	5
31055	6	10	90	3	5	5	5
31059	1	1	216	1	8	1	8
31059	2	3	144	3	8	1	8
31059	3	9	216	3	7	.5	7
31059	4	10	216	3	5	5	5
31059	5	10	216	3	4	5	5
31059	6	10	144	3	5	5	5
31061	1	1	12	6	6	3.20000004768372	6
31061	2	3	12	2	2	3	2
31061	3	10	200	4	9	2	9
31061	4	10	200	4	8	.5	8
31061	5	9	200	4	7	.5	7
31062	1	10	80	2	9	4	9
31062	2	10	80	2	8	2.5	8
31062	3	9	80	2	7	.5	7
31062	4	10	80	2	9	4	9
31063	1	10	40	1	5	1	5
31063	2	9	40	1	7	.5	7
31063	3	10	40	1	5	1	5
31063	4	10	40	1	5	1	5
31063	5	10	40	1	8	1	8
31069	1	10	120	3	8	1	8
31069	2	10	120	3	9	3	9
31069	3	10	120	3	9	3	9
31069	4	10	120	3	5	1	5
31069	5	9	120	3	7	.300000011920929	7
31073	1	10	40	2	9	5	9
31073	2	10	40	2	9	5	9
31073	3	10	40	2	9	2	9
31073	4	10	40	2	9	5	9
31073	5	10	40	2	9	5	9
31073	6	10	200	2	8	1	8
31073	7	9	40	2	7	.5	7
31075	1	9	200	2	7	.300000011920929	7
31075	2	10	200	2	8	1.20000004768372	8
31075	3	10	200	2	5	3.5	5
31076	1	10	80	3	8	1	8
31076	2	10	120	3	8	1	8
31076	3	10	80	2	9	6	9
31076	4	10	160	3	9	6	9
31080	1	10	50	1	9	5	9
31080	2	10	50	1	9	5	9
31080	3	10	50	1	8	1	8
31080	4	9	50	1	7	.5	7
31080	5	10	50	1	8	1	8
31081	1	10	40	1	8	1	8
31081	2	10	40	1	8	1	8
31081	3	9	150	1	7	.300000011920929	7
31081	4	10	40	1	9	5	9
31081	5	10	40	1	9	5	9
31081	6	10	40	1	9	5	9
31081	7	10	40	1	9	5	9
31083	1	10	270	1	8	2	8
31083	2	10	270	1	9	3	9
31083	3	1	12	6	6	18	6
31083	4	3	12	1	2	3	2
31084	1	1	12	3	6	3	6
31084	2	3	12	1	2	3	2
31085	1	10	240	1	5	3	5
31085	2	10	89	1	5	3	4
31085	3	10	89	1	5	3	5
31085	4	10	400	1	8	1	8
31085	5	8	400	1	7	.5	7
31086	1	10	120	1	5	1	5
31086	2	10	80	1	5	2	5
31086	3	10	200	1	8	1	8
31086	4	9	200	1	7	.300000011920929	6
31088	1	10	40	1	9	1	9
31088	2	10	80	1	5	1	5
31088	3	10	200	1	8	1	8
31088	4	9	200	1	10	1	10
31088	5	10	40	1	5	1	5
31088	6	10	40	1	5	1	5
31088	7	1	60	10	6	2.79999995231628	6
31088	8	3	12	2	2	4	2
31089	1	1	250	1	8	1	8
31089	2	9	250	1	7	.300000011920929	7
31089	3	10	80	1	5	3	5
31089	4	10	80	1	5	2	5
31089	5	10	60	1	5	3	5
31090	1	10	40	1	5	1	5
31090	2	10	120	1	5	1	5
31090	3	10	40	1	5	1	5
31090	4	10	200	1	8	1	8
31090	5	9	200	1	10	1	10
31091	1	9	160	1	7	.300000011920929	7
31091	2	10	120	1	8	.5	8
31091	3	10	40	1	8	1	8
31091	4	10	40	1	8	1	8
31091	5	10	120	1	9	3	9
31091	6	10	80	1	9	3	9
31092	1	1	100	1	8	1	8
31092	2	9	30	1	7	.5	7
31092	3	10	50	1	5	2.5	5
31092	4	10	40	1	5	3	5
31092	5	6	40	1	5	3	5
31093	1	1	240	2	8	1	8
31093	2	10	90	2	5	5	5
31093	3	10	90	2	5	5	5
31093	4	10	90	2	5	5	5
31093	5	9	240	2	7	.5	7
31093	6	1	36	3	6	3	6
31094	1	8	1	1	10	40	10
31094	2	8	1	1	10	35	10
31096	1	1	300	2	7	1	6
31096	2	10	300	2	7	.5	7
31096	3	1	18	1	7	1.79999995231628	7
31096	4	3	4	1	4	4	4
31096	5	9	300	2	7	.5	7
31096	6	15	2	2	10	10	10
31099	1	10	192	3	5	14	5
31100	1	9	40	1	7	.5	7
31100	2	10	40	1	9	5	9
31100	3	10	40	1	9	5	9
31100	4	10	40	1	8	1	8
41001	1	10	140	1	8	1	8
41001	2	9	140	1	7	.300000011920929	7
41001	3	1	60	10	6	3	7
41001	4	3	24	2	4	4	4
41002	1	10	200	1	8	1	9
41002	2	10	200	1	9	5	9
41002	3	10	200	1	8	1	8
41002	4	9	200	1	7	.5	7
41002	5	10	200	1	9	5	9
41005	1	1	6	10	6	3	6
41005	2	3	6	4	2	3	2
41005	3	10	40	2	8	1	8
41005	4	10	40	2	8	1.5	8
41005	5	10	40	2	8	1	8
41005	6	10	40	2	9	2	9
41005	7	10	40	2	9	2	9
41008	1	3	12	60	6	4	7
41009	1	10	300	2	8	1	8
41009	2	9	300	2	7	.5	8
41009	3	1	12	10	7	3	7
41009	4	3	12	1.5	4	1	4
41010	1	10	200	2	5	1	5
41010	2	10	200	2	5	3	5
41011	1	10	600	2	5	1	5
41011	2	10	600	2	5	4	5
41011	3	3	1	3	2	2	2
41011	4	10	1	12	6	3	6
41012	1	1	200	2	8	2	8
41012	2	1	100	2	8	2	8
41012	3	6	100	2	5	3	5
41012	4	10	100	2	5	3	5
41012	5	10	100	2	5	3	5
41012	6	10	100	2	5	3	5
41014	1	10	350	1	8	2	8
41014	2	9	350	1	7	.300000011920929	7
41014	3	10	350	1	5	3	5
41016	1	10	200	1	8	1	8
41016	2	9	200	2	7	.25	7
41016	3	10	200	1	5	5	5
41016	4	1	1	6	6	3	6
41018	1	10	300	1	8	.5	8
41018	2	9	300	1	7	.300000011920929	7
41018	3	10	300	1	5	2	5
41020	1	10	120	1	6	2	6
41020	2	10	80	1	6	1	6
41020	3	10	80	1	9	5	9
41020	4	10	120	1	9	5	9
41023	1	10	50	2	9	5	9
41023	2	10	50	2	9	5	9
41023	3	10	50	2	9	5	9
41023	4	10	200	2	8	1	8
41023	5	9	50	2	7	.5	7
41025	1	10	80	2	8	1	8
41025	2	10	80	2	8	1	8
41025	3	10	40	2	8	1	8
41025	4	10	4	2	9	5	9
41025	5	10	4	2	9	5	9
41025	6	10	40	2	9	5	9
41025	7	9	200	2	7	.300000011920929	7
41027	1	1	180	2	8	1	8
41027	2	10	100	2	5	5	5
41027	3	10	100	2	5	5	5
41027	4	10	100	2	5	5	5
41027	5	9	180	2	7	.5	7
41027	6	10	80	2	5	5	5
41027	7	10	50	2	5	5	5
41029	1	10	200	1	5	1	5
41029	2	10	200	1	5	4	5
41030	1	1	1	9	6	2.79999995231628	6
41030	2	10	32	1	8	2	8
41030	3	10	32	1	8	2	8
41030	4	10	32	1	8	2	8
41030	5	10	32	1	8	2	8
41030	6	10	200	1	9	3.5	9
41031	1	1	4	9	6	3	6
41031	2	3	4	5	2	2	2
41031	3	10	240	1	8	.5	8
41031	4	10	120	1	5	1	5
41031	5	10	40	1	5	1	5
41031	6	10	40	1	5	1	5
41032	1	10	200	4	9	5	9
41032	2	10	200	4	9	5	9
41032	3	10	200	4	9	5	9
41032	4	10	200	4	8	1	8
41032	5	9	200	4	7	.5	7
41032	6	1	12	12	6	3.5	6
41032	7	3	12	8	2	8	2
41033	1	3	80	2	8	1	8
41033	2	9	80	2	7	.5	7
41033	3	10	80	2	9	1.5	9
41034	1	10	400	1	8	1	8
41034	2	10	200	1	5	2	5
41034	3	10	200	1	5	2	5
41034	4	9	400	1	7	.5	7
41035	1	10	1	200	5	1	5
41035	2	10	200	1	5	1.5	5
41035	3	10	200	2	5	1.5	5
41035	4	10	200	2	5	3	5
41036	1	15	12	15	7	.300000011920929	7
41037	1	10	40	1	9	1	9
41037	2	3	40	1	8	1	8
41037	3	9	40	1	7	.5	7
41038	1	1	4	6	6	3.5	6
41038	2	3	4	6	2	5	2
41039	1	10	200	2	8	1	8
41039	2	10	200	2	5	2	5
41039	3	10	200	2	5	2	4
41039	4	8	200	2	7	.5	7
41040	1	1	12	3	6	3.5	6
41040	2	3	12	2	2	8	2
41040	3	10	200	1	9	5	9
41040	4	10	200	1	8	1	8
41040	5	9	200	1	7	.5	7
41041	1	1	360	2	8	2	8
41041	2	9	360	2	7	.600000023841858	7
41041	3	10	100	2	5	3	5
41041	4	10	100	2	5	3	5
41041	5	10	50	2	7	3	5
41041	6	10	50	2	5	3	5
41042	1	10	200	1	8	1	8
41042	2	9	200	1	7	.5	7
41042	3	10	120	1	5	1	5
41042	4	10	40	1	5	1	5
41042	5	10	40	1	5	1	5
41043	1	10	200	1	5	2	5
41043	2	10	200	1	5	5	5
41044	1	10	200	1	5	1	5
41044	2	10	200	1	5	4	5
41045	1	1	300	1	6	1.5	7
41045	2	9	300	1	7	.5	7
41045	3	10	150	1	7	.400000005960464	7
41046	1	10	120	2	8	1	8
41046	2	10	80	2	8	1	8
41046	3	9	150	2	7	.300000011920929	7
41046	4	10	120	2	9	4	9
41046	5	10	80	2	9	4	9
41047	1	1	6	12	6	3	6
41047	2	3	6	4	2	2	2
41047	3	10	40	1	5	1	5
41047	4	10	120	1	5	1.5	5
41047	5	10	200	1	8	1	8
41047	6	9	200	1	7	.5	7
41048	1	10	360	1	8	2	8
41048	2	9	360	1	7	.5	7
41048	3	10	360	1	5	5	5
41050	1	10	200	1	9	3	9
41050	2	10	200	1	9	5	9
41050	3	10	200	1	9	5	9
41050	4	10	200	1	9	1	9
41050	5	10	200	1	7	.5	7
41054	1	1	2	9	6	3.5	6
41054	2	3	2	3	2	4	2
41055	1	1	150	1	8	1	8
41055	2	10	50	1	5	3	5
