CHILDCODE	SRMNIDR5	SRCRECR5	RCVLSTR5	OFTRCVR5	RCVAMTR5
31019	2	0	 	 	 
31019	3	0	 	 	 
31020	1	1	200	6	1200
31020	2	0	 	 	 
31020	3	0	 	 	 
31021	1	1	200	6	1200
31021	2	1	250	6	1500
31021	3	0	 	 	 
31022	1	0	 	 	 
31022	2	1	500	6	3000
31022	3	0	 	 	 
31023	1	1	200	6	1200
31023	2	0	 	 	 
31023	3	0	 	 	 
31024	1	1	200	6	1200
31024	2	0	 	 	 
31024	3	0	 	 	 
31025	1	0	 	 	 
31025	2	0	 	 	 
31025	3	0	 	 	 
31026	1	1	200	6	1200
31026	2	0	 	 	 
31026	3	0	 	 	 
31027	1	1	200	2	400
31027	2	0	 	 	 
31027	3	0	 	 	 
31028	1	1	200	6	1200
31028	2	0	 	 	 
31028	3	0	 	 	 
31029	1	0	 	 	 
31029	2	0	 	 	 
31029	3	0	 	 	 
31030	1	0	 	 	 
31030	2	0	 	 	 
31030	3	0	 	 	 
31031	1	0	 	 	 
31031	2	0	 	 	 
31031	3	0	 	 	 
31032	1	0	 	 	 
31032	2	0	 	 	 
31032	3	0	 	 	 
31033	1	0	 	 	 
31033	2	0	 	 	 
31033	3	0	 	 	 
31034	1	1	200	6	1200
31034	2	0	 	 	 
31034	3	0	 	 	 
31035	1	1	6	2	1200
31035	2	0	 	 	 
31035	3	0	 	 	 
31036	1	1	200	6	1200
31036	2	0	 	 	 
31036	3	0	 	 	 
31037	1	0	 	 	 
31037	2	0	 	 	 
31037	3	0	 	 	 
31038	1	0	 	 	 
31038	2	0	 	 	 
31038	3	0	 	 	 
31039	1	1	200	4	800
31039	2	0	 	 	 
31039	3	0	 	 	 
31040	1	0	 	 	 
31040	2	0	 	 	 
31040	3	0	 	 	 
31041	1	0	 	 	 
31041	2	0	 	 	 
31041	3	0	 	 	 
31042	1	0	 	 	 
31042	2	0	 	 	 
31042	3	0	 	 	 
31043	1	0	 	 	 
31043	2	0	 	 	 
31043	3	0	 	 	 
31044	1	0	 	 	 
31044	2	0	 	 	 
31044	3	0	 	 	 
31045	1	1	200	6	1200
31045	2	0	 	 	 
31045	3	0	 	 	 
