CHILDCODE	MEMIDR5	EXISTHH	ALIVE	PANELSIB	MEMMOVR5	RELATER4	RELATER5	CAREGVR5	LIVHSER5	YRDIEDR5	AGER4	MEMAGER5	MEMSEXR5	CHLBRNR5	WHRNOWR5	SEENMER5	EVRLVDR5	LNGLVDR5	GETMOMBIRTH	GETCHILDBIRTH	MTHBRNR5	RELHHR5	MRTLSTR5	MTHRHHR5	FTHRHHR5	THSDISR5	BRNDISR5	GRADER5	STILLR5	SCHTYPR5	LSTTYPR5	ATTPRER5	AGESTR5	AGEGRDR5	SLEEPR5	CHCARER5	HHCHRER5	NPYWRKR5	PAYWRKR5	SCHOOLR5	STUDYR5	PLAYR5	MEMCNSR5	MEMHLTR5	MEMDISBR5	MEMAFCR5	MEMLNGR5	MLNHLR51	HTSFFR51	MEMSMKR5	SMKHSER5	DYSSMKR5	MEMALCR5	DYSALCR5
11011	2	1	1	0	 	1	1	1	1	 	38	41	2	0	 	 	 	 	0	0	 	2	3	98	98	 	 	8	0	 	4	 	 	 	 	 	 	 	 	 	 	 	N	3	0	 	1	7	0	0	 	1	0	 
11011	15	1	1	0	 	7	7	0	1	 	14	17	1	 	 	 	 	 	0	0	5	3	6	2	1	 	 	11	0	 	4	1	6	16	10	10	2	0	3	0	0	3	N	 	 	 	 	 	 	 	 	 	 	 
11011	16	1	1	1	 	7	7	0	1	 	9	12	1	 	 	 	 	 	0	0	4	3	 	2	1	 	 	7	1	4	 	1	6	 	8	0	2	0	0	7	0	5	N	4	0	 	0	 	 	0	 	1	0	 
11011	17	1	1	0	 	7	7	0	1	 	2	4	2	 	 	 	 	 	0	0	 	3	 	2	1	 	 	20	1	4	 	1	 	 	8	0	0	0	0	6	0	8	N	 	 	 	 	 	 	 	 	 	 	 
11012	0	1	1	0	 	0	0	 	1	 	12	15	2	 	 	 	 	 	0	0	5	3	6	2	1	 	 	10	1	4	 	1	5	 	8	3	1	0	0	7	2	4	N	 	 	 	 	 	 	 	 	 	 	 
11012	1	1	1	0	 	1	1	0	1	 	41	44	1	 	 	 	 	 	0	0	 	1	1	98	98	 	 	13	0	 	4	 	 	 	 	 	 	 	 	 	 	 	N	4	0	 	0	 	 	0	 	1	1	4
11012	2	1	1	0	 	1	1	1	1	 	41	44	2	0	 	 	 	 	0	0	 	2	1	98	98	 	 	14	0	 	4	 	 	 	 	 	 	 	 	 	 	 	N	4	0	 	0	 	 	0	 	1	1	4
11012	15	1	1	0	 	7	7	0	1	 	14	17	1	 	 	 	 	 	0	0	3	3	6	2	1	 	 	15	1	4	 	1	5	 	6	0	1	0	0	6	4	5	N	 	 	 	 	 	 	 	 	 	 	 
11012	16	1	 	0	 	20	20	0	4	 	-88	-88	2	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11012	17	1	 	0	 	20	20	0	4	 	-88	-88	2	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11012	18	1	1	0	 	7	7	0	1	 	5	8	1	 	 	 	 	 	0	0	8	3	 	2	1	 	 	3	1	4	 	1	6	 	9	0	0	0	0	6	2	5	N	 	 	 	 	 	 	 	 	 	 	 
11013	0	1	1	0	 	0	0	 	1	 	12	15	2	 	 	 	 	 	0	0	7	3	6	2	1	 	 	9	1	4	 	1	5	 	8	0	2	0	0	6	3	4	N	 	 	 	 	 	 	 	 	 	 	 
11013	1	1	1	0	 	1	1	0	1	 	31	34	1	 	 	 	 	 	0	0	 	1	1	98	3	 	 	10	0	 	4	 	 	 	 	 	 	 	 	 	 	 	N	3	0	 	0	 	 	0	 	1	1	3
11013	2	1	1	0	 	1	1	1	1	 	32	35	2	0	 	 	 	 	0	0	 	2	1	98	98	 	 	11	0	 	4	 	 	 	 	 	 	 	 	 	 	 	N	3	0	 	0	 	 	0	 	1	1	4
11013	3	1	1	0	 	6	6	0	1	 	-88	60	1	 	 	 	 	 	0	0	 	6	4	98	98	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
11013	4	1	0	0	 	6	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11013	5	1	1	0	 	13	13	0	1	 	-88	32	1	 	 	 	 	 	0	0	 	7	6	98	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
11013	6	1	1	0	 	13	13	0	1	 	-88	30	2	 	 	 	 	 	0	0	 	7	3	98	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
11013	7	1	1	1	 	7	7	0	1	 	9	12	2	 	 	 	 	 	0	0	12	3	 	2	1	 	 	1	1	4	 	1	6	 	8	0	2	0	0	6	2	6	N	4	0	 	0	 	 	0	 	1	0	 
11013	8	1	1	0	 	7	7	0	1	 	7	10	2	 	 	 	 	 	0	0	9	3	 	2	1	 	 	5	1	4	 	1	6	 	10	0	0	0	0	6	1	6	N	 	 	 	 	 	 	 	 	 	 	 
11013	9	1	1	0	 	7	7	0	1	 	4	7	1	 	 	 	 	 	0	0	3	3	 	2	1	 	 	2	1	4	 	1	6	 	8	0	0	0	0	6	3	5	N	 	 	 	 	 	 	 	 	 	 	 
11013	10	1	1	0	 	7	7	0	1	 	2	5	1	 	 	 	 	 	0	0	4	3	 	2	1	 	 	20	1	4	 	1	 	 	9	0	0	0	0	5	0	8	N	 	 	 	 	 	 	 	 	 	 	 
11014	0	1	1	0	 	0	0	 	1	 	11	14	1	 	 	 	 	 	0	0	12	3	6	1	98	 	 	9	1	4	 	1	7	 	9	0	1	0	0	6	0	8	N	 	 	 	 	 	 	 	 	 	 	 
11014	1	1	1	0	 	1	1	1	1	 	29	32	2	0	 	 	 	 	0	0	 	1	2	98	98	 	 	11	0	 	4	 	 	 	 	 	 	 	 	 	 	 	N	3	0	 	0	 	 	0	 	1	0	 
11014	2	1	1	0	 	1	1	0	4	 	70	73	1	 	3	6	1	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11014	3	1	1	0	 	5	5	0	4	 	60	63	2	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11014	4	1	1	0	 	13	13	0	4	 	27	30	2	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11014	5	1	1	0	 	13	13	0	4	 	25	28	1	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11014	6	1	1	0	 	13	13	0	4	 	22	25	1	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11014	15	1	1	0	 	7	7	0	1	 	14	17	2	 	 	 	 	 	0	0	7	3	6	1	98	 	 	11	1	4	 	1	6	 	6	5	5	0	0	6	0	3	N	 	 	 	 	 	 	 	 	 	 	 
11014	16	1	1	1	 	9	9	0	1	 	8	11	1	 	 	 	 	 	0	0	10	3	 	1	98	 	 	7	1	4	 	1	6	 	6	0	2	1	0	6	0	8	N	4	0	 	0	 	 	 	 	 	 	 
11014	17	1	1	0	 	2	2	0	4	 	35	38	1	 	77	6	1	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11014	18	1	1	0	 	9	9	0	1	 	4	7	1	 	 	 	 	 	0	0	11	3	 	1	98	 	 	2	1	4	 	1	6	 	8	0	0	1	0	7	0	6	N	 	 	 	 	 	 	 	 	 	 	 
11015	0	1	1	0	 	0	0	 	1	 	12	15	1	 	 	 	 	 	0	0	9	3	6	2	98	 	 	9	1	3	 	1	6	 	9	3	1	2	0	5	3	2	N	 	 	 	 	 	 	 	 	 	 	 
11015	1	1	1	0	 	1	1	0	3	2016	-88	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11015	2	1	1	0	 	1	1	1	1	 	28	31	2	0	 	 	 	 	0	0	 	2	1	98	98	 	 	10	0	 	4	 	 	 	 	 	 	 	 	 	 	 	N	4	0	 	0	 	 	0	 	1	1	4
