CHILDCODE	LANDIDR5	LNDTYPR5	ALQTYR5	ALUNTR5	ALMUSER5	ALPRIRR5	NALQTYR5	NALUNTR5	NAMUSER5	BSLQTYR5	BSLUNTR5	BSMUSER5
11057	7	N	 	 	 	 	 	 	 	 	 	 
11059	1	N	 	 	 	 	 	 	 	 	 	 
11059	2	N	 	 	 	 	 	 	 	 	 	 
11059	3	N	 	 	 	 	 	 	 	 	 	 
11059	4	Y	 	 	 	 	30	1	1	0	 	 
11059	5	N	 	 	 	 	 	 	 	 	 	 
11059	6	N	 	 	 	 	 	 	 	 	 	 
11059	7	N	 	 	 	 	 	 	 	 	 	 
11060	1	Y	 	 	 	 	75	1	1	0	 	 
11060	2	N	 	 	 	 	 	 	 	 	 	 
11060	3	N	 	 	 	 	 	 	 	 	 	 
11060	4	N	 	 	 	 	 	 	 	 	 	 
11060	5	N	 	 	 	 	 	 	 	 	 	 
11060	6	N	 	 	 	 	 	 	 	 	 	 
11060	7	N	 	 	 	 	 	 	 	 	 	 
11061	1	Y	 	 	 	 	80	1	1	0	 	 
11061	2	N	 	 	 	 	 	 	 	 	 	 
11061	3	N	 	 	 	 	 	 	 	 	 	 
11061	4	N	 	 	 	 	 	 	 	 	 	 
11061	5	N	 	 	 	 	 	 	 	 	 	 
11061	6	N	 	 	 	 	 	 	 	 	 	 
11061	7	N	 	 	 	 	 	 	 	 	 	 
11062	1	Y	 	 	 	 	220	1	1	0	 	 
11062	2	N	 	 	 	 	 	 	 	 	 	 
11062	3	N	 	 	 	 	 	 	 	 	 	 
11062	4	N	 	 	 	 	 	 	 	 	 	 
11062	5	N	 	 	 	 	 	 	 	 	 	 
11062	6	N	 	 	 	 	 	 	 	 	 	 
11062	7	N	 	 	 	 	 	 	 	 	 	 
11063	1	Y	 	 	 	 	120	1	1	0	 	 
11063	2	N	 	 	 	 	 	 	 	 	 	 
11063	3	N	 	 	 	 	 	 	 	 	 	 
11063	4	N	 	 	 	 	 	 	 	 	 	 
11063	5	N	 	 	 	 	 	 	 	 	 	 
11063	6	N	 	 	 	 	 	 	 	 	 	 
11063	7	N	 	 	 	 	 	 	 	 	 	 
11064	1	Y	 	 	 	 	120	1	3	0	 	 
11064	2	N	 	 	 	 	 	 	 	 	 	 
11064	3	N	 	 	 	 	 	 	 	 	 	 
11064	4	N	 	 	 	 	 	 	 	 	 	 
11064	5	N	 	 	 	 	 	 	 	 	 	 
11064	6	N	 	 	 	 	 	 	 	 	 	 
11064	7	Y	 	 	 	 	0	 	 	148.5	1	11
11065	1	Y	 	 	 	 	184	1	1	0	 	 
11065	2	N	 	 	 	 	 	 	 	 	 	 
11065	3	N	 	 	 	 	 	 	 	 	 	 
11065	4	N	 	 	 	 	 	 	 	 	 	 
11065	5	N	 	 	 	 	 	 	 	 	 	 
11065	6	N	 	 	 	 	 	 	 	 	 	 
11065	7	N	 	 	 	 	 	 	 	 	 	 
11066	1	Y	 	 	 	 	40	1	1	0	 	 
11066	2	N	 	 	 	 	 	 	 	 	 	 
11066	3	N	 	 	 	 	 	 	 	 	 	 
11066	4	N	 	 	 	 	 	 	 	 	 	 
11066	5	N	 	 	 	 	 	 	 	 	 	 
11066	6	N	 	 	 	 	 	 	 	 	 	 
11066	7	N	 	 	 	 	 	 	 	 	 	 
11067	1	N	 	 	 	 	 	 	 	 	 	 
11067	2	N	 	 	 	 	 	 	 	 	 	 
11067	3	N	 	 	 	 	 	 	 	 	 	 
11067	4	N	 	 	 	 	 	 	 	 	 	 
11067	5	N	 	 	 	 	 	 	 	 	 	 
11067	6	N	 	 	 	 	 	 	 	 	 	 
11067	7	Y	 	 	 	 	75	1	1	0	 	 
11068	1	N	 	 	 	 	 	 	 	 	 	 
11068	2	N	 	 	 	 	 	 	 	 	 	 
11068	3	N	 	 	 	 	 	 	 	 	 	 
11068	4	Y	 	 	 	 	30	1	3	0	 	 
11068	5	N	 	 	 	 	 	 	 	 	 	 
11068	6	N	 	 	 	 	 	 	 	 	 	 
11068	7	N	 	 	 	 	 	 	 	 	 	 
11069	1	Y	 	 	 	 	76	1	1	0	 	 
11069	2	N	 	 	 	 	 	 	 	 	 	 
11069	3	N	 	 	 	 	 	 	 	 	 	 
11069	4	N	 	 	 	 	 	 	 	 	 	 
11069	5	N	 	 	 	 	 	 	 	 	 	 
11069	6	N	 	 	 	 	 	 	 	 	 	 
11069	7	N	 	 	 	 	 	 	 	 	 	 
11070	1	Y	 	 	 	 	150	1	1	0	 	 
11070	2	N	 	 	 	 	 	 	 	 	 	 
11070	3	N	 	 	 	 	 	 	 	 	 	 
11070	4	N	 	 	 	 	 	 	 	 	 	 
11070	5	N	 	 	 	 	 	 	 	 	 	 
11070	6	N	 	 	 	 	 	 	 	 	 	 
11070	7	N	 	 	 	 	 	 	 	 	 	 
11071	1	Y	 	 	 	 	147	1	1	0	 	 
11071	2	N	 	 	 	 	 	 	 	 	 	 
11071	3	N	 	 	 	 	 	 	 	 	 	 
11071	4	N	 	 	 	 	 	 	 	 	 	 
11071	5	N	 	 	 	 	 	 	 	 	 	 
11071	6	N	 	 	 	 	 	 	 	 	 	 
11071	7	N	 	 	 	 	 	 	 	 	 	 
11072	1	Y	 	 	 	 	175	1	1	0	 	 
11072	2	N	 	 	 	 	 	 	 	 	 	 
11072	3	N	 	 	 	 	 	 	 	 	 	 
11072	4	N	 	 	 	 	 	 	 	 	 	 
11072	5	N	 	 	 	 	 	 	 	 	 	 
11072	6	N	 	 	 	 	 	 	 	 	 	 
11072	7	N	 	 	 	 	 	 	 	 	 	 
11073	1	Y	 	 	 	 	36	1	1	0	 	 
11073	2	N	 	 	 	 	 	 	 	 	 	 
