CHILDCODE	NONFODR5	BGHTR5	SPYRR5	SPNMR5
11034	28	0	 	 
11034	29	1	2000	4
11034	30	0	 	 
11034	31	0	 	 
11035	1	0	 	 
11035	2	1	20	 
11035	3	0	 	 
11035	4	0	 	 
11035	5	0	 	 
11035	6	0	 	 
11035	7	0	 	 
11035	8	0	 	 
11035	9	0	 	 
11035	10	0	 	 
11035	11	0	 	 
11035	12	1	20	0
11035	13	0	 	 
11035	15	1	100	0
11035	16	0	 	 
11035	17	0	 	 
11035	18	1	20	1
11035	19	0	 	 
11035	20	0	 	 
11035	21	0	 	 
11035	22	0	 	 
11035	23	0	 	 
11035	24	0	 	 
11035	25	0	 	 
11035	26	0	 	 
11035	27	0	 	 
11035	28	0	 	 
11035	29	0	 	 
11035	30	0	 	 
11035	31	0	 	 
11036	1	1	70	 
11036	2	1	120	 
11036	3	1	90	0
11036	4	1	160	4
11036	5	1	80	 
11036	6	1	25	 
11036	7	1	50	0
11036	8	1	45	4
11036	9	0	 	 
11036	10	0	 	 
11036	11	0	 	 
11036	12	1	10	3
11036	13	0	 	 
11036	15	1	60	2
11036	16	0	 	 
11036	17	0	 	 
11036	18	1	150	4
11036	19	0	 	 
11036	20	0	 	 
11036	21	0	 	 
11036	22	0	 	 
11036	23	0	 	 
11036	24	0	 	 
11036	25	0	 	 
11036	26	1	600	0
11036	27	0	 	 
11036	28	0	 	 
11036	29	0	 	 
11036	30	0	 	 
11036	31	0	 	 
11037	1	1	200	 
11037	2	1	100	 
11037	3	0	 	 
11037	4	1	150	4
11037	5	1	50	 
11037	6	1	30	 
11037	7	0	 	 
11037	8	1	100	4
11037	9	1	40	4
11037	10	0	 	 
11037	11	1	30	4
11037	12	0	 	 
11037	13	0	 	 
11037	15	0	 	 
11037	16	0	 	 
11037	17	1	59	4
11037	18	1	50	4
11037	19	0	 	 
11037	20	0	 	 
11037	21	0	 	 
11037	22	1	120	4
11037	23	0	 	 
11037	24	0	 	 
11037	25	0	 	 
11037	26	0	 	 
11037	27	0	 	 
11037	28	0	 	 
11037	29	0	 	 
11037	30	0	 	 
11037	31	0	 	 
11038	1	0	 	 
11038	2	1	86	 
11038	3	0	 	 
11038	4	1	50	2
11038	5	1	35	 
11038	6	1	5	 
11038	7	0	 	 
11038	8	1	28	2
11038	9	0	 	 
11038	10	0	 	 
11038	11	0	 	 
11038	12	1	25	2
11038	13	0	 	 
11038	15	0	 	 
11038	16	0	 	 
11038	17	0	 	 
11038	18	1	25	1
11038	19	0	 	 
11038	20	0	 	 
11038	21	0	 	 
11038	22	0	 	 
11038	23	0	 	 
11038	24	0	 	 
11038	25	1	100	0
11038	26	0	 	 
11038	27	0	 	 
11038	28	0	 	 
11038	29	0	 	 
11038	30	0	 	 
11038	31	0	 	 
11039	1	1	170	 
11039	2	1	70	 
11039	3	0	 	 
11039	4	1	70	4
11039	5	1	100	 
11039	6	1	5	 
11039	7	0	 	 
11039	8	1	30	4
11039	9	1	100	4
11039	10	0	 	 
11039	11	0	 	 
11039	12	1	5	4
11039	13	0	 	 
11039	15	1	100	4
11039	16	0	 	 
11039	17	0	 	 
11039	18	1	20	1
11039	19	0	 	 
11039	20	0	 	 
11039	21	0	 	 
11039	22	0	 	 
11039	23	0	 	 
11039	24	0	 	 
11039	25	0	 	 
11039	26	0	 	 
11039	27	0	 	 
11039	28	0	 	 
11039	29	0	 	 
11039	30	0	 	 
11039	31	0	 	 
11040	1	1	300	 
11040	2	1	150	 
11040	3	1	400	1
11040	4	0	 	 
11040	5	1	300	 
11040	6	1	100	 
11040	7	1	250	1
11040	8	0	 	 
11040	9	0	 	 
11040	10	1	300	1
11040	11	0	 	 
11040	12	1	60	2
11040	13	0	 	 
11040	15	1	350	1
11040	16	0	 	 
11040	17	0	 	 
11040	18	1	100	1
11040	19	0	 	 
11040	20	1	200	0
11040	21	0	 	 
11040	22	1	150	4
