CHILDCODE	LVSKIDR5	AYANR5	NMAMR5	VLAMR5
11036	17	 	 	 
11036	51	 	 	 
11036	52	 	 	 
11036	53	 	 	 
11036	54	 	 	 
11036	55	 	 	 
11036	56	 	 	 
11036	57	 	 	 
11036	58	 	 	 
11037	1	0	 	 
11037	2	0	 	 
11037	6	0	 	 
11037	9	0	 	 
11037	13	0	 	 
11037	14	0	 	 
11037	15	0	 	 
11037	16	0	 	 
11037	17	0	 	 
11037	51	0	 	 
11037	52	0	 	 
11037	53	0	 	 
11037	54	0	 	 
11037	55	0	 	 
11037	56	0	 	 
11037	57	0	 	 
11037	58	0	 	 
11038	1	0	 	 
11038	2	0	 	 
11038	6	0	 	 
11038	9	0	 	 
11038	13	0	 	 
11038	14	0	 	 
11038	15	0	 	 
11038	16	1	14	200
11038	17	0	 	 
11038	51	0	 	 
11038	52	0	 	 
11038	53	0	 	 
11038	54	0	 	 
11038	55	0	 	 
11038	56	0	 	 
11038	57	0	 	 
11038	58	0	 	 
11039	1	0	 	 
11039	2	0	 	 
11039	6	0	 	 
11039	9	0	 	 
11039	13	0	 	 
11039	14	1	6	900
11039	15	0	 	 
11039	16	1	4	60
11039	17	0	 	 
11039	51	0	 	 
11039	52	0	 	 
11039	53	0	 	 
11039	54	0	 	 
11039	55	0	 	 
11039	56	0	 	 
11039	57	0	 	 
11039	58	0	 	 
11040	1	 	 	 
11040	2	 	 	 
11040	6	 	 	 
11040	9	 	 	 
11040	13	 	 	 
11040	14	 	 	 
11040	15	 	 	 
11040	16	 	 	 
11040	17	 	 	 
11040	51	 	 	 
11040	52	 	 	 
11040	53	 	 	 
11040	54	 	 	 
11040	55	 	 	 
11040	56	 	 	 
11040	57	 	 	 
11040	58	 	 	 
11041	1	0	 	 
11041	2	0	 	 
11041	6	0	 	 
11041	9	0	 	 
11041	13	0	 	 
11041	14	0	 	 
11041	15	1	1	80
11041	16	1	5	155
11041	17	0	 	 
11041	51	0	 	 
11041	52	0	 	 
11041	53	0	 	 
11041	54	0	 	 
11041	55	0	 	 
11041	56	0	 	 
11041	57	0	 	 
11041	58	0	 	 
11042	1	 	 	 
11042	2	 	 	 
11042	6	 	 	 
11042	9	 	 	 
11042	13	 	 	 
11042	14	 	 	 
11042	15	 	 	 
11042	16	 	 	 
11042	17	 	 	 
11042	51	 	 	 
11042	52	 	 	 
11042	53	 	 	 
11042	54	 	 	 
11042	55	 	 	 
11042	56	 	 	 
11042	57	 	 	 
11042	58	 	 	 
11043	1	 	 	 
11043	2	 	 	 
11043	6	 	 	 
11043	9	 	 	 
11043	13	 	 	 
11043	14	 	 	 
11043	15	 	 	 
11043	16	 	 	 
11043	17	 	 	 
11043	51	 	 	 
11043	52	 	 	 
11043	53	 	 	 
11043	54	 	 	 
11043	55	 	 	 
11043	56	 	 	 
11043	57	 	 	 
11043	58	 	 	 
11044	1	 	 	 
11044	2	 	 	 
11044	6	 	 	 
11044	9	 	 	 
11044	13	 	 	 
11044	14	 	 	 
11044	15	 	 	 
11044	16	 	 	 
11044	17	 	 	 
11044	51	 	 	 
11044	52	 	 	 
11044	53	 	 	 
11044	54	 	 	 
11044	55	 	 	 
11044	56	 	 	 
11044	57	 	 	 
11044	58	 	 	 
11045	1	 	 	 
11045	2	 	 	 
11045	6	 	 	 
11045	9	 	 	 
11045	13	 	 	 
11045	14	 	 	 
11045	15	 	 	 
11045	16	 	 	 
11045	17	 	 	 
11045	51	 	 	 
11045	52	 	 	 
11045	53	 	 	 
11045	54	 	 	 
11045	55	 	 	 
11045	56	 	 	 
11045	57	 	 	 
11045	58	 	 	 
11046	1	 	 	 
11046	2	 	 	 
11046	6	 	 	 
11046	9	 	 	 
11046	13	 	 	 
11046	14	 	 	 
11046	15	 	 	 
11046	16	 	 	 
11046	17	 	 	 
11046	51	 	 	 
11046	52	 	 	 
11046	53	 	 	 
11046	54	 	 	 
11046	55	 	 	 
11046	56	 	 	 
11046	57	 	 	 
11046	58	 	 	 
11047	1	 	 	 
