CHILDCODE	PAYCIDR4	PAYTUTR4	PAYOTHR4
41042	1	0	0
41042	2	1	1
41042	3	0	0
41042	4	0	0
41042	5	0	0
41042	6	0	0
41043	1	0	0
41043	2	1	1
41043	3	0	0
41043	4	0	0
41043	5	0	0
41043	6	0	0
41046	1	 	 
41046	2	 	 
41046	3	 	 
41046	4	 	 
41046	5	 	 
41046	6	 	 
41047	1	 	 
41047	2	 	 
41047	3	 	 
41047	4	 	 
41047	5	 	 
41047	6	 	 
41049	1	 	 
41049	2	 	 
41049	3	 	 
41049	4	 	 
41049	5	 	 
41049	6	 	 
41050	1	 	 
41050	2	 	 
41050	3	 	 
41050	4	 	 
41050	5	 	 
41050	6	 	 
41059	1	0	0
41059	2	1	1
41059	3	0	1
41059	4	0	0
41059	5	0	0
41059	6	1	0
41092	1	 	 
41092	2	 	 
41092	3	 	 
41092	4	 	 
41092	5	 	 
41092	6	 	 
41106	1	 	 
41106	2	 	 
41106	3	 	 
41106	4	 	 
41106	5	 	 
41106	6	 	 
41109	1	0	0
41109	2	0	0
41109	3	0	0
41109	4	1	1
41109	5	0	0
41109	6	0	0
41110	1	 	 
41110	2	 	 
41110	3	 	 
41110	4	 	 
41110	5	 	 
41110	6	 	 
41114	1	0	0
41114	2	1	1
41114	3	1	1
41114	4	0	0
41114	5	0	0
41114	6	0	0
41130	1	0	0
41130	2	1	1
41130	3	0	0
41130	4	0	0
41130	5	0	0
41130	6	0	0
51002	1	0	0
51002	2	0	1
51002	3	0	1
51002	4	0	0
51002	5	0	0
51002	6	1	0
51005	1	0	0
51005	2	1	1
51005	3	0	0
51005	4	0	0
51005	5	0	0
51005	6	1	1
51006	1	 	 
51006	2	 	 
51006	3	 	 
51006	4	 	 
51006	5	 	 
51006	6	 	 
51008	1	 	 
51008	2	 	 
51008	3	 	 
51008	4	 	 
51008	5	 	 
51008	6	 	 
51009	1	0	0
51009	2	1	1
51009	3	0	0
51009	4	0	0
51009	5	0	0
51009	6	0	0
51010	1	 	 
51010	2	 	 
51010	3	 	 
51010	4	 	 
51010	5	 	 
51010	6	 	 
51011	1	0	0
51011	2	1	1
51011	3	0	0
51011	4	0	0
51011	5	0	0
51011	6	0	0
51013	1	 	 
51013	2	 	 
51013	3	 	 
51013	4	 	 
51013	5	 	 
51013	6	 	 
51015	1	0	0
51015	2	1	1
51015	3	0	0
51015	4	0	1
51015	5	0	0
51015	6	1	0
51016	1	0	0
51016	2	1	1
51016	3	0	0
51016	4	0	1
51016	5	0	0
51016	6	1	1
51017	1	0	0
51017	2	1	1
51017	3	0	0
51017	4	0	0
51017	5	0	0
51017	6	0	0
51018	1	 	 
51018	2	 	 
51018	3	 	 
51018	4	 	 
51018	5	 	 
51018	6	 	 
51019	1	0	0
51019	2	1	1
51019	3	0	0
51019	4	0	0
51019	5	0	0
51019	6	0	0
51020	1	 	 
51020	2	 	 
51020	3	 	 
51020	4	 	 
51020	5	 	 
51020	6	 	 
51021	1	 	 
51021	2	 	 
51021	3	 	 
51021	4	 	 
51021	5	 	 
51021	6	 	 
51022	1	0	0
51022	2	1	0
51022	3	0	0
51022	4	0	0
51022	5	0	0
51022	6	0	0
51024	1	0	0
51024	2	1	1
51024	3	0	0
51024	4	0	0
51024	5	0	0
51024	6	0	0
51025	1	 	 
51025	2	 	 
51025	3	 	 
51025	4	 	 
51025	5	 	 
51025	6	 	 
51026	1	0	0
51026	2	1	1
51026	3	1	1
51026	4	0	0
51026	5	0	0
51026	6	0	0
51027	1	0	0
51027	2	1	1
51027	3	0	1
51027	4	0	0
51027	5	0	0
51027	6	0	0
51028	1	 	 
51028	2	 	 
51028	3	 	 
51028	4	 	 
51028	5	 	 
51028	6	 	 
51029	1	 	 
51029	2	 	 
51029	3	 	 
51029	4	 	 
51029	5	 	 
51029	6	 	 
51030	1	 	 
51030	2	 	 
51030	3	 	 
51030	4	 	 
51030	5	 	 
51030	6	 	 
51031	1	0	0
51031	2	1	1
51031	3	0	0
51031	4	0	0
51031	5	0	0
51031	6	0	0
51032	1	 	 
51032	2	 	 
51032	3	 	 
51032	4	 	 
51032	5	 	 
51032	6	 	 
51033	1	0	1
51033	2	1	1
51033	3	0	0
51033	4	0	0
51033	5	0	0
51033	6	0	0
51034	1	0	0
51034	2	1	1
51034	3	0	1
51034	4	0	0
51034	5	0	0
51034	6	0	0
51035	1	0	0
51035	2	1	1
51035	3	0	0
51035	4	0	0
51035	5	0	0
51035	6	0	0
51036	1	0	0
51036	2	1	1
51036	3	0	0
51036	4	0	0
51036	5	0	0
51036	6	0	0
51037	1	0	0
51037	2	1	1
51037	3	0	0
51037	4	0	0
51037	5	0	0
51037	6	0	0
51038	1	 	 
51038	2	 	 
51038	3	 	 
51038	4	 	 
51038	5	 	 
51038	6	 	 
51040	1	 	 
51040	2	 	 
51040	3	 	 
51040	4	 	 
51040	5	 	 
51040	6	 	 
51041	1	0	0
51041	2	1	1
51041	3	0	0
51041	4	0	0
51041	5	0	0
51041	6	0	0
51042	1	0	0
51042	2	1	1
51042	3	0	0
51042	4	0	0
51042	5	0	0
51042	6	0	0
51043	1	0	0
51043	2	1	1
51043	3	0	0
51043	4	0	0
51043	5	0	0
51043	6	0	0
51044	1	 	 
51044	2	 	 
51044	3	 	 
51044	4	 	 
51044	5	 	 
51044	6	 	 
51045	1	1	0
51045	2	1	0
51045	3	0	0
51045	4	0	0
51045	5	0	0
51045	6	0	0
51046	1	 	 
51046	2	 	 
51046	3	 	 
51046	4	 	 
51046	5	 	 
51046	6	 	 
51047	1	 	 
51047	2	 	 
51047	3	 	 
51047	4	 	 
51047	5	 	 
51047	6	 	 
51048	1	0	0
51048	2	1	1
51048	3	1	1
51048	4	0	0
51048	5	0	0
51048	6	0	0
51049	1	 	 
51049	2	 	 
51049	3	 	 
51049	4	 	 
51049	5	 	 
51049	6	 	 
51050	1	 	 
51050	2	 	 
51050	3	 	 
51050	4	 	 
51050	5	 	 
51050	6	 	 
51057	1	 	 
51057	2	 	 
51057	3	 	 
51057	4	 	 
51057	5	 	 
51057	6	 	 
51070	1	0	1
51070	2	1	1
51070	3	0	0
51070	4	0	0
51070	5	0	0
51070	6	0	0
61001	1	 	 
61001	2	 	 
61001	3	 	 
61001	4	 	 
61001	5	 	 
61001	6	 	 
61003	1	 	 
61003	2	 	 
61003	3	 	 
61003	4	 	 
61003	5	 	 
61003	6	 	 
61004	1	 	 
61004	2	 	 
61004	3	 	 
61004	4	 	 
61004	5	 	 
61004	6	 	 
61006	1	0	0
61006	2	1	1
61006	3	0	0
61006	4	0	0
61006	5	0	0
61006	6	0	0
61009	1	0	0
61009	2	1	1
61009	3	0	0
61009	4	0	0
61009	5	0	0
61009	6	0	0
61011	1	 	 
61011	2	 	 
61011	3	 	 
61011	4	 	 
61011	5	 	 
61011	6	 	 
61012	1	 	 
61012	2	 	 
61012	3	 	 
61012	4	 	 
61012	5	 	 
61012	6	 	 
61013	1	 	 
61013	2	 	 
61013	3	 	 
61013	4	 	 
61013	5	 	 
61013	6	 	 
61014	1	 	 
61014	2	 	 
61014	3	 	 
61014	4	 	 
61014	5	 	 
61014	6	 	 
61015	1	 	 
61015	2	 	 
61015	3	 	 
61015	4	 	 
61015	5	 	 
61015	6	 	 
61017	1	 	 
61017	2	 	 
61017	3	 	 
61017	4	 	 
61017	5	 	 
61017	6	 	 
61018	1	 	 
61018	2	 	 
61018	3	 	 
61018	4	 	 
61018	5	 	 
61018	6	 	 
61019	1	0	0
61019	2	1	1
61019	3	0	0
61019	4	0	0
61019	5	0	0
61019	6	0	0
61020	1	 	 
61020	2	 	 
61020	3	 	 
61020	4	 	 
61020	5	 	 
61020	6	 	 
61021	1	0	0
61021	2	1	1
61021	3	0	0
61021	4	0	0
61021	5	0	0
61021	6	0	0
61023	1	 	 
61023	2	 	 
61023	3	 	 
61023	4	 	 
61023	5	 	 
61023	6	 	 
61024	1	 	 
61024	2	 	 
61024	3	 	 
61024	4	 	 
61024	5	 	 
61024	6	 	 
61026	1	 	 
61026	2	 	 
61026	3	 	 
61026	4	 	 
61026	5	 	 
61026	6	 	 
61028	1	 	 
61028	2	 	 
61028	3	 	 
61028	4	 	 
61028	5	 	 
61028	6	 	 
61029	1	0	1
61029	2	1	1
61029	3	0	0
61029	4	0	1
61029	5	0	0
61029	6	0	0
61030	1	1	1
61030	2	1	1
61030	3	0	0
61030	4	0	0
61030	5	0	0
61030	6	0	0
61031	1	0	0
61031	2	1	1
61031	3	0	0
61031	4	0	0
61031	5	0	0
61031	6	0	0
61032	1	0	0
61032	2	1	1
61032	3	1	1
61032	4	0	0
61032	5	0	0
61032	6	0	0
61033	1	 	 
61033	2	 	 
61033	3	 	 
61033	4	 	 
61033	5	 	 
61033	6	 	 
61034	1	0	0
61034	2	1	1
61034	3	0	0
61034	4	0	0
61034	5	0	0
61034	6	0	0
61035	1	0	0
61035	2	1	1
61035	3	0	0
61035	4	0	0
61035	5	0	0
61035	6	0	0
61036	1	 	 
61036	2	 	 
61036	3	 	 
61036	4	 	 
61036	5	 	 
61036	6	 	 
61037	1	 	 
61037	2	 	 
61037	3	 	 
61037	4	 	 
61037	5	 	 
61037	6	 	 
61038	1	 	 
61038	2	 	 
61038	3	 	 
61038	4	 	 
61038	5	 	 
61038	6	 	 
61039	1	0	0
61039	2	1	1
61039	3	1	1
61039	4	0	1
61039	5	1	0
61039	6	0	0
61040	1	0	0
61040	2	1	0
61040	3	0	0
61040	4	0	0
61040	5	0	0
61040	6	0	0
61042	1	0	0
61042	2	1	1
61042	3	0	0
61042	4	0	0
61042	5	0	0
61042	6	0	0
61043	1	 	 
61043	2	 	 
61043	3	 	 
61043	4	 	 
61043	5	 	 
61043	6	 	 
61044	1	0	0
61044	2	1	1
61044	3	0	0
61044	4	0	0
61044	5	0	0
61044	6	0	0
61046	1	 	 
61046	2	 	 
61046	3	 	 
61046	4	 	 
61046	5	 	 
61046	6	 	 
61047	1	0	0
61047	2	1	1
61047	3	0	0
61047	4	0	0
61047	5	0	0
61047	6	0	0
61048	1	0	0
61048	2	1	1
61048	3	0	0
61048	4	0	0
61048	5	0	0
61048	6	0	0
61049	1	 	 
61049	2	 	 
61049	3	 	 
61049	4	 	 
61049	5	 	 
61049	6	 	 
61050	1	 	 
61050	2	 	 
61050	3	 	 
61050	4	 	 
61050	5	 	 
61050	6	 	 
61052	1	 	 
61052	2	 	 
61052	3	 	 
61052	4	 	 
61052	5	 	 
61052	6	 	 
61055	1	0	0
61055	2	1	1
61055	3	0	0
