CHILDCODE	ACTIDR4	ACTR4	ACTOWNR4	ACTMTHR4	ACTWEKR4	ACTHRSR4	PYMRECR4	ERNCSHR4	ERNKNDR4	HWPAIDR4	PDPCPRR4	PRFACTR4	MTHPRFR4
31048	3	88	 	 	 	 	 	 	 	 	 	 	 
31049	1	1	2	8	20	8	0	 	 	 	 	0	 
31049	2	5	3	8	4	7	1	120	 	2	 	0	 
31049	3	88	 	 	 	 	 	 	 	 	 	 	 
31050	1	1	2	12	20	5	0	 	 	 	 	1	12
31050	2	5	3	12	15	7	1	100	 	2	 	1	12
31050	3	88	 	 	 	 	 	 	 	 	 	 	 
31052	1	2	2	12	25	8	0	 	 	 	 	1	12
31052	2	88	 	 	 	 	 	 	 	 	 	 	 
31052	3	88	 	 	 	 	 	 	 	 	 	 	 
31058	1	12	3	7	30	7	1	120	 	2	 	1	5
31058	2	2	2	1	3	5	0	 	 	 	 	0	 
31058	3	1	2	1	5	5	0	 	 	 	 	0	 
31059	1	1	2	12	15	7	0	 	 	 	 	1	12
31059	2	5	3	12	4	8	1	100	 	2	 	1	12
31059	3	13	4	12	30	5	1	65	 	2	 	1	12
31060	1	2	2	2	10	8	0	 	 	 	 	1	1
31060	2	2	2	12	10	8	0	 	 	 	 	1	10
31060	3	6	3	12	10	8	1	1200	 	4	 	1	3
31079	1	2	6	6	30	8	0	 	 	 	 	1	6
31079	2	12	3	3	10	8	1	3500	 	4	 	1	-77
31079	3	88	 	 	 	 	 	 	 	 	 	 	 
31096	1	1	2	12	30	4	0	 	 	 	 	1	12
31096	2	4	2	12	30	1	0	 	 	 	 	1	12
31096	3	88	 	 	 	 	 	 	 	 	 	 	 
31098	1	1	2	12	25	8	0	 	 	 	 	1	12
31098	2	5	3	12	3	8	1	100	 	2	 	0	 
31098	3	88	 	 	 	 	 	 	 	 	 	 	 
31108	1	1	2	2	2	2	0	 	 	 	 	0	 
31108	2	2	2	3	27	9	0	 	 	 	 	0	 
31108	3	88	 	 	 	 	 	 	 	 	 	 	 
31134	1	88	 	 	 	 	 	 	 	 	 	 	 
31134	2	88	 	 	 	 	 	 	 	 	 	 	 
31134	3	88	 	 	 	 	 	 	 	 	 	 	 
41001	1	5	3	4	30	5	1	3000	 	4	 	1	5
41001	2	11	2	8	20	4	0	 	 	 	 	0	 
41001	3	88	 	 	 	 	 	 	 	 	 	 	 
41002	1	88	 	 	 	 	 	 	 	 	 	 	 
41002	2	88	 	 	 	 	 	 	 	 	 	 	 
41002	3	88	 	 	 	 	 	 	 	 	 	 	 
41003	1	88	 	 	 	 	 	 	 	 	 	 	 
41003	2	88	 	 	 	 	 	 	 	 	 	 	 
41003	3	88	 	 	 	 	 	 	 	 	 	 	 
41004	1	12	3	12	30	12	1	2000	 	4	 	1	0
41004	2	88	 	 	 	 	 	 	 	 	 	 	 
41004	3	88	 	 	 	 	 	 	 	 	 	 	 
41005	1	13	1	3	30	8	1	2000	 	4	 	0	 
41005	2	88	 	 	 	 	 	 	 	 	 	 	 
41005	3	88	 	 	 	 	 	 	 	 	 	 	 
41006	1	13	3	12	25	8	1	4000	 	4	 	1	-77
41006	2	88	 	 	 	 	 	 	 	 	 	 	 
41006	3	88	 	 	 	 	 	 	 	 	 	 	 
