CHILDCODE	SCHCSTIDR4	FEESR4	PAYPRDR4	NUMPRDR4
21047	9	 	 	 
21047	10	 	 	 
21049	1	 	 	 
21049	2	 	 	 
21049	3	 	 	 
21049	4	 	 	 
21049	5	 	 	 
21049	6	 	 	 
21049	7	 	 	 
21049	8	 	 	 
21049	9	 	 	 
21049	10	 	 	 
21056	1	 	 	 
21056	2	 	 	 
21056	3	 	 	 
21056	4	 	 	 
21056	5	 	 	 
21056	6	 	 	 
21056	7	 	 	 
21056	8	 	 	 
21056	9	 	 	 
21056	10	 	 	 
21069	1	200	3	1
21069	2	3800	4	3
21069	3	200	4	3
21069	4	 	 	 
21069	5	0	 	 
21069	6	1500	2	11
21069	7	100	2	11
21069	8	10000	5	1
21069	9	500	4	3
21069	10	 	 	 
21072	1	1000	3	1
21072	2	3885	4	2
21072	3	300	3	1
21072	4	 	 	 
21072	5	0	 	 
21072	6	0	 	 
21072	7	192	2	8
21072	8	10000	3	1
21072	9	700	3	1
21072	10	 	 	 
21083	1	 	 	 
21083	2	 	 	 
21083	3	 	 	 
21083	4	 	 	 
21083	5	 	 	 
21083	6	 	 	 
21083	7	 	 	 
21083	8	 	 	 
21083	9	 	 	 
21083	10	 	 	 
21090	1	100	3	1
21090	2	2682	4	1
21090	3	300	4	3
21090	4	 	 	 
21090	5	0	 	 
21090	6	0	 	 
21090	7	960	2	4
21090	8	15000	3	1
21090	9	1100	3	1
21090	10	 	 	 
21094	1	110	3	1
21094	2	2500	4	2
21094	3	300	2	6
21094	4	 	 	 
21094	5	0	 	 
21094	6	800	2	9
21094	7	200	2	7
21094	8	500	4	2
21094	9	300	3	1
21094	10	 	 	 
31001	1	200	5	1
31001	2	5600	3	2
31001	3	0	 	 
31001	4	 	 	 
31001	5	1000	3	1
31001	6	1000	2	1
31001	7	50	4	2
31001	8	13400	5	1
31001	9	300	4	1
31001	10	 	 	 
31002	1	50	5	1
31002	2	3000	4	2
31002	3	0	 	 
31002	4	 	 	 
31002	5	0	 	 
31002	6	1000	2	9
31002	7	0	 	 
31002	8	15000	88	1
31002	9	300	2	1
31002	10	 	 	 
31004	1	 	 	 
31004	2	 	 	 
31004	3	 	 	 
31004	4	 	 	 
31004	5	 	 	 
31004	6	 	 	 
31004	7	 	 	 
31004	8	 	 	 
31004	9	 	 	 
31004	10	 	 	 
31005	1	0	 	 
31005	2	1450	4	2
31005	3	0	 	 
31005	4	 	 	 
31005	5	0	 	 
31005	6	600	2	1
31005	7	0	 	 
31005	8	0	 	 
31005	9	170	3	1
31005	10	 	 	 
31006	1	 	 	 
31006	2	 	 	 
31006	3	 	 	 
31006	4	 	 	 
31006	5	 	 	 
31006	6	 	 	 
31006	7	 	 	 
31006	8	 	 	 
31006	9	 	 	 
31006	10	 	 	 
31007	1	 	 	 
31007	2	 	 	 
31007	3	 	 	 
31007	4	 	 	 
31007	5	 	 	 
31007	6	 	 	 
31007	7	 	 	 
31007	8	 	 	 
31007	9	 	 	 
31007	10	 	 	 
31008	1	 	 	 
31008	2	 	 	 
31008	3	 	 	 
31008	4	 	 	 
31008	5	 	 	 
31008	6	 	 	 
31008	7	 	 	 
31008	8	 	 	 
31008	9	 	 	 
31008	10	 	 	 
31010	1	 	 	 
31010	2	 	 	 
31010	3	 	 	 
31010	4	 	 	 
31010	5	 	 	 
31010	6	 	 	 
31010	7	 	 	 
31010	8	 	 	 
31010	9	 	 	 
31010	10	 	 	 
31011	1	120	5	1
31011	2	2200	4	2
31011	3	0	 	 
31011	4	 	 	 
31011	5	0	 	 
31011	6	2000	2	10
31011	7	20	2	10
31011	8	0	 	 
31011	9	400	4	2
31011	10	 	 	 
31012	1	 	 	 
31012	2	 	 	 
31012	3	 	 	 
31012	4	 	 	 
31012	5	 	 	 
31012	6	 	 	 
31012	7	 	 	 
31012	8	 	 	 
31012	9	 	 	 
31012	10	 	 	 
31013	1	 	 	 
31013	2	 	 	 
31013	3	 	 	 
31013	4	 	 	 
31013	5	 	 	 
31013	6	 	 	 
31013	7	 	 	 
31013	8	 	 	 
31013	9	 	 	 
31013	10	 	 	 
31018	1	 	 	 
31018	2	 	 	 
31018	3	 	 	 
31018	4	 	 	 
31018	5	 	 	 
31018	6	 	 	 
31018	7	 	 	 
31018	8	 	 	 
31018	9	 	 	 
31018	10	 	 	 
31020	1	 	 	 
31020	2	 	 	 
31020	3	 	 	 
31020	4	 	 	 
31020	5	 	 	 
31020	6	 	 	 
31020	7	 	 	 
31020	8	 	 	 
31020	9	 	 	 
31020	10	 	 	 
31021	1	200	4	1
31021	2	3500	4	8
31021	3	100	4	2
31021	4	 	 	 
31021	5	0	 	 
31021	6	900	2	10
31021	7	0	 	 
31021	8	7000	3	1
31021	9	200	4	2
31021	10	 	 	 
31023	1	 	 	 
31023	2	 	 	 
31023	3	 	 	 
31023	4	 	 	 
31023	5	 	 	 
31023	6	 	 	 
31023	7	 	 	 
31023	8	 	 	 
31023	9	 	 	 
31023	10	 	 	 
31024	1	 	 	 
31024	2	 	 	 
31024	3	 	 	 
31024	4	 	 	 
31024	5	 	 	 
31024	6	 	 	 
31024	7	 	 	 
31024	8	 	 	 
31024	9	 	 	 
31024	10	 	 	 
31025	1	 	 	 
31025	2	 	 	 
31025	3	 	 	 
31025	4	 	 	 
31025	5	 	 	 
31025	6	 	 	 
31025	7	 	 	 
31025	8	 	 	 
31025	9	 	 	 
31025	10	 	 	 
31027	1	 	 	 
31027	2	 	 	 
31027	3	 	 	 
31027	4	 	 	 
31027	5	 	 	 
31027	6	 	 	 
31027	7	 	 	 
31027	8	 	 	 
31027	9	 	 	 
31027	10	 	 	 
31028	1	 	 	 
31028	2	 	 	 
31028	3	 	 	 
31028	4	 	 	 
31028	5	 	 	 
31028	6	 	 	 
31028	7	 	 	 
31028	8	 	 	 
31028	9	 	 	 
31028	10	 	 	 
31029	1	 	 	 
31029	2	 	 	 
31029	3	 	 	 
31029	4	 	 	 
31029	5	 	 	 
31029	6	 	 	 
31029	7	 	 	 
31029	8	 	 	 
31029	9	 	 	 
31029	10	 	 	 
31031	1	 	 	 
31031	2	 	 	 
31031	3	 	 	 
31031	4	 	 	 
31031	5	 	 	 
31031	6	 	 	 
31031	7	 	 	 
31031	8	 	 	 
31031	9	 	 	 
31031	10	 	 	 
31032	1	50	5	1
31032	2	1700	4	2
31032	3	700	3	1
31032	4	 	 	 
31032	5	0	 	 
31032	6	1000	2	10
31032	7	0	 	 
31032	8	0	 	 
31032	9	700	4	2
31032	10	 	 	 
31035	1	 	 	 
31035	2	 	 	 
31035	3	 	 	 
31035	4	 	 	 
31035	5	 	 	 
31035	6	 	 	 
31035	7	 	 	 
31035	8	 	 	 
31035	9	 	 	 
31035	10	 	 	 
31036	1	100	3	1
31036	2	1590	4	1
31036	3	150	4	1
31036	4	 	 	 
31036	5	0	 	 
31036	6	1500	2	3
31036	7	200	2	4
31036	8	0	 	 
31036	9	300	4	5
31036	10	 	 	 
31037	1	 	 	 
31037	2	 	 	 
31037	3	 	 	 
31037	4	 	 	 
31037	5	 	 	 
31037	6	 	 	 
31037	7	 	 	 
31037	8	 	 	 
31037	9	 	 	 
31037	10	 	 	 
31038	1	 	 	 
31038	2	 	 	 
31038	3	 	 	 
31038	4	 	 	 
31038	5	 	 	 
31038	6	 	 	 
31038	7	 	 	 
31038	8	 	 	 
31038	9	 	 	 
31038	10	 	 	 
31039	1	 	 	 
31039	2	 	 	 
31039	3	 	 	 
31039	4	 	 	 
31039	5	 	 	 
31039	6	 	 	 
31039	7	 	 	 
31039	8	 	 	 
31039	9	 	 	 
31039	10	 	 	 
31040	1	 	 	 
31040	2	 	 	 
31040	3	 	 	 
31040	4	 	 	 
31040	5	 	 	 
31040	6	 	 	 
31040	7	 	 	 
31040	8	 	 	 
31040	9	 	 	 
31040	10	 	 	 
31043	1	 	 	 
31043	2	 	 	 
31043	3	 	 	 
31043	4	 	 	 
31043	5	 	 	 
31043	6	 	 	 
31043	7	 	 	 
31043	8	 	 	 
31043	9	 	 	 
31043	10	 	 	 
31044	1	10	5	1
31044	2	1680	4	2
31044	3	0	 	 
31044	4	 	 	 
31044	5	0	 	 
31044	6	1200	2	10
31044	7	50	5	5
31044	8	300	5	1
31044	9	500	3	1
31044	10	 	 	 
31045	1	200	5	1
31045	2	5600	3	2
31045	3	0	 	 
31045	4	 	 	 
31045	5	1000	5	1
31045	6	1500	2	1
31045	7	0	 	 
31045	8	10690	5	1
31045	9	700	3	1
31045	10	 	 	 
31046	1	0	 	 
31046	2	5500	4	2
31046	3	500	4	2
31046	4	 	 	 
31046	5	600	5	1
31046	6	1500	2	11
