CHILDCODE	ASSTIDR4	ASSETR4	NMOWNR4	VLASTR4	ASACTR4
91010	3	1	2	30	1
91011	1	1	7	50	1
91012	1	1	47	1500	1
91013	1	1	10	250	1
91014	1	1	9	270	1
91016	1	1	2	50	1
91016	2	13	0	 	8
91017	1	41	1	700	7
91018	1	13	40	50000	8
91018	2	23	9	3000	7
91018	3	25	1	20000	6
91018	4	1	5	150	1
91018	5	14	1	500	9
91019	1	15	1	750	9
91020	1	1	8	300	1
91022	1	1	6	100	1
91023	1	1	3	15	1
91024	1	1	30	300	1
91025	1	1	23	300	1
91025	2	13	0	 	8
91028	1	1	7	250	1
91029	1	41	10	8100	9
91030	1	1	1	20	1
91032	1	23	3	230	7
91033	1	1	2	30	1
91034	1	1	5	50	11
91035	1	1	12	160	1
91036	1	23	5	235	7
91037	1	1	8	80	1
91038	1	25	2	14000	6
91039	1	1	5	150	1
91040	1	1	6	80	1
91041	1	1	27	400	1
91043	1	1	7	-77	1
91044	1	1	4	5	1
91045	1	1	10	200	1
91048	1	1	7	120	1
91048	2	2	1	35	1
91049	1	1	15	50	1
91050	1	1	3	20	1
91051	1	1	16	600	1
91052	1	1	5	100	1
91052	2	4	1	50	1
91053	1	1	20	400	1
91053	2	15	2	10	7
91054	1	20	0	 	11
91054	2	23	3	200	7
91054	3	26	4	900	8
91055	1	1	5	50	1
91057	1	1	6	120	1
91058	1	1	9	50	1
91059	1	1	8	50	1
91061	1	1	7	200	1
91061	2	23	4	114	7
91062	1	5	2	200	2
91063	1	1	0	 	11
91064	1	1	20	400	1
91065	1	1	0	 	11
91066	1	1	10	400	1
91066	2	4	2	500	1
91067	1	1	8	30	1
91068	1	4	1	-77	1
91068	2	1	6	-77	1
91069	1	4	1	50	1
91069	2	1	8	100	1
91069	3	15	1	20	9
91071	1	15	9	400	9
91072	1	1	14	200	1
91073	1	15	5	100	7
91074	1	1	5	50	1
91076	1	1	6	500	1
91077	1	1	14	890	1
91078	1	1	5	120	1
91078	2	2	1	150	1
91079	1	1	6	150	1
91080	1	1	8	30	1
91081	1	23	12	450	7
91081	2	1	6	100	1
91083	1	1	7	25	1
91085	1	1	8	180	1
91086	1	1	7	80	1
91087	1	1	5	30	1
91088	1	1	5	50	11
91089	1	7	0	 	11
91090	1	26	4	2000	12
91091	1	1	10	125	1
91091	2	4	1	50	1
91093	1	1	9	90	1
91094	1	1	5	50	1
91095	1	1	10	80	1
91096	1	1	6	80	1
91098	1	1	9	70	11
91099	1	1	6	150	1
91100	1	1	8	100	1
91101	1	1	10	80	1
91102	1	1	6	50	1
91103	1	30	1	0	8
101005	1	30	400	40000	7
101006	1	23	15	3000	7
101008	1	23	9	1000	7
101009	1	25	1	20800	6
101012	1	2	1	50	10
101016	1	13	10	1300	12
101018	1	41	2	5000	8
101019	1	20	0	 	12
101019	2	13	10	30000	8
101020	1	23	4	500	7
101021	1	14	1	1200	9
101022	1	12	10	4000	5
101022	2	13	20	6000	5
101023	1	23	6	500	7
101024	1	26	1	1500	8
101025	1	23	1600	6	7
101026	1	25	1	25000	6
101026	2	23	4	500	7
101027	1	25	1	9000	6
101027	2	24	4	240	7
101028	1	23	11	2500	7
101030	1	13	20	130	9
101032	1	1	7	230	1
101033	1	23	1	1500	7
101034	1	23	13	1200	7
101034	2	25	1	6000	6
101035	1	25	1	30000	6
101039	1	15	13	1500	9
101045	1	25	12	25200	6
101045	2	23	5	500	7
101046	1	13	23	25000	8
101048	1	25	1	200	6
101050	1	13	15	2000	7
101051	1	23	13	7000	7
101051	2	1	2	20	1
101054	1	26	3	20	7
101055	1	13	12	400	12
101056	1	23	6	2000	7
101057	1	23	4	480	7
101058	1	17	50	5000	8
101059	1	25	2	35100	6
101060	1	25	0	 	6
101061	1	15	1	707	7
101061	2	2	1	180	9
101061	3	13	15	300	5
101062	1	2	2	100	9
101062	2	13	8	800	9
101062	3	25	1	17000	9
101063	1	25	0	 	6
101063	2	14	2	550	5
101063	3	23	0	 	7
101064	1	13	20	500	12
101064	2	23	6	500	7
101065	1	23	1	100	7
101066	1	13	15	500	12
101067	1	13	10	500	12
101068	1	23	4	35	9
101069	1	15	1	30	12
101070	1	13	30	3000	8
101070	2	41	5	5000	8
101071	1	1	4	20	1
101072	1	13	7	3000	8
101072	2	41	3	2500	8
101073	1	13	3	80	12
101074	1	23	16	206	7
101075	1	15	40	1500	7
101076	1	23	7	2650	7
101077	1	12	5	20	9
101078	1	25	2	8000	8
101079	1	25	3	34000	6
101080	1	23	1	20	7
101081	1	41	1	1500	9
101083	1	24	5	600	7
101084	1	13	6	1200	10
101085	1	23	8	1500	7
101086	1	13	20	200	12
101087	1	25	1	1500	6
101087	2	15	3	10	5
101088	1	13	10	50	9
101090	1	23	5	100	7
101092	1	13	6	50	12
101094	1	15	5	50	9
101097	1	15	212	7000	9
101098	1	23	2	-77	7
101099	1	26	6	6000	7
101102	1	23	5	250	5
101103	1	23	6	150	7
101104	1	17	10	35000	12
101104	2	23	3	360	7
101105	1	23	2	120	7
111002	1	1	4	25	1
111003	1	1	8	100	1
111003	2	25	1	350	6
111005	1	1	20	500	1
111006	1	23	4	250	7
111008	1	1	6	50	1
111009	1	23	4	430	7
111009	2	25	1	4000	7
111010	1	1	8	70	1
111011	1	1	12	100	1
111012	1	10	6	250	9
111012	2	25	0	 	6
111013	1	4	0	 	1
111013	2	1	8	50	1
111014	1	1	7	105	1
111017	1	1	10	50	1
111018	1	1	4	20	0
111020	1	1	3	100	1
111022	1	1	3	20	1
111022	2	25	0	 	6
111024	1	1	6	150	1
111025	1	23	3	50	7
111028	1	13	15	5000	12
111028	2	1	10	150	9
111030	1	1	12	50	1
111033	1	1	5	75	1
111034	1	1	6	30	1
111035	1	1	11	100	1
111036	1	23	6	530	7
111036	2	13	8	100	9
111037	1	1	2	20	1
111038	1	1	15	1200	1
111039	1	1	10	50	1
111041	1	1	5	200	1
111042	1	15	6	40	7
111044	1	 	 	 	 
111045	1	1	15	200	1
111047	1	1	5	30	1
111048	1	13	8	600	7
111049	1	1	5	100	1
111050	1	1	5	100	1
111054	1	1	10	200	1
111056	1	1	8	20	1
111057	1	15	20	2000	8
111059	1	1	4	50	1
111061	1	1	6	400	1
111063	1	1	10	100	1
111064	1	13	8	60	12
111065	1	30	5	1200	9
111065	2	1	6	50	1
111066	1	14	1	200	12
111066	2	1	6	80	1
111067	1	1	10	250	1
111068	1	23	3	50	7
111068	2	1	10	150	1
111069	1	1	5	125	1
111070	1	9	5	200	12
111071	1	13	20	500	12
111072	1	15	20	10	9
111074	1	4	2	100	1
111074	2	1	15	100	1
111074	3	15	15	95	9
111077	1	1	5	100	1
111079	1	1	5	100	1
111080	1	15	10	100	7
111080	2	25	2	720	7
111081	1	15	10	100	7
111081	2	25	4	1280	7
111081	3	1	-77	-77	1
111082	1	30	3	5	7
111085	1	1	6	60	1
111086	1	1	8	45	1
111089	1	1	7	30	1
111090	1	1	5	40	1
111091	1	1	6	50	1
111092	1	1	10	60	1
111093	1	1	4	25	1
111094	1	13	30	1000	9
111094	2	1	5	100	1
111095	1	1	9	225	1
111097	1	1	8	80	1
111098	1	1	12	400	1
111099	1	1	5	1150	1
111100	1	1	10	80	1
111101	1	1	4	100	1
111102	1	7	0	 	12
111102	2	11	2	1000	9
111102	3	41	0	 	9
121001	1	23	5	270	7
121001	2	25	1	1500	6
121002	1	13	15	1500	9
121003	1	17	5	200	12
121004	1	25	0	 	6
121005	1	26	1	100	12
121005	2	30	3	5	8
121006	1	25	0	 	6
121007	1	18	5	200	9
121008	1	23	2	1500	7
121011	1	13	6	100	12
121011	2	25	1	1000	6
121012	1	15	35	500	7
121015	1	13	5	700	9
121017	1	30	3	15	7
121019	1	15	120	1000	7
121024	1	25	1	1200	6
121026	1	25	1	4000	6
121028	1	25	1	6500	6
121029	1	23	7	2000	7
121029	2	25	1	21200	6
121029	3	17	6	1000	6
121029	4	41	2	2000	12
121030	1	13	10	3000	8
121031	1	25	1	5600	6
121031	2	23	6	550	7
121034	1	23	4	350	7
121035	1	23	5	1700	7
121035	2	30	0	 	7
121036	1	17	1	500	8
121037	1	15	30	2000	7
121039	1	23	6	400	7
121040	1	2	1	400	7
121040	2	30	1	60	7
121041	1	25	0	 	6
121043	1	15	5	-77	7
121044	1	1	7	20	9
121044	2	15	5	30	7
121047	1	17	25	5000	9
121048	1	25	0	 	12
121049	1	12	0	 	12
121049	2	41	0	 	12
121050	1	17	10	200	9
121052	1	22	100	1000	12
121052	2	23	7	7000	9
121052	3	30	1	1500	12
121054	1	25	1	-77	6
121055	1	17	60	5000	9
121057	1	25	0	 	88
121057	2	26	2	-77	88
121057	3	41	1	600	12
121058	1	23	10	500	7
121058	2	22	5	100	12
121059	1	15	121	3800	9
121059	2	24	2	200	9
121059	3	25	3	107200	6
121059	4	17	15	140	6
121059	5	41	15	4000	9
121060	1	23	24	40	7
121061	1	25	1	1500	6
121062	1	26	4	9000	8
121064	1	3	0	 	11
121068	1	15	3	200	7
121070	1	10	7	2000	9
121070	2	9	8	5000	9
121070	3	23	5	2000	7
121071	1	23	3	2000	7
121071	2	41	1	2500	12
121072	1	26	3	5400	7
121073	1	13	10	200	10
121073	2	15	1	200	7
121074	1	26	4	7800	8
121075	1	23	4	2000	7
121077	1	12	3	30	9
121078	1	15	3	1	7
121080	1	41	1	700	7
121081	1	25	1	15000	6
121081	2	15	1	300	7
121082	1	25	0	 	6
121083	1	15	30	300	7
121083	2	23	3	500	7
121084	1	25	1	11000	6
121084	2	5	1	250	2
121086	1	26	30	30000	8
121088	1	26	1	1000	8
121088	2	25	1	3000	7
121089	1	13	5	500	12
121090	1	30	15	50	5
121090	2	23	4	-77	7
121091	1	17	0	 	6
121091	2	25	0	 	6
121093	1	17	5	100	6
121093	2	25	1	84000	6
121093	3	2	1	50	7
121094	1	25	1	27000	6
121097	1	23	2	2400	7
121097	2	30	2	300	7
121101	1	1	3	120	9
121101	2	13	7	1200	9
131001	1	13	6	10000	8
131002	1	23	3	360	7
131003	1	41	6	4000	12
131004	1	25	0	 	6
131005	1	25	1	7000	6
131007	1	25	4	40000	6
131007	2	15	21	1400	7
131009	1	13	7	1300	8
131010	1	13	16	380	9
131010	2	88	 	 	 
131010	3	23	7	1100	7
131011	1	15	8	550	9
131013	1	13	24	4000	12
131016	1	23	8	100	3
131017	1	25	1	30000	6
131018	1	23	6	218	7
131020	1	25	1	1500	7
131020	2	15	1	100	7
131020	3	25	1	2000	6
131021	1	13	9	150	10
131023	1	23	15	1780	7
131026	1	15	30	100	7
131032	1	17	3	20	12
131038	1	17	1	5000	9
131038	2	88	 	 	 
131038	3	88	 	 	 
131039	1	19	4	1500	8
131040	1	25	1	5000	6
131041	1	13	15	600	8
131042	1	2	3	100	9
131042	2	13	3	3400	9
131042	3	23	4	1250	7
131044	1	23	1	3000	12
131045	1	13	6	2500	9
131048	1	30	1	2500	9
131048	2	13	7	50	9
131049	1	23	7	2050	7
131050	1	25	3	20500	6
131051	1	23	10	6600	7
131054	1	3	3	45000	8
131055	1	23	1	10	7
131060	1	17	15	520	12
131061	1	 	 	 	 
131064	1	13	10	5000	7
131068	1	 	 	 	 
131070	1	25	3	4000	6
131070	2	41	7	4000	7
131071	1	10	4	400	12
131071	3	25	1	5000	6
131073	1	25	1	45000	6
131074	1	22	2	44	9
131074	2	41	1	1300	9
131076	1	3	1	1200	10
131079	1	22	-79	-79	9
131079	2	41	-79	-79	9
131079	3	24	-79	-79	9
131080	1	23	5	240	7
131080	2	25	0	 	6
131081	1	30	4	480	9
131081	2	30	5	350	10
131081	3	30	8	80	9
131081	4	30	14	196	10
131081	5	30	3	540	9
131083	1	23	15	2000	7
131084	1	15	0	 	7
131085	1	11	12	10000	8
131088	1	13	4	200	5
131088	2	2	1	50	5
131089	1	23	5	60	9
131090	1	25	1	24000	6
131090	2	26	4	10100	8
131092	1	25	1	20000	6
131092	2	17	12	100	6
131093	1	30	12	74	8
131093	2	30	3	50	8
131094	1	25	1	1200	6
131094	2	23	1	30	7
131095	1	23	3	60	9
131097	1	13	5	1500	12
131100	1	25	1	1800	6
131101	1	15	4	50	7
131101	2	15	1	100	7
131101	3	14	1	450	9
131102	1	41	2	2000	7
141002	1	25	1	7500	6
141003	1	13	15	30	9
141005	1	25	0	 	6
141006	1	26	2	2000	9
141008	1	25	0	 	88
141009	1	 	 	 	 
141011	1	25	1	1500	12
141019	1	15	1	20	7
141019	2	23	1	2	7
141020	1	13	10	50	9
141020	2	15	4	100	7
141023	2	26	1	1000	9
141024	1	23	6	31600	7
141025	1	13	15	800	9
141025	2	23	3	700	7
141025	3	30	0	 	7
141026	1	15	7	1050	7
141027	1	25	1	4000	6
141027	2	23	2	500	7
141028	1	11	2	400	9
141028	2	17	5	500	9
141029	1	2	1	100	9
141029	2	13	6	200	9
141030	1	13	30	2000	9
141030	2	2	1	150	9
141030	3	3	1	300	9
141030	4	30	40	800	9
141031	1	15	5	10	7
141031	2	13	20	400	9
141033	1	3	0	 	9
141033	2	1	8	300	9
141034	1	13	70	2000	9
141035	1	13	10	300	9
141035	2	23	1	1000	7
141036	1	23	4	500	7
141036	2	23	7	900	7
141038	1	13	10	2000	9
141040	1	17	7	800	9
141041	1	10	20	4000	9
141042	1	14	6	7000	9
141044	1	23	1	30	10
141046	1	25	1	6000	6
141049	1	25	0	 	6
141050	1	30	3	150	9
141053	1	25	1	12000	6
141056	1	25	1	9450	6
141057	1	41	1	2500	9
141059	1	2	1	250	7
141060	1	23	4	600	7
141060	2	10	4	1200	9
141060	3	17	5	150	9
141063	1	41	1	2200	9
141065	1	25	1	150	7
141066	1	17	3	300	6
141066	2	25	1	2500	6
141067	1	25	1	13000	6
141068	1	25	1	100	7
141069	1	41	2	300	9
141071	1	25	0	 	6
141073	1	41	3	5000	7
141073	2	23	2	500	7
141077	1	17	8	200	10
141078	1	23	1	1000	7
141079	1	25	0	 	6
141079	2	13	10	100	9
141082	1	17	15	200	6
141082	2	25	0	 	6
141085	1	25	1	300	6
141085	2	41	1	1500	9
141087	1	23	2	50000	7
141087	2	10	60	30000	9
141091	1	13	9	350	12
141093	1	30	1	140000	9
141093	2	25	2	160000	9
141094	1	1	10	200	1
141094	2	30	1	1500	7
141094	3	30	4	80	7
141095	1	30	1	700	10
141095	2	30	3	600	10
141095	3	30	1	300	9
141095	4	30	50	700	10
141095	5	17	1	150	9
141098	1	23	6	2000	7
141099	1	30	120	80	9
141100	1	15	20	4000	7
141102	1	25	1	9000	6
141102	2	17	4	200	6
141103	1	15	8	70	7
151001	1	1	7	200	1
151001	2	25	1	2500	6
151003	1	1	3	10	11
151004	1	3	1	2500	8
151004	2	13	8	4850	8
151005	1	1	7	700	1
151006	1	1	10	100	11
151009	1	15	7	3000	5
151010	1	1	10	120	1
151010	2	23	24	400	7
151011	1	1	7	10	1
151013	1	25	1	6000	6
151014	1	1	33	1000	1
151015	1	1	0	 	11
151016	1	1	10	80	1
151017	1	13	10	50	9
151019	1	1	6	43	1
151020	1	15	1	200	7
151022	1	1	0	 	11
151023	1	15	4	50	7
151024	1	1	6	50	1
151026	1	1	6	150	1
151026	2	23	4	500	7
151027	1	13	8	300	12
151028	1	25	2	2000	6
151029	1	1	4	20	1
151030	1	30	2	240	1
151030	2	1	23	150	1
151031	1	1	2	5	1
151032	1	1	8	60	1
151033	1	1	20	500	1
151034	1	1	6	126	1
151035	1	1	3	110	1
151036	1	1	7	50	1
151037	1	1	6	90	11
151038	1	1	7	300	1
151040	1	1	10	400	1
151041	1	1	5	10	1
151042	1	1	13	50	1
151043	1	1	14	50	1
151043	2	8	1	20	1
151044	1	13	30	200	9
151045	1	1	8	100	1
151046	1	1	8	60	1
151047	1	1	8	330	1
151047	2	19	4	50	8
151048	1	1	10	200	1
151049	1	17	7	10000	7
151049	2	23	6	900	7
151049	3	25	1	5000	7
151050	1	1	15	300	1
151050	2	3	2	1000	1
151050	3	2	2	100	1
151061	1	1	5	80	1
151061	2	2	1	150	1
151062	1	1	0	 	11
151064	1	1	10	50	1
151065	1	1	0	 	11
151066	1	23	3	200	7
151066	2	23	2	2000	7
151067	1	1	12	250	1
151069	1	25	2	6000	6
151069	2	23	4	1200	7
151070	1	1	12	240	1
151071	1	25	0	 	6
151072	1	1	10	150	1
151073	1	30	80	12000	7
151074	1	1	10	180	1
151076	1	23	7	12000	8
151077	1	8	1	100	1
151077	2	1	15	700	1
151077	3	25	2	3000	6
151079	1	26	4	5000	8
151080	1	13	20	150	12
151080	2	15	3	150	7
151082	1	1	8	50	1
151083	1	1	22	220	1
151083	2	8	1	50	1
151083	3	3	1	700	1
151083	4	30	0	 	7
151083	5	23	10	2200	7
151083	6	17	1	1500	7
151084	1	1	4	60	1
151085	1	1	3	10	11
151086	1	1	6	50	1
151087	1	1	6	20	1
151088	1	1	4	10	1
151089	1	1	4	100	1
151089	2	30	1	150	1
151090	1	15	6	2000	8
151091	1	1	15	150	1
151092	1	1	6	10	1
151094	1	1	25	200	1
151095	1	1	4	60	11
151096	1	1	24	360	1
151097	1	1	24	200	1
151099	1	1	12	30	1
151100	1	1	21	83	1
151101	1	1	7	100	1
151102	1	25	1	2500	6
151102	2	1	6	60	1
151103	1	1	10	500	1
151104	1	15	1	120	7
151105	1	1	15	100	1
151106	1	1	7	100	1
151106	2	2	1	60	1
151107	1	1	6	120	1
151108	1	1	10	400	1
151109	1	1	2	2	1
151110	1	1	12	120	1
151111	1	1	8	104	1
151112	1	1	14	100	1
161001	1	1	5	50	1
161001	2	13	9	100	5
161002	1	1	10	50	1
161003	1	1	7	150	1
161003	2	2	1	50	1
161003	3	4	0	 	1
161003	4	7	0	 	1
161003	5	8	0	 	1
161004	1	1	4	150	1
161005	1	13	7	2000	12
161006	1	1	4	1500	1
161006	2	88	 	 	 
161007	1	1	13	250	1
161007	2	15	6	60	8
161007	3	23	2	-77	7
161009	1	23	5	70	7
161010	1	1	10	50	1
161011	1	13	10	-77	5
161012	1	1	11	100	1
161012	2	30	1	100	3
161012	3	5	3	15000	5
161013	1	1	7	50	1
161013	2	4	1	50	1
161014	1	13	10	800	5
161015	1	1	10	250	1
161015	2	3	1	2000	4
161015	3	15	2	30	7
161016	1	1	1	20	1
161016	2	4	1	50	1
161016	3	5	2	-77	2
161017	1	1	10	100	1
161018	1	25	1	3000	6
161018	2	23	2	60	7
161019	1	1	6	70	1
161019	2	15	2	20	7
161020	1	23	6	2500	7
161020	2	13	15	629	12
161020	3	2	1	100	12
161021	1	15	50	5000	12
161022	1	1	4	80	1
161023	1	1	15	395	1
161023	2	2	1	150	1
161023	3	7	0	 	1
161023	4	8	0	 	1
161024	1	13	5	200	12
161024	2	1	3	100	1
161025	1	1	5	-77	1
161026	1	1	3	100	1
161027	1	1	4	200	1
161028	1	1	5	10	1
161028	2	5	3	-77	2
161029	1	1	6	200	1
161030	1	1	-77	-77	1
161031	1	23	3	700	7
161032	1	1	5	200	1
161032	2	13	4	200	12
161032	3	15	2	600	8
161033	1	1	10	20	1
161033	2	15	30	1000	9
161033	3	13	2	500	9
161034	1	23	30	360	7
161035	1	1	5	20	1
161035	2	13	60	700	5
161036	1	1	8	100	1
161037	1	1	10	300	1
161038	1	1	5	15	1
161038	2	4	1	50	2
161038	3	5	3	-77	2
161039	1	1	10	40	1
161039	2	30	2	60	5
161039	3	30	14	980	5
161040	1	25	1	8000	6
161041	1	1	20	120	1
161041	2	5	3	-77	2
161042	1	1	5	200	1
161042	2	5	1	-77	2
161045	1	1	5	20	1
161045	2	30	10	-77	5
161046	1	1	4	20	1
161046	2	5	2	-77	2
161047	1	1	13	260	1
161049	1	13	8	180	10
161050	1	1	5	50	1
161050	2	5	2	200	2
161052	1	1	10	90	1
161053	1	1	7	50	1
161054	1	23	6	2000	12
161055	1	1	11	200	1
161055	2	2	1	50	1
161055	3	4	1	50	1
161055	4	8	1	100	1
161055	5	5	2	300	2
161056	1	1	6	120	1
161057	1	1	7	-77	1
161057	2	2	1	100	1
161058	1	1	5	10	1
161058	2	25	0	 	6
161059	1	13	10	100	9
161059	2	1	5	50	1
161062	1	1	5	80	1
161062	2	23	5	300	7
161063	1	1	5	120	1
161063	2	11	10	300	8
161064	1	1	8	80	1
161064	2	2	1	20	1
161064	3	11	8	800	8
161065	1	41	8	-77	9
161066	1	23	20	-79	7
161066	2	24	2	-79	7
161067	1	1	8	100	1
161068	1	13	5	200	5
161068	2	1	6	100	1
161069	1	1	10	30	1
161069	2	4	1	10	1
161070	1	13	7	2250	8
161071	1	13	10	180	12
161071	2	1	8	80	1
161072	1	1	8	300	1
161072	2	15	2	300	7
161073	1	8	4	20	2
161074	1	1	4	100	1
161074	2	15	2	20	7
161075	1	3	1	2000	9
161075	2	15	3	50	7
161076	1	1	8	-77	1
161076	2	4	1	-77	1
161076	3	2	1	-77	1
161077	1	25	1	8000	6
161077	2	1	4	80	1
161079	1	1	10	200	1
161080	1	1	4	100	1
161080	2	5	2	400	2
161081	1	1	7	210	1
161081	2	5	2	300	2
161081	3	15	9	100	8
161082	1	1	20	400	1
161082	2	3	1	1000	9
161083	1	1	5	100	1
161083	2	2	1	-77	1
161083	3	4	1	-77	1
161083	4	5	2	-77	2
161084	1	7	1	35000	9
161084	2	1	7	200	1
161084	3	5	2	1000	2
161085	1	1	7	100	1
161086	1	1	6	60	1
161087	1	1	5	25	1
161087	2	5	2	-77	2
161089	1	1	12	100	1
161090	1	1	20	300	1
161090	2	5	3	-77	2
161091	1	1	7	200	1
161091	2	5	2	-77	2
161092	1	1	10	80	1
161092	2	15	4	6	8
161092	3	5	2	-77	2
161093	1	1	10	200	1
161094	1	1	5	40	1
161094	2	13	10	100	12
161095	1	1	5	175	1
161095	2	7	0	 	1
161095	3	8	1	100	1
161095	4	5	3	-77	2
161096	1	1	20	350	1
161096	2	13	10	450	5
161096	3	5	3	-77	2
161097	1	1	8	500	1
161098	1	1	6	10	1
161098	2	5	2	-77	2
161099	1	1	6	250	1
161099	2	23	2	200	7
161100	1	1	6	120	1
161101	1	1	4	40	1
161101	2	15	6	100	7
161102	1	1	9	150	1
161102	2	5	2	-77	2
161103	1	1	10	50	1
161105	1	1	15	250	1
161105	2	15	8	400	8
161105	3	5	2	-77	2
161106	1	1	7	80	1
161106	2	7	0	 	1
161106	3	8	0	 	1
161108	1	1	10	100	1
161108	2	13	10	150	12
171001	1	1	10	200	1
171001	2	15	8	100	7
171002	1	25	1	40000	6
171002	2	23	7	5000	7
171004	1	23	6	2000	7
171004	2	15	4	1500	12
171005	1	9	35	800	9
171005	2	15	5	800	8
171007	1	1	4	150	1
171008	1	1	3	100	11
171010	1	1	10	200	1
171011	1	1	6	40	1
171011	2	23	2	20	7
171013	1	10	5	100	9
171014	1	13	0	 	5
171014	2	1	4	85	1
171014	3	2	1	30	1
171014	4	7	0	 	1
171015	1	1	6	95	1
171015	2	4	0	 	1
171015	3	7	0	 	1
171015	4	8	0	 	1
171016	1	13	6	600	7
171017	1	23	4	5000	8
171018	1	13	3	90	8
171019	1	1	10	200	1
171019	2	4	2	100	1
171019	3	5	-79	-79	2
171022	1	41	1	1000	7
171022	2	23	2	200	7
171026	1	1	5	100	1
171027	1	1	5	200	1
171028	1	1	19	300	1
171028	2	26	1	800	8
171028	3	23	10	2000	7
171030	1	1	4	45	1
171031	1	13	20	200	10
171031	2	11	5	400	8
171031	3	1	5	100	1
171032	1	23	3	100	7
171033	1	14	1	1200	9
171033	2	23	5	6000	7
171034	1	13	2	60	12
171035	1	1	6	100	1
171035	2	2	1	100	1
171035	3	4	1	60	1
171036	1	1	14	280	1
171036	2	4	3	100	2
171036	3	13	10	150	12
171037	1	13	60	1500	9
171038	1	23	3	90	7
171038	2	1	9	-77	11
171040	1	30	50	10000	8
171041	1	1	10	150	1
171042	1	1	5	100	1
171042	2	15	4	20	7
171043	1	1	8	200	1
171043	2	5	2	300	2
171044	1	1	3	50	11
171044	2	15	4	100	7
171044	3	26	2	30	8
171045	1	1	3	50	1
171045	2	17	5	150	6
171045	3	88	 	 	 
171046	1	1	10	70	1
171047	1	1	6	60	1
171047	2	30	-79	-79	5
171049	1	15	4	400	7
171050	1	26	4	920	8
171051	2	23	5	300	7
171051	3	30	5	150	5
171052	1	15	5	400	7
171053	1	30	1	8000	11
171053	2	15	10	2000	7
171054	1	1	8	120	1
171054	2	30	6	900	11
171055	1	13	6	80	12
171055	2	1	8	120	1
171055	3	4	8	-77	2
171055	4	30	5	-77	5
171056	1	1	10	80	1
171057	1	25	1	4000	6
171058	1	23	4	-77	7
171058	2	14	2	900	9
171059	1	1	10	300	1
171060	1	1	7	150	1
171060	2	30	3	100	11
171061	1	1	10	250	1
171061	2	2	1	150	12
171062	1	1	10	100	1
171064	1	1	10	300	1
171065	1	1	4	30	1
171066	1	2	1	500	7
171067	1	1	2	40	1
171068	1	1	10	200	11
171069	1	1	10	80	1
171070	1	1	8	185	1
171070	2	2	1	150	1
171070	3	25	2	82500	6
171070	4	30	0	 	5
171070	5	30	2	50	5
171071	1	1	10	195	1
171071	2	4	0	 	1
171071	3	2	1	120	9
171071	4	13	6	184	9
171072	1	1	5	50	1
171073	1	1	5	100	1
171074	1	1	12	90	1
171075	1	1	8	150	1
171076	1	1	6	100	1
171077	1	25	1	3000	1
171077	2	25	1	3000	5
171077	3	1	10	300	1
171077	4	3	1	600	5
171078	1	4	2	50	2
171079	1	5	7	120	2
171081	1	1	32	1330	1
171081	2	2	1	150	1
171081	3	4	1	200	1
171081	4	7	0	 	1
171082	1	1	3	20	1
171082	2	15	4	40	7
171083	1	1	10	140	1
171083	2	2	1	80	1
171083	3	4	1	40	1
171084	1	1	10	100	1
171085	1	15	5	100	7
171086	1	1	12	120	1
171088	1	1	6	70	1
171088	2	5	3	80	2
171089	1	25	1	8000	6
171089	2	1	10	150	1
171089	3	5	0	 	2
171090	1	26	8	35	8
171091	1	1	10	50	11
171092	1	1	13	80	1
171093	1	23	1	200	7
171094	1	1	5	200	1
171095	1	1	6	150	1
171095	2	15	3	50	7
171096	1	1	4	70	11
171098	1	1	10	80	1
171098	2	14	2	100	9
171099	1	1	8	80	1
171099	2	23	3	80	7
171101	1	1	4	150	11
171102	1	13	15	300	5
171103	1	1	8	150	1
171104	1	1	10	200	1
171104	2	15	8	120	7
171105	1	23	2	15	7
181001	1	1	6	60	1
181002	1	1	30	200	1
181002	2	4	1	20	1
181002	3	8	3	450	1
181003	1	1	10	20	11
181004	1	1	20	200	1
181004	2	2	1	250	1
181004	3	15	5	30	7
181004	4	8	2	500	1
181005	1	1	10	50	1
181005	2	2	1	100	1
181005	3	4	1	30	1
181006	1	1	6	208	1
181006	2	2	1	120	1
181007	1	1	1	400	1
181007	2	25	1	40000	1
181008	1	1	7	140	1
181009	1	1	10	200	1
181009	2	15	4	100	7
181010	1	1	12	200	1
181011	1	1	1	250	1
181011	2	2	1	40	1
181012	1	1	10	200	1
181012	2	5	4	-77	2
181013	1	1	10	50	1
181013	2	2	1	100	1
181013	3	4	1	50	1
181014	1	1	11	320	1
181014	2	2	1	150	1
181014	3	8	0	 	1
181014	4	4	1	20	1
181015	1	1	6	80	1
181015	2	8	1	100	1
181016	1	1	4	100	1
181017	1	1	10	100	1
181017	2	4	1	30	1
181018	1	1	12200	200	1
181019	1	1	21	250	1
181019	2	4	1	30	1
181019	3	2	1	150	1
181020	1	1	6	90	1
181022	1	1	5	100	1
181023	1	1	8	100	1
181024	1	1	8	204	1
181024	2	8	0	 	1
181029	1	1	10	400	1
181029	2	4	3	1630	1
181030	1	1	7	175	1
181030	2	2	1	40	1
181031	1	1	5	125	1
181031	2	4	1	200	1
181032	1	1	12	150	1
181033	1	1	15	300	1
181033	2	5	1	-77	2
181034	1	1	8	200	1
181034	2	2	1	120	1
181034	3	25	2	80000	6
