CHILDCODE	DNFDIDR4	DONNMER4	DONTYPR4	DONRCVR4	DONAMTR4	DONMSRR4	DONPRCR4	PRCMSRR4
31074	5	MENESTRA CON ARROZ ATUN O TALLARINES	10	1000	5	9	2,5	9
31075	1	GALLETAS CON MERMELADA	10	200	3	7	1	7
31075	2	QUAKER CON LECHE	1	200	3	8	1	8
31075	3	ARROZ CON MENESTRAS Y ATUN	10	200	3	9	5	9
31075	4	AVENA	3	12	2	2	5	2
31075	5	LECHE	1	12	5	6	3	6
31075	6	ATUN	7	6	4	6	3	6
31076	1	LECHE	1	6	10	6	3	6
31076	2	AVENA	3	6	3	2	4	2
31076	3	LECHE CON AVENA	10	100	3	8	1	8
31076	4	GALLETA	9	100	3	5	0,5	5
31076	5	ALIMENTOS PREPARADOS	10	100	3	5	3	5
31077	1	DESAYUNO ESCOLAR	10	120	1	5	2	5
31077	2	ALMUERZO ESCOLAR	10	200	1	5	3	5
31078	1	AVENA LECHE	3	180	1	8	1	8
31078	2	GALLETA CON MERMELADA	9	180	1	7	0,5	7
31078	3	ALMUERZO ESCOLAR	10	180	1	5	4	5
31079	1	LECHE CON COCOA	10	80	1	8	1,5	8
31079	2	GALLETA	9	80	8	5	0,5	5
31079	3	ALIMENTOS PREPARADOS	10	80	1	5	3	5
31080	1	LECHE	1	30	2,5	6	3	6
31080	2	QUAKER	3	12	1	2	4	2
31080	3	QUAKER CON LECHE	1	225	3	8	0,5	8
31080	4	GALLETA CON MERMELADA	10	225	3	5	0,5	5
31080	5	MENESTRA CON ARROZ Y ATUN O TALLARINES	10	600	3	9	1,5	9
31081	1	LECHE	1	12	3	6	3	6
31081	2	GALLETAS CON MERMELADAS	9	200	3	7	0,5	7
31081	3	QUAKER CON LECHE	10	200	3	8	0,8	8
31081	4	TALLARINES CON FREJOLES Y POLLO	10	200	3	9	5	9
31081	5	ARROZ	8	1	50	2	1,6	2
31083	1	LECHE CON COCOA	1	50	4	8	2	8
31083	2	LECHE CON AVENA	1	50	4	8	2	8
31083	3	GALLETAS CON MERMELADA	9	100	4	7	0,3	7
31083	4	ARROZ CON FREJOL	10	50	4	9	3	9
31083	5	FIDEOS CON ATUN	10	50	4	9	3	9
31084	1	LECHE	10	120	1	8	2	8
31084	2	GALLETAS CON MERMELADA	9	120	1	7	1	7
31084	3	SEGUNDO	10	180	1	9	1,5	9
31085	1	GALLETA CON MERMELADA	9	180	1	7	0,5	7
31085	2	LECHE CON COCOA	1	180	1	8	1	8
31085	3	ALMUERZO ESCOLAR	10	180	1	5	3	5
31086	1	LECHE	1	12	2,5	6	3	6
31086	2	AVENA	3	12	1	2	4	2
31086	3	GALLETA	9	180	1	7	0,5	7
31086	4	AVENA CON LECHE	10	180	1	8	1	8
31086	5	ALMUERZO ESCOLAR	10	180	1	5	3,5	5
31087	1	LECHE CON AVENA	2	50	1	8	1	8
31087	2	LECHE CON COCOA	1	50	1	8	1	8
31087	3	ARROZ CON FREJOLES	10	50	1	9	3	9
31087	4	TALLARINES CON ATUN	10	50	1	9	3	9
31087	5	GALLETAS CON MERMELADA	9	100	1	7	0,5	7
31088	1	DESAYUNO ESCOLAR	10	120	3	5	2	5
31088	2	ALMUERZO	10	200	3	5	2,5	5
