CHILDCODE	EDCHSTR4	ATSCR4	GRDER4	TYSCR4	SMESCHR4	DEPTR4
21028	13	1	6	4	1	 
21029	9	1	2	4	1	 
21029	10	1	2	4	1	 
21029	11	1	3	4	1	 
21029	12	1	4	4	1	 
21029	13	1	4	4	1	 
21030	9	1	3	4	1	 
21030	10	1	3	4	1	 
21030	11	1	4	4	1	 
21030	12	1	5	4	1	 
21030	13	1	5	4	1	 
21031	9	1	2	4	1	 
21031	10	1	3	4	1	 
21031	11	1	3	4	1	 
21031	12	1	4	4	1	 
21031	13	1	5	4	1	 
21032	9	1	2	4	1	 
21032	10	1	3	4	1	 
21032	11	1	4	4	1	 
21032	12	1	5	4	1	 
21032	13	1	6	4	1	 
21033	9	1	2	4	1	 
21033	10	1	3	4	1	 
21033	11	1	4	4	1	 
21033	12	1	5	4	1	 
21033	13	1	6	4	1	 
21034	9	1	2	4	1	 
21034	10	1	3	4	1	 
21034	11	1	4	4	1	 
21034	12	1	5	4	1	 
21034	13	1	6	4	1	 
21035	9	1	2	4	1	 
21035	10	1	3	4	1	 
21035	11	1	4	4	1	 
21035	12	1	5	4	1	 
21035	13	1	6	4	1	 
21036	9	1	2	4	1	 
21036	10	1	3	4	1	 
21036	11	1	3	4	1	 
21036	12	1	4	4	1	 
21036	13	1	5	4	1	 
21037	9	1	2	4	1	 
21037	10	1	3	4	1	 
21037	11	1	4	4	1	 
21037	12	1	5	4	1	 
21037	13	1	5	4	1	 
21038	9	1	3	4	1	 
21038	10	1	4	4	1	 
21038	11	1	5	4	1	 
21038	12	1	6	4	1	 
21038	13	1	7	4	0	20
21039	9	1	3	4	1	 
21039	10	1	4	4	1	 
21039	11	1	5	4	1	 
21039	12	1	6	4	1	 
21039	13	1	7	4	0	20
21040	9	1	2	4	1	 
21040	10	1	3	4	1	 
21040	11	1	4	4	1	 
21040	12	1	5	4	1	 
21040	13	1	6	4	1	 
21041	9	1	3	4	1	 
21041	10	1	4	4	1	 
21041	11	1	4	4	1	 
21041	12	1	5	4	1	 
21041	13	1	6	4	1	 
21042	9	1	3	4	1	 
21042	10	1	4	4	1	 
21042	11	1	5	4	1	 
21042	12	1	6	4	1	 
21042	13	1	7	4	0	20
21043	9	1	3	1	1	 
21043	10	1	4	1	1	 
21043	11	1	5	1	1	 
21043	12	1	6	1	1	 
21043	13	1	7	1	1	 
21044	9	1	3	4	1	 
21044	10	1	4	4	1	 
21044	11	1	5	4	1	 
21044	12	1	6	4	1	 
21044	13	1	7	4	0	15
21045	9	1	2	4	1	 
21045	10	1	3	4	1	 
21045	11	1	4	4	1	 
21045	12	1	5	4	1	 
21045	13	1	6	4	1	 
21046	9	1	2	4	1	 
21046	10	1	3	4	0	20
21046	11	1	4	4	1	 
21046	12	1	5	4	0	20
21046	13	1	6	4	1	 
21047	9	1	2	4	1	 
21047	10	1	3	4	1	 
21047	11	1	4	4	1	 
21047	12	1	5	4	1	 
21047	13	1	6	4	1	 
21048	9	1	3	4	0	20
21048	10	1	4	4	1	 
21048	11	1	5	4	1	 
21048	12	1	5	4	1	 
21048	13	1	6	4	0	20
21049	9	1	2	4	1	 
21049	10	1	3	4	1	 
21049	11	1	4	4	1	 
21049	12	1	5	4	1	 
21049	13	1	6	4	1	 
21050	9	1	2	4	1	 
21050	10	1	3	4	1	 
21050	11	1	4	4	1	 
21050	12	1	5	4	1	 
21050	13	1	6	4	1	 
21051	9	1	3	4	1	 
21051	10	1	4	4	1	 
21051	11	1	5	4	1	 
21051	12	1	6	4	1	 
21051	13	1	7	4	1	 
21052	9	1	2	4	1	 
21052	10	1	3	4	1	 
21052	11	1	4	4	1	 
21052	12	1	5	4	1	 
21052	13	1	6	4	1	 
21053	9	1	2	4	1	 
21053	10	1	3	4	1	 
21053	11	1	4	4	1	 
21053	12	1	4	4	1	 
21053	13	1	5	4	1	 
21054	9	1	3	4	1	 
21054	10	1	4	4	1	 
21054	11	1	5	4	1	 
21054	12	1	6	4	1	 
21054	13	1	7	4	1	 
21055	9	1	3	4	1	 
21055	10	1	4	4	1	 
21055	11	1	5	4	1	 
21055	12	1	6	4	1	 
21055	13	1	7	4	1	 
21056	9	1	2	4	1	 
21056	10	1	3	4	1	 
21056	11	1	4	4	1	 
21056	12	1	5	4	1	 
21056	13	1	6	4	1	 
21057	9	1	1	4	1	 
21057	10	1	2	4	1	 
21057	11	1	2	4	1	 
21057	12	1	2	4	1	 
21057	13	1	2	4	1	 
21058	9	1	2	4	1	 
21058	10	1	3	4	1	 
21058	11	1	4	4	1	 
21058	12	1	5	4	1	 
21058	13	1	6	4	1	 
21059	9	1	2	4	1	 
21059	10	1	3	4	1	 
21059	11	1	4	4	1	 
21059	12	1	5	4	1	 
21059	13	1	6	4	1	 
21060	9	1	3	4	1	 
21060	10	1	4	4	1	 
21060	11	1	5	4	1	 
21060	12	1	6	4	1	 
21060	13	1	7	4	1	 
21061	9	1	2	4	1	 
21061	10	1	3	4	1	 
21061	11	1	4	4	1	 
21061	12	1	5	4	1	 
21061	13	1	6	4	1	 
21062	9	1	2	4	1	 
21062	10	1	3	4	1	 
21062	11	1	4	4	1	 
21062	12	1	5	4	1	 
21062	13	1	6	4	1	 
21063	9	1	3	4	1	 
21063	10	1	4	4	1	 
21063	11	1	5	4	1	 
21063	12	1	6	4	1	 
21063	13	1	7	4	1	 
21064	9	1	2	4	1	 
21064	10	1	2	4	1	 
21064	11	1	3	4	1	 
21064	12	1	3	4	1	 
21064	13	1	4	4	1	 
21065	9	1	2	4	1	 
21065	10	1	3	4	1	 
21065	11	1	4	4	1	 
21065	12	1	5	4	1	 
21065	13	1	6	4	1	 
21066	9	1	3	4	1	 
21066	10	1	4	4	1	 
21066	11	1	5	4	1	 
21066	12	1	6	4	1	 
21066	13	1	7	4	1	 
21067	9	1	2	4	1	 
21067	10	1	3	4	1	 
21067	11	1	3	4	0	20
21067	12	1	4	4	1	 
21067	13	1	5	4	1	 
21068	9	1	2	4	1	 
21068	10	1	3	4	1	 
21068	11	1	4	4	1	 
21068	12	1	5	4	1	 
21068	13	1	6	4	1	 
21069	9	1	3	4	1	 
21069	10	1	4	4	1	 
21069	11	1	5	4	1	 
21069	12	1	6	4	1	 
21069	13	1	7	4	1	 
21070	9	1	2	4	1	 
21070	10	1	3	4	1	 
21070	11	1	4	4	1	 
21070	12	1	5	4	1	 
21070	13	1	6	4	1	 
21071	9	1	2	4	1	 
21071	10	1	3	4	1	 
21071	11	1	4	4	1	 
21071	12	1	5	4	1	 
21071	13	1	6	4	1	 
21072	9	1	3	4	0	20
21072	10	1	4	4	1	 
21072	11	1	5	4	1	 
21072	12	1	6	4	1	 
21072	13	1	7	4	1	 
21073	9	1	2	4	1	 
21073	10	1	3	4	1	 
21073	11	1	4	4	1	 
21073	12	1	5	4	1	 
21073	13	1	6	4	0	20
21074	9	1	2	4	1	 
21074	10	1	3	4	1	 
21074	11	1	4	4	1	 
21074	12	1	5	4	1	 
21074	13	1	6	4	1	 
21075	9	1	2	4	1	 
21075	10	1	3	4	1	 
21075	11	1	4	4	1	 
21075	12	1	5	4	1	 
21075	13	1	6	4	1	 
21076	9	1	2	4	1	 
21076	10	1	3	4	1	 
21076	11	1	4	4	1	 
21076	12	1	5	4	1	 
21076	13	1	6	4	1	 
21077	9	1	2	1	0	20
21077	10	1	3	1	1	 
21077	11	1	4	1	1	 
21077	12	1	5	1	1	 
21077	13	1	6	1	1	 
21078	9	1	2	4	1	 
21078	10	1	3	4	1	 
21078	11	1	4	4	1	 
21078	12	1	5	4	1	 
21078	13	1	6	4	1	 
21079	9	1	2	4	1	 
21079	10	1	3	4	1	 
21079	11	1	4	4	1	 
21079	12	1	5	4	1	 
21079	13	1	6	4	1	 
21080	9	1	3	4	1	 
21080	10	1	4	4	1	 
21080	11	1	5	4	1	 
21080	12	1	6	4	1	 
21080	13	1	7	4	1	 
21081	9	0	 	 	 	 
21081	10	0	 	 	 	 
21081	11	0	 	 	 	 
21081	12	0	 	 	 	 
21081	13	1	77	4	 	 
21082	9	1	2	4	1	 
21082	10	1	3	4	1	 
21082	11	1	4	4	1	 
21082	12	1	5	4	1	 
21082	13	1	6	4	1	 
21083	9	1	2	4	1	 
21083	10	1	3	4	1	 
21083	11	1	4	4	1	 
21083	12	1	5	4	1	 
21083	13	1	6	4	1	 
21084	9	1	3	4	1	 
21084	10	1	4	1	0	20
21084	11	1	5	1	1	 
21084	12	1	6	1	1	 
21084	13	1	7	1	1	 
21085	9	1	3	4	1	 
21085	10	1	4	4	1	 
21085	11	1	4	4	1	 
21085	12	1	5	4	1	 
21085	13	1	6	4	1	 
21086	9	1	2	4	1	 
21086	10	1	3	4	1	 
21086	11	1	4	4	1	 
21086	12	1	5	4	1	 
