CHILDCODE	CONTIDR4	SCHPYR4	HCNTRR4	EXGRNR4	RSEXPR4
10097	1	0	 	 	 
10097	2	1	120	0	 
10097	3	0	 	 	 
10097	4	1	10	0	 
10097	5	0	 	 	 
10097	6	1	290	0	 
10097	7	0	 	 	 
10097	8	 	 	 	 
10100	1	1	-77	0	 
10100	2	2	-77	0	 
10100	3	0	 	 	 
10100	4	1	100	0	 
10100	5	1	-77	0	 
10100	6	2	-77	0	 
10100	7	1	-77	0	 
10100	8	 	-77	 	 
10104	1	0	 	 	 
10104	2	1	240	0	 
10104	3	0	 	 	 
10104	4	0	 	 	 
10104	5	2	140	0	 
10104	6	1	580	0	 
10104	7	0	 	 	 
10104	8	 	 	 	 
10109	1	0	 	 	 
10109	2	0	 	 	 
10109	3	0	 	 	 
10109	4	1	10	0	 
10109	5	1	70	0	 
10109	6	1	290	0	 
10109	7	1	15	0	 
10109	8	 	 	 	 
10118	1	0	 	 	 
10118	2	1	240	-77	6
10118	3	0	 	 	 
10118	4	1	20	0	 
10118	5	1	140	0	 
10118	6	1	250	330	6
10118	7	0	 	 	 
10118	8	 	 	-77	 
10121	1	1	90	0	 
10121	2	1	300	0	 
10121	3	0	 	 	 
10121	4	1	70	0	 
10121	5	1	20	0	 
10121	6	1	580	0	 
10121	7	0	 	 	 
10121	8	 	 	 	 
10122	1	0	 	 	 
10122	2	1	120	0	 
10122	3	0	 	 	 
10122	4	1	30	0	 
10122	5	1	70	0	 
10122	6	1	290	0	 
10122	7	0	 	 	 
10122	8	 	 	 	 
10124	1	0	 	 	 
10124	2	1	120	0	 
10124	3	0	 	 	 
10124	4	1	10	0	 
10124	5	1	70	0	 
10124	6	1	290	0	 
10124	7	1	15	0	 
10124	8	 	 	 	 
10140	1	0	 	 	 
10140	2	2	-77	0	 
10140	3	0	 	 	 
10140	4	1	-77	0	 
10140	5	1	-77	0	 
10140	6	2	-77	0	 
10140	7	0	 	 	 
10140	8	 	-77	 	 
20001	1	0	 	 	 
20001	2	2	100	0	 
20001	3	2	15	0	 
20001	4	2	40	0	 
20001	5	2	36	0	 
20001	6	1	290	0	 
20001	7	0	 	 	 
20001	8	 	 	 	 
20002	1	0	 	 	 
20002	2	0	 	 	 
20002	3	1	40	0	 
20002	4	1	30	0	 
20002	5	0	 	 	 
20002	6	1	290	0	 
20002	7	1	20	0	 
20002	8	 	 	 	 
20003	1	0	 	 	 
20003	2	0	 	 	 
20003	3	0	 	 	 
20003	4	2	200	0	 
20003	5	2	100	0	 
20003	6	1	580	0	 
20003	7	2	100	0	 
20003	8	 	 	 	 
20004	1	1	80	0	 
20004	2	0	 	 	 
20004	3	0	 	 	 
20004	4	2	40	0	 
20004	5	0	 	 	 
20004	6	1	580	0	 
20004	7	0	 	 	 
20004	8	 	 	 	 
20005	1	1	120	0	 
20005	2	0	 	 	 
20005	3	0	 	 	 
20005	4	1	80	0	 
20005	5	0	 	 	 
20005	6	0	 	 	 
20005	7	0	 	 	 
20005	8	 	 	 	 
20007	1	1	150	0	 
20007	2	0	 	 	 
20007	3	1	20	0	 
20007	4	1	20	0	 
20007	5	0	 	 	 
20007	6	1	290	0	 
20007	7	1	10	0	 
20007	8	 	 	 	 
20008	1	1	45	0	 
20008	2	1	100	0	 
20008	3	1	20	0	 
20008	4	1	20	0	 
20008	5	0	 	 	 
20008	6	0	 	 	 
20008	7	1	10	0	 
20008	8	 	 	 	 
20009	1	1	40	0	 
20009	2	2	0	0	 
20009	3	0	 	 	 
20009	4	1	15	0	 
20009	5	1	40	0	 
20009	6	1	290	0	 
20009	7	1	15	0	 
20009	8	 	 	 	 
20010	1	1	40	0	 
20010	2	2	100	0	 
20010	3	0	 	 	 
20010	4	2	10	0	 
20010	5	0	 	 	 
20010	6	1	290	0	 
20010	7	0	 	 	 
20010	8	 	 	 	 
20012	1	1	40	0	 
20012	2	2	0	0	 
20012	3	0	 	 	 
20012	4	1	15	0	 
20012	5	1	40	0	 
20012	6	1	290	0	 
20012	7	1	20	0	 
20012	8	 	 	 	 
20013	1	1	40	0	 
20013	2	0	 	 	 
20013	3	2	10	0	 
20013	4	2	5	0	 
20013	5	2	10	0	 
20013	6	1	290	0	 
20013	7	0	 	 	 
20013	8	 	 	 	 
20016	1	1	135	0	 
20016	2	1	300	0	 
20016	3	1	60	0	 
20016	4	1	60	0	 
20016	5	0	 	 	 
20016	6	1	870	0	 
20016	7	1	30	0	 
20016	8	 	 	 	 
20017	1	0	 	 	 
20017	2	2	0	0	 
20017	3	0	 	 	 
20017	4	1	10	0	 
20017	5	1	35	0	 
20017	6	1	0	580	 
20017	7	1	20	0	 
20017	8	 	 	 	 
20018	1	1	40	0	 
20018	2	2	100	0	 
20018	3	0	 	 	 
20018	4	2	10	0	 
20018	5	0	 	 	 
20018	6	1	290	0	 
20018	7	0	 	 	 
20018	8	 	 	 	 
20019	1	0	 	 	 
20019	2	1	100	0	 
20019	3	0	 	 	 
20019	4	1	10	0	 
20019	5	0	 	 	 
20019	6	0	 	 	 
20019	7	1	10	0	 
20019	8	 	 	 	 
20020	1	1	40	0	 
20020	2	2	0	0	 
20020	3	1	10	0	 
20020	4	1	15	0	 
20020	5	1	60	0	 
20020	6	1	580	0	 
20020	7	1	15	0	 
20020	8	 	 	 	 
20021	1	1	40	0	 
20021	2	2	100	0	 
20021	3	0	 	 	 
20021	4	1	20	0	 
20021	5	2	50	0	 
20021	6	1	290	0	 
20021	7	0	 	 	 
20021	8	 	 	 	 
20022	1	1	90	0	 
20022	2	2	100	0	 
20022	3	0	 	 	 
20022	4	1	15	0	 
20022	5	1	60	0	 
20022	6	1	580	0	 
20022	7	1	25	0	 
20022	8	 	 	 	 
20023	1	1	40	0	 
20023	2	0	 	 	 
20023	3	0	 	 	 
20023	4	2	20	0	 
20023	5	0	 	 	 
20023	6	1	290	0	 
20023	7	0	 	 	 
20023	8	 	 	 	 
20024	1	1	90	0	 
20024	2	0	 	 	 
20024	3	1	40	0	 
20024	4	1	20	0	 
20024	5	0	 	 	 
20024	6	1	580	0	 
20024	7	1	20	0	 
20024	8	 	 	 	 
20025	1	1	100	0	 
20025	2	1	300	0	 
20025	3	1	40	0	 
20025	4	1	40	0	 
20025	5	0	 	 	 
20025	6	1	580	0	 
20025	7	1	20	0	 
20025	8	 	 	 	 
20026	1	1	40	0	 
20026	2	2	0	0	 
20026	3	0	 	 	 
20026	4	1	70	0	 
20026	5	1	125	0	 
20026	6	1	870	0	 
20026	7	1	40	0	 
20026	8	 	 	 	 
20027	1	1	40	0	 
20027	2	0	 	 	 
20027	3	0	 	 	 
20027	4	1	20	0	 
20027	5	0	 	 	 
20027	6	1	290	0	 
20027	7	0	 	 	 
20027	8	 	 	 	 
20028	1	1	90	0	 
20028	2	1	100	0	 
20028	3	1	30	0	 
20028	4	1	20	0	 
20028	5	0	 	 	 
20028	6	1	290	0	 
20028	7	1	20	0	 
20028	8	 	 	 	 
20029	1	1	180	0	 
20029	2	2	100	0	 
20029	3	0	 	 	 
20029	4	1	20	0	 
20029	5	0	 	 	 
20029	6	1	290	0	 
20029	7	0	 	 	 
20029	8	 	 	 	 
20032	1	0	 	 	 
20032	2	0	 	 	 
20032	3	0	 	 	 
20032	4	0	 	 	 
20032	5	0	 	 	 
20032	6	0	 	 	 
20032	7	0	 	 	 
20032	8	 	 	 	 
20033	1	1	40	0	 
20033	2	2	200	0	 
20033	3	0	 	 	 
20033	4	1	20	0	 
20033	5	0	 	 	 
20033	6	1	290	0	 
20033	7	0	 	 	 
20033	8	 	 	 	 
20034	1	1	40	0	 
20034	2	0	 	 	 
20034	3	0	 	 	 
20034	4	1	10	0	 
20034	5	1	40	0	 
20034	6	1	0	0	 
20034	7	1	15	0	 
20034	8	 	 	 	 
20035	1	1	40	0	 
20035	2	2	100	0	 
20035	3	0	 	 	 
20035	4	1	10	0	 
20035	5	1	40	0	 
20035	6	1	290	0	 
20035	7	1	15	0	 
20035	8	 	 	 	 
20036	1	0	 	 	 
20036	2	0	 	 	 
20036	3	0	 	 	 
20036	4	1	10	0	 
20036	5	0	 	 	 
20036	6	0	 	 	 
20036	7	1	10	0	 
20036	8	 	 	 	 
20037	1	1	40	0	 
20037	2	0	 	 	 
20037	3	0	 	 	 
20037	4	2	15	0	 
20037	5	0	 	 	 
20037	6	1	290	0	 
20037	7	0	 	 	 
20037	8	 	 	 	 
20038	1	2	80	0	 
20038	2	2	100	0	 
20038	3	0	 	 	 
20038	4	1	40	0	 
20038	5	0	 	 	 
20038	6	1	580	0	 
20038	7	2	50	0	 
20038	8	 	 	 	 
20039	1	1	80	0	 
20039	2	2	0	0	 
20039	3	0	 	 	 
20039	4	1	40	0	 
20039	5	1	80	0	 
20039	6	1	580	0	 
20039	7	1	30	0	 
20039	8	 	 	 	 
20041	1	0	 	 	 
