CHILDCODE	HHLNIDR4	HHLNSCR4	FMLNR4	DIFFPYR4
150012	1	8	2	1
150013	1	5	1	1
150016	1	6	1	1
150017	1	6	1	1
150021	1	5	1	2
150027	1	8	2	2
150027	2	6	1	2
150030	1	2	1	1
150032	1	2	1	1
150040	1	1	1	1
150041	1	8	2	2
150049	1	5	1	3
150051	1	6	1	2
150053	1	 	 	 
150054	1	1	1	3
150063	1	2	1	2
150063	2	8	2	2
150064	1	2	1	2
150065	1	6	1	1
150068	1	1	1	1
150070	1	2	1	1
150071	1	1	1	2
150073	1	5	1	1
150087	1	2	1	1
150089	1	6	1	1
150090	1	2	1	2
150090	2	7	2	2
150091	1	2	1	1
150096	1	8	2	2
150098	1	7	2	2
150099	1	7	2	3
150103	1	2	1	2
150104	1	7	2	2
150129	1	7	2	2
150136	1	2	1	2
150138	1	2	1	1
150139	1	1	1	1
150140	1	8	2	1
150142	1	1	1	2
160005	1	8	2	3
160009	1	2	1	2
160010	1	2	1	2
160011	1	7	2	1
160012	1	8	2	3
160014	1	8	2	1
160018	1	2	1	1
160019	1	5	1	2
160020	1	2	1	1
160024	1	8	2	2
160025	1	2	1	1
160025	2	6	1	1
160028	1	8	2	3
160029	1	1	1	2
160030	1	8	2	2
160033	1	2	1	1
160034	1	2	1	2
160035	1	1	1	1
160036	1	7	2	1
160037	1	1	1	1
160040	1	8	2	2
160041	1	8	2	3
160045	1	7	2	3
160050	1	2	1	2
160051	1	 	 	 
160053	1	 	 	 
160054	1	8	2	1
160055	1	1	1	2
160058	1	8	2	1
160058	2	5	1	1
160058	3	1	1	1
160058	4	10	2	1
160059	1	2	1	1
160060	1	8	2	1
160064	1	1	1	3
160066	1	2	1	1
160072	1	2	1	1
160074	1	7	2	2
160074	2	6	1	2
160074	3	8	2	2
160075	1	8	2	2
160076	1	8	2	1
160077	1	7	2	1
160078	1	8	2	3
160078	2	7	2	3
160082	1	 	 	 
160083	1	5	1	1
160084	1	1	1	1
160085	1	1	1	1
160089	1	2	1	1
160091	1	7	2	1
160092	1	1	1	1
160093	1	5	1	2
160094	1	8	2	3
160096	1	7	77	1
160097	1	2	1	2
160097	2	7	2	2
160099	1	1	1	1
160100	1	5	1	2
160114	1	2	1	1
170004	1	8	2	2
170009	1	7	1	2
170010	1	1	1	3
170012	1	3	1	1
170013	1	7	1	1
170015	1	7	2	3
170016	1	5	1	2
170017	1	7	2	3
170018	1	2	1	2
170024	1	1	1	2
170024	2	1	1	2
170024	3	7	2	2
170028	1	1	1	2
170029	1	7	1	1
170039	1	8	1	2
170040	1	8	2	2
170041	1	1	1	3
170053	1	7	1	3
170056	1	3	1	2
170062	1	3	1	1
170068	1	1	1	2
170069	1	5	1	2
170073	1	1	1	2
170074	1	7	2	3
170089	1	1	1	2
170132	1	7	2	1
180003	1	3	1	1
180007	1	1	1	2
180016	1	1	1	2
180026	1	8	2	1
180030	1	1	1	2
180030	2	8	2	1
180040	1	3	1	1
180042	1	6	1	1
180043	1	3	1	2
180045	1	3	1	1
180047	1	3	1	2
180055	1	3	1	2
180056	1	5	1	1
180056	2	5	1	3
180057	1	3	1	1
180058	1	6	1	2
180065	1	1	1	2
180069	1	3	1	2
180071	1	3	1	2
180080	1	1	1	1
180089	1	1	1	2
180089	2	8	2	2
180091	1	3	1	1
180100	1	5	1	2
180100	2	8	2	2
180104	1	7	2	2
190003	1	1	1	1
190004	1	2	1	1
190006	1	3	1	1
190009	1	8	2	2
190010	1	1	1	1
190011	1	1	1	3
190012	1	1	1	2
190013	1	1	1	2
190015	1	2	1	1
190015	2	1	1	1
190016	1	2	1	2
190016	2	6	1	2
190018	1	2	1	2
190021	1	1	1	1
190022	1	7	2	2
190023	1	6	1	2
190024	1	 	 	 
190025	1	8	2	2
190027	1	1	1	2
190028	1	2	1	2
190028	2	8	2	1
190035	1	7	2	2
190036	1	8	2	1
190039	1	10	1	2
190039	2	1	1	1
190039	3	6	2	1
190040	1	7	2	2
190042	1	7	2	3
190051	1	2	1	1
190052	1	7	2	2
190057	1	3	1	2
190058	1	1	1	1
190059	1	2	1	1
190060	1	7	2	2
190063	1	8	2	2
190064	1	7	2	2
190064	2	8	2	2
190065	1	8	2	1
190066	1	1	1	2
190068	1	7	2	1
190069	1	2	1	1
190071	1	3	1	2
190072	1	8	2	3
