CHILDCODE	SPPGIDR4	SUPKNDR4	SUPWHOR4	SUPSRTR4	SUPENDR4	SUPFRQR4
190034	1	12	1	2007	2012	5
190035	1	12	1	2008	2013	5
190035	2	14	2	2000	99	5
190035	3	19	1	2012	99	5
190036	1	12	1	2007	2012	5
190037	1	18	1	2013	99	4
190037	2	14	1	2013	2013	4
190038	1	12	1	2012	2013	5
190040	1	12	1	2007	2012	5
190043	1	12	1	2011	99	4
190044	1	12	1	2012	99	5
190044	2	19	1	2013	2013	4
190047	1	12	1	2004	2012	5
190050	1	19	1	2008	99	7
190051	1	12	1	2008	2012	4
190052	1	12	1	2005	2012	5
190054	1	19	1	2011	99	7
190055	1	12	1	2007	2011	4
190056	1	12	1	2007	2011	4
190057	1	12	1	2001	99	5
190058	1	12	1	2007	99	5
190059	1	12	1	2007	99	5
190060	1	18	2	2013	99	4
190060	2	19	1	2013	2013	88
190061	1	12	1	2007	2012	5
190063	1	12	1	2007	2012	5
190063	2	14	1	2013	2013	4
190063	3	19	1	2013	2013	4
190064	1	12	1	2007	2012	5
190066	1	12	1	2002	2012	5
190066	2	19	1	2010	99	7
190067	1	12	1	2001	2011	5
190068	1	12	1	2007	2012	5
190069	1	12	1	2007	2012	5
190070	1	 	 	 	 	 
190074	1	12	1	2004	2012	5
190077	1	12	1	2007	2013	5
190081	1	12	2	2013	2013	4
190081	2	12	1	2013	99	2
190081	3	6	1	2012	99	8
190082	1	12	1	2012	99	4
190082	2	19	1	2013	99	4
190083	1	12	1	2008	2013	5
190084	1	12	1	2007	2012	5
190087	1	14	2	2013	2013	4
190090	1	12	1	2007	2012	5
190090	2	12	1	2010	99	5
190091	1	12	1	2007	2012	5
190092	1	12	1	2007	2012	5
190093	1	12	1	2007	99	5
190094	1	12	1	2010	99	4
190094	2	19	1	2010	99	4
190095	1	19	1	2000	99	4
190096	1	12	1	2007	99	5
190097	1	12	1	2007	2012	5
190098	1	12	1	2007	2012	5
190099	1	12	1	2000	99	4
190099	2	19	1	2012	99	7
190100	1	12	1	2007	2012	5
190107	1	12	1	2001	2011	5
190113	1	12	1	2012	99	4
190115	1	12	1	2002	2012	5
190116	1	12	1	2007	99	5
190116	2	5	1	2010	2011	5
190118	1	12	1	2007	2012	5
190118	2	19	1	2010	99	7
190130	1	12	1	2013	99	5
190130	2	19	1	2013	99	4
190137	1	12	2	2007	2012	5
200001	1	12	1	2010	99	4
200003	1	18	1	2013	99	5
200007	1	18	2	2011	2012	4
200010	1	6	1	2012	99	6
200011	1	12	1	2010	99	6
200012	1	18	1	2008	99	5
200013	1	19	1	2008	99	4
200015	1	19	1	2008	99	4
200016	1	19	1	2013	2013	77
200024	1	2	1	2006	2013	4
200035	1	19	1	2011	99	4
200040	1	14	1	2013	2013	4
200042	1	12	2	2010	2012	4
200043	1	12	2	2008	2013	4
200049	1	12	2	2010	2012	4
200060	1	19	1	2008	99	4
200061	1	3	1	2013	99	7
200062	1	19	1	2011	2011	7
200066	1	14	1	2011	2012	4
200074	1	12	2	2008	99	4
200076	1	12	1	2012	99	4
200078	1	2	1	2010	99	8
200091	1	19	1	2008	99	4
200093	1	 	 	 	 	 
200094	1	19	1	2010	99	4
200113	1	14	1	2013	99	5
200135	1	19	2	2000	2011	4
